Player,Position,Team,Projection,Games,PPG,Tier
Jonathan Ward,RB,PIT,1.4,5,0.29,17
David Martin-Robinson,TE,TEN,1.4,5,0.29,11
Nikola Kalinic,TE,ATL,1.4,14,0.1,11
Kristian Wilkerson,WR,LV,1.3,10,0.13,17
D.J. Williams,RB,TB,1.3,5,0.27,17
Brayden Willis,TE,SF,1.3,10,0.13,11
Zack Kuntz,TE,NYJ,1.3,10,0.13,11
Nikko Remigio,WR,KC,1.2,5,0.25,17
Skyy Moore,WR,KC,1.2,12,0.1,17
Terrell Jennings,RB,NE,1.1,5,0.22,17
Albert Okwuegbunam,TE,IND,1.1,8,0.13,11
Xavier Smith,WR,LA,1,10,0.1,17
Laquon Treadwell,WR,IND,0.9,10,0.09,17
Dante Miller,RB,NYG,0.8,5,0.16,17
Anthony Gould,WR,IND,0.7,10,0.07,17
Stephen Carlson,TE,CHI,0.5,10,0.05,11
Kenny Yeboah,TE,DET,0.5,10,0.05,11
Jabari Small,RB,TEN,0.2,5,0.04,17
Kene Nwangwu,RB,NYJ,0.2,8,0.03,17
