Player,Position,Team,Projection,Games,PPG,Tier
Mike Williams,WR,LAC,56.2,13,4.32,15
Jahan Dotson,WR,PHI,55.2,15,3.68,15
Emanuel Wilson,RB,GB,54.8,14,3.91,14
Tanner Hudson,TE,CIN,53.1,15,3.54,10
Troy Franklin,WR,DEN,52.8,15,3.52,15
Kayshon Boutte,WR,NE,51.8,14,3.7,15
Luke Schoonmaker,TE,DAL,50.4,15,3.36,10
Antonio Gibson,RB,NE,50.2,15,3.34,14
Kenneth Gainwell,RB,PIT,49.4,15,3.29,14
Miles Sanders,RB,DAL,49,14,3.5,15
Dont'e Thornton Jr.,WR,LV,48.7,15,3.25,15
Allen Lazard,WR,NYJ,48.3,10,4.83,15
Trevor Etienne,RB,CAR,47.8,15,3.19,15
DJ Giddens,RB,IND,47.8,15,3.18,15
Taysom Hill,TE,NO,47.6,7,6.8,10
Tai Felton,WR,MIN,47,15,3.13,15
Josh Oliver,TE,MIN,46.8,15,3.12,10
Diontae Johnson,WR,CLV,46.7,13,3.59,15
Jordan James,RB,SF,46.4,15,3.09,15
Chimere Dike,WR,TEN,46.2,15,3.08,15
Kalif Raymond,WR,DET,46,15,3.07,15
Arian Smith,WR,NYJ,46,15,3.06,15
Jalen Royals,WR,KC,45.6,15,3.04,15
Elijah Higgins,TE,ARZ,45.2,15,3.02,10
Devin Singletary,RB,NYG,44.6,15,2.97,15
Parker Washington,WR,JAX,43.9,15,2.92,15
Jermaine Burton,WR,CIN,42.7,14,3.05,15
Emari Demercado,RB,ARZ,42.6,14,3.04,15
Alexander Mattison,RB,MIA,42.3,15,2.82,15
Kyle Juszczyk,RB,SF,42.3,15,2.82,15
Drew Sample,TE,CIN,42,15,2.8,10
Cole Kmet,TE,CHI,42,15,2.8,10
Olamide Zaccheaus,WR,CHI,39.7,15,2.65,16
JuJu Smith-Schuster,WR,KC,39.6,13,3.05,16
Jaylin Lane,WR,WAS,39.3,15,2.62,16
Luke McCaffrey,WR,WAS,39,15,2.6,16
Phil Mafah,RB,DAL,38.4,15,2.56,15
Khalil Herbert,RB,IND,37.8,14,2.7,15
Isaac TeSlaa,WR,DET,37.2,15,2.48,16
Cade Stover,TE,HST,36.2,15,2.42,11
Sincere McCormick,RB,LV,36.1,14,2.58,15
Sean Tucker,RB,TB,35.3,14,2.52,15
Jalen Brooks,WR,DAL,35.3,14,2.52,16
Cedrick Wilson Jr.,WR,NO,35.2,15,2.34,16
KhaDarel Hodge,WR,ATL,35.2,15,2.34,16
Zack Moss,RB,CIN,34.9,10,3.49,15
Hunter Renfrow,WR,CAR,33.7,15,2.25,16
Darnell Washington,TE,PIT,32.1,15,2.14,11
Zay Jones,WR,ARZ,31.4,14,2.24,16
AJ Dillon,RB,PHI,31.3,15,2.09,16
Jeremy McNichols,RB,WAS,31.3,15,2.09,16
Elijah Mitchell,RB,KC,31.2,12,2.6,16
Brashard Smith,RB,KC,31.2,14,2.23,16
Jarquez Hunter,RB,LA,31.1,15,2.07,16
Marcus Mariota,QB,WAS,30.7,2,15.33,10
Robert Woods,WR,PIT,30.3,10,3.03,16
Jake Browning,QB,CIN,30.3,2,15.16,10
John Bates,TE,WAS,30.3,15,2.02,11
John Metchie III,WR,HST,30.1,15,2,16
Kyle Trask,QB,TB,29.9,2,14.94,10
Tyler Johnson,WR,NYJ,29.8,10,2.98,16
Jeremy Ruckert,TE,NYJ,29.3,15,1.95,11
Jordan Whittington,WR,LA,28.9,15,1.93,16
Jalen Milroe,QB,SEA,28.8,2,14.4,10
Cordarrelle Patterson,RB,PIT,27.8,14,1.98,16
Charlie Woerner,TE,ATL,27.7,15,1.85,11
Tyson Bagent,QB,CHI,27.6,2,13.79,10
Mac Jones,QB,SF,27.5,2,13.77,10
Grant Calcaterra,TE,PHI,27.3,15,1.82,11
Jimmy Garoppolo,QB,LA,27,2,13.52,10
Tanner McKee,QB,PHI,27,2,13.48,10
Dare Ogunbowale,RB,HST,26.8,14,1.91,16
Will Grier,QB,DAL,26.7,2,13.34,10
Hendon Hooker,QB,DET,26.6,2,13.29,10
AJ Barner,TE,SEA,26.6,15,1.77,11
Andy Dalton,QB,CAR,26.6,2,13.28,10
Jarrett Stidham,QB,DEN,26.1,2,13.03,10
Oronde Gadsden II,TE,LAC,25.9,14,1.85,11
Ben Sinnott,TE,WAS,25.8,15,1.72,11
Sam Howell,QB,MIN,25.6,2,12.82,10
Devin Neal,RB,NO,25.5,14,1.82,16
Julian Hill,TE,MIA,25.4,15,1.69,11
Nick Mullens,QB,JAX,25.4,2,12.71,10
Jake Bobo,WR,SEA,25.4,15,1.69,16
Jase McClellan,RB,ATL,25.3,14,1.8,16
Ollie Gordon II,RB,MIA,25.2,15,1.68,16
Aidan O'Connell,QB,LV,25,2,12.52,10
Taylor Heinicke,QB,LAC,24.4,2,12.21,10
Ryan Flournoy,WR,DAL,23.9,14,1.71,17
Craig Reynolds,RB,DET,23.8,14,1.7,16
Luke Musgrave,TE,GB,23.7,11,2.16,11
Adam Trautman,TE,DEN,23.5,15,1.57,11
Kirk Cousins,QB,ATL,23.5,2,11.74,10
Jamari Thrash,WR,CLV,23.5,14,1.68,17
Ty Chandler,RB,MIN,23.3,12,1.95,16
Colby Parkinson,TE,LA,23.2,15,1.54,11
Davis Mills,QB,HST,22.9,2,11.47,10
Mitchell Trubisky,QB,BUF,22.9,2,11.46,10
Tylan Wallace,WR,BLT,22.8,15,1.52,17
Dameon Pierce,RB,HST,22.5,13,1.73,16
Zach Wilson,QB,MIA,22.3,2,11.15,10
LeQuint Allen,RB,JAX,22.2,14,1.59,16
Jalin Hyatt,WR,NYG,22.2,15,1.48,17
Will Levis,QB,TEN,22.1,2,11.07,10
Durham Smythe,TE,CHI,21.5,15,1.43,11
Joshua Dobbs,QB,NE,21.4,2,10.71,10
Gardner Minshew,QB,KC,21.3,2,10.65,11
Malik Willis,QB,GB,21.2,2,10.59,11
Casey Washington,WR,ATL,21,14,1.5,17
Tip Reiman,TE,ARZ,20.7,15,1.38,11
Devin Leary,QB,BLT,20.7,2,10.33,11
Brock Wright,TE,DET,20.6,15,1.37,11
Josh Whyle,TE,TEN,20.6,15,1.37,11
Luke Farrell,TE,SF,20.3,15,1.35,11
