name,team,position,projection
Bijan Robinson,ATL,rb,293
Jahmyr Gibbs,DET,rb,288.9
Saquon Barkley,PHI,rb,285.5
Ashton Jeanty,LV,rb,284.3
Bucky Irving,TB,rb,281.6
Christian McCaffrey,SF,rb,277.3
Ja'Marr Chase,CIN,wr,333.3
De'Von Achane,MIA,rb,275.3
Derrick Henry,BLT,rb,252.5
Josh Jacobs,GB,rb,251.9
Kenneth Walker III,SEA,rb,248.1
Jonathan Taylor,IND,rb,242.7
Kyren Williams,LA,rb,241.9
Joe Mixon,HST,rb,239.1
Justin Jefferson,MIN,wr,295.4
James Cook,BUF,rb,231.6
Brian Thomas Jr.,JAX,wr,287.3
Puka Nacua,LA,wr,285.3
Omarion Hampton,LAC,rb,227.1
Chase Brown,CIN,rb,226
Brock Bowers,LV,te,245.4
Breece Hall,NYJ,rb,223.1
RJ Harvey,DEN,rb,222.9
Alvin Kamara,NO,rb,222.4
Quinshon Judkins,CLV,rb,220.2
Nico Collins,HST,wr,277.6
James Conner,ARZ,rb,218.8
Chuba Hubbard,CAR,rb,216.8
CeeDee Lamb,DAL,wr,274.3
Trey McBride,ARZ,te,236.1
Amon-Ra St. Brown,DET,wr,270.9
Malik Nabers,NYG,wr,268.2
D'Andre Swift,CHI,rb,208.8
Aaron Jones,MIN,rb,206.1
Tony Pollard,TEN,rb,205.1
Drake London,ATL,wr,259.1
A.J. Brown,PHI,wr,255.5
Josh Allen,BUF,qb,341.4
David Montgomery,DET,rb,193.2
Jayden Daniels,WAS,qb,340.1
Ladd McConkey,LAC,wr,249.2
Lamar Jackson,BLT,qb,338.5
Isiah Pacheco,KC,rb,188.2
Tee Higgins,CIN,wr,245.5
Jaylen Warren,PIT,rb,186.7
Jalen Hurts,PHI,qb,333.2
George Kittle,SF,te,205.6
Garrett Wilson,NYJ,wr,238.9
Terry McLaurin,WAS,wr,235.6
Marvin Harrison Jr.,ARZ,wr,233.2
Mike Evans,TB,wr,232.4
Brian Robinson,WAS,rb,170.1
Rhamondre Stevenson,NE,rb,169.5
Rashee Rice,KC,wr,227
TreVeyon Henderson,NE,rb,167.5
Davante Adams,LA,wr,225
Joe Burrow,CIN,qb,314.8
T.J. Hockenson,MIN,te,186.8
Kaleb Johnson,PIT,rb,165.3
DJ Moore,CHI,wr,222.8
Tyrone Tracy,NYG,rb,164.4
Sam LaPorta,DET,te,183.1
Cam Skattebo,NYG,rb,161.3
Jaxon Smith-Njigba,SEA,wr,218.2
Tyreek Hill,MIA,wr,218
Jonnu Smith,MIA,te,179.7
Patrick Mahomes,KC,qb,306.8
Travis Etienne Jr.,JAX,rb,158.9
Tetairoa McMillan,CAR,wr,216.3
Javonte Williams,DAL,rb,158.1
Jameson Williams,DET,wr,215.8
Travis Hunter,JAX,wr,214.8
DeVonta Smith,PHI,wr,214.2
Xavier Worthy,KC,wr,213.4
Zay Flowers,BLT,wr,212.6
