name,position,team,projection
Ja'Marr Chase,WR,CIN,297.4
Justin Jefferson,WR,MIN,284
Saquon Barkley,RB,PHI,289.5
Bijan Robinson,RB,ATL,285.7
CeeDee Lamb,WR,DAL,267.7
Jahmyr Gibbs,RB,DET,276.2
Puka Nacua,WR,LA,260.3
Amon-Ra St. Brown,WR,DET,259.9
Malik Nabers,WR,NYG,252.4
Christian McCaffrey,RB,SF,258.4
Devon Achane,RB,MIA,258.3
Brian Thomas,WR,JAC,246.3
Nico Collins,WR,HOU,246.1
A.J. Brown,WR,PHI,238.8
Derrick Henry,RB,BAL,249.1
Ashton Jeanty,RB,LV,247.2
Drake London,WR,ATL,234.8
Bucky Irving,RB,TB,240.7
Tyreek Hill,WR,MIA,222.8
Ladd McConkey,WR,LAC,222.6
D.J. Moore,WR,CHI,222
Davante Adams,WR,LA,221.3
Tee Higgins,WR,CIN,217.7
Josh Jacobs,RB,GB,228.5
Terry McLaurin,WR,WAS,216.1
Kyren Williams,RB,LA,227.4
Rashee Rice,WR,KC,214.8
Brock Bowers,TE,LV,220.5
James Cook,RB,BUF,224
Jaxon Smith-Njigba,WR,SEA,212.3
Mike Evans,WR,TB,211.8
Jonathan Taylor,RB,IND,222.1
Marvin Harrison,WR,ARI,205.6
Garrett Wilson,WR,NYJ,205
Breece Hall,RB,NYJ,214.7
Xavier Worthy,WR,KC,202.8
Josh Allen,QB,BUF,344.3
Chase Brown,RB,CIN,213.2
D.K. Metcalf,WR,PIT,201
Joe Mixon,RB,HOU,211.3
Trey McBride,TE,ARI,206.3
Alvin Kamara,RB,NO,210.3
Courtland Sutton,WR,DEN,196.1
Kenneth Walker III,RB,SEA,206.2
James Conner,RB,ARI,205.1
DeVonta Smith,WR,PHI,193.6
Zay Flowers,WR,BAL,193.5
Jameson Williams,WR,DET,191
Calvin Ridley,WR,TEN,190.6
Lamar Jackson,QB,BAL,332.9
Tetairoa McMillan,WR,CAR,189.7
Chuba Hubbard,RB,CAR,200.3
George Pickens,WR,DAL,188
Jauan Jennings,WR,SF,187.9
George Kittle,TE,SF,193.9
Jerry Jeudy,WR,CLE,186.2
Jaylen Waddle,WR,MIA,184.1
David Montgomery,RB,DET,190.2
Travis Hunter,WR,JAC,178.6
Chris Olave,WR,NO,178
Omarion Hampton,RB,LAC,189.1
Chris Godwin,WR,TB,176.2
