Name,Team,Position,Projection
Ja'Marr Chase,CIN,WR,325
Saquon Barkley,PHI,RB,280
Bijan Robinson,ATL,RB,277
Jahmyr Gibbs,DET,RB,276
Puka Nacua,LA,WR,302
Chase Brown,CIN,RB,265
Bucky Irving,TB,RB,262
Amon-Ra St. Brown,DET,WR,291
Justin Jefferson,MIN,WR,290
Christian McCaffrey,SF,RB,257
CeeDee Lamb,DAL,WR,288
Jonathan Taylor,IND,RB,254
Josh Jacobs,GB,RB,254
De'Von Achane,MIA,RB,252
Malik Nabers,NYG,WR,280
Kyren Williams,LA,RB,245
Drake London,ATL,WR,264
Ladd McConkey,LAC,WR,264
Brian Thomas,JAC,WR,262
Derrick Henry,BAL,RB,229
Joe Mixon,HOU,RB,228
A.J. Brown,PHI,WR,259
Chuba Hubbard,CAR,RB,227
Nico Collins,HOU,WR,258
Breece Hall,NYJ,RB,223
Brock Bowers,LV,TE,257
Alvin Kamara,NO,RB,231
Kenneth Walker,SEA,RB,217
James Cook,BUF,RB,216
Lamar Jackson,BAL,QB,380.3
James Conner,ARI,RB,211
Jaxon Smith-Njigba,SEA,WR,242
Trey McBride,ARI,TE,245
Aaron Jones,MIN,RB,210
Tony Pollard,TEN,RB,205
David Montgomery,DET,RB,204
Tee Higgins,CIN,WR,235
Josh Allen,BUF,QB,365.2
Jayden Daniels,WAS,QB,362.8
Tyreek Hill,MIA,WR,228
Terry McLaurin,WAS,WR,228
Garrett Wilson,NYJ,WR,227
DJ Moore,CHI,WR,230
Jalen Hurts,PHI,QB,355.2
Jaylen Warren,PIT,RB,188
Courtland Sutton,DEN,WR,219
Rashee Rice,KC,WR,218
D'Andre Swift,CHI,RB,184
Marvin Harrison Jr.,ARI,WR,210
Jakobi Meyers,LV,WR,209
Zay Flowers,BAL,WR,209
DeVonta Smith,PHI,WR,209
Jameson Williams,DET,WR,209
Xavier Worthy,KC,WR,208
DK Metcalf,PIT,WR,208
Mike Evans,TB,WR,208
Davante Adams,LA,WR,207
Khalil Shakir,BUF,WR,206
Brian Robinson,WAS,RB,174
Tyrone Tracy,NYG,RB,171
Calvin Ridley,TEN,WR,197
Jerry Jeudy,CLE,WR,195
Cooper Kupp,SEA,WR,194
George Kittle,SF,TE,193
Jaylen Waddle,MIA,WR,190
Joe Burrow,CIN,QB,321.4
Deebo Samuel,WAS,WR,187
Jordan Addison,MIN,WR,187
Baker Mayfield,TB,QB,319.9
Sam LaPorta,DET,TE,189
Rome Odunze,CHI,WR,154
Tyjae Spears,TEN,RB,154
Chris Olave,NO,WR,183
Jauan Jennings,SF,WR,181
Kyler Murray,ARI,QB,314.3
Jayden Reed,GB,WR,180
Bo Nix,DEN,QB,312.1
Stefon Diggs,NE,WR,179
Rachaad White,TB,RB,147
Michael Pittman,IND,WR,178
Najee Harris,LAC,RB,146
Patrick Mahomes,KC,QB,309.3
George Pickens,DAL,WR,173
Zach Charbonnet,SEA,RB,141
Travis Kelce,KC,TE,172
Josh Downs,IND,WR,168
Brock Purdy,SF,QB,300.6
Jonnu Smith,MIA,TE,171
David Njoku,CLE,TE,170
Darnell Mooney,ATL,WR,165
Jared Goff,DET,QB,296
Justice Hill,BAL,RB,129
Evan Engram,DEN,TE,164
Pat Freiermuth,PIT,TE,164
Justin Herbert,LAC,QB,293.7
Tyler Allgeier,ATL,RB,126
T.J. Hockenson,MIN,TE,161
Austin Ekeler,WAS,RB,125
J.J. McCarthy,MIN,QB,289.5
Adam Thielen,CAR,WR,155
Mark Andrews,BAL,TE,158
Jordan Mason,MIN,RB,124
Justin Fields,NYJ,QB,288.8
Chris Godwin,TB,WR,155
C.J. Stroud,HOU,QB,287.7
Rashid Shaheed,NO,WR,154
Rashod Bateman,BAL,WR,153
Drake Maye,NE,QB,286.6
Javonte Williams,DAL,RB,141
Caleb Williams,CHI,QB,283.1
Trevor Lawrence,JAC,QB,277.6
Marvin Mims,DEN,WR,149
Isiah Pacheco,KC,RB,117
Rico Dowdle,CAR,RB,116
Ricky Pearsall,SF,WR,147
Dak Prescott,DAL,QB,279.9
Wan'Dale Robinson,NYG,WR,146
Kareem Hunt,KC,RB,114
Jordan Love,GB,QB,277.9
Tua Tagovailoa,MIA,QB,276.8
Sam Darnold,SEA,QB,276.6
Bryce Young,CAR,QB,276.2
Tucker Kraft,GB,TE,146
Keenan Allen,FA,WR,142
Tank Bigsby,JAC,RB,110
Cade Otton,TB,TE,145
Trey Benson,ARI,RB,110
Michael Wilson,ARI,WR,141
Travis Etienne,JAC,RB,108
Geno Smith,LV,QB,272.3
Dallas Goedert,PHI,TE,129
Cedric Tillman,CLE,WR,138
Christian Kirk,HOU,WR,137
Dalton Kincaid,BUF,TE,138
Zach Ertz,WAS,TE,137
Ray-Ray McCloud,ATL,WR,133
Michael Penix,ATL,QB,266.4
Brenton Strange,JAC,TE,136
Hollywood Brown,KC,WR,132
Kyle Pitts,ATL,TE,135
Jalen McMillan,TB,WR,121
Amari Cooper,FA,WR,130
Jake Ferguson,DAL,TE,133
Hunter Henry,NE,TE,133
Rhamondre Stevenson,NE,RB,96
Chig Okonkwo,TEN,TE,130
Ray Davis,BUF,RB,95
Jerome Ford,CLE,RB,95
Dalton Schultz,HOU,TE,129
Matthew Stafford,LA,QB,258.3
Jaleel McLaughlin,DEN,RB,93
Tutu Atwell,LA,WR,124
Keon Coleman,BUF,WR,124
