name,position,team,projection
Ja'Marr Chase,WR,CIN,288
Bijan Robinson,RB,ATL,275
CeeDee Lamb,WR,DAL,273
Saquon Barkley,RB,PHI,266
Justin Jefferson,WR,MIN,281
Puka Nacua,WR,LAR,275
Christian McCaffrey,RB,SF,232
Jahmyr Gibbs,RB,DET,251
Malik Nabers,WR,NYG,256
Nico Collins,WR,HOU,250
Brian Thomas Jr.,WR,JAC,247
Ashton Jeanty,RB,LVR,247
Jonathan Taylor,RB,IND,242
De'Von Achane,RB,MIA,240
Derrick Henry,RB,BAL,239
Amon-Ra St. Brown,WR,DET,257
A.J. Brown,WR,PHI,248
Drake London,WR,ATL,246
Tee Higgins,WR,CIN,231
Tyreek Hill,WR,MIA,202
Breece Hall,RB,NYJ,212
Alvin Kamara,RB,NO,206
Chase Brown,RB,CIN,214
Brock Bowers,TE,LVR,216
Josh Jacobs,RB,GB,224
Bucky Irving,RB,TB,216
Trey McBride,TE,ARI,215
Joe Mixon,RB,HOU,199
Rashee Rice,WR,KC,195
Lamar Jackson,QB,BAL,340
Jayden Daniels,QB,WAS,334
Xavier Worthy,WR,KC,217
Kyren Williams,RB,LAR,217
Ladd McConkey,WR,LAC,222
Josh Allen,QB,BUF,337
Jalen Hurts,QB,PHI,333
Mike Evans,WR,TB,214
Kenneth Walker III,RB,SEA,212
James Cook,RB,BUF,209
Chuba Hubbard,RB,CAR,195
Davante Adams,WR,LAR,206
James Conner,RB,ARI,185
Garrett Wilson,WR,NYJ,217
George Kittle,TE,SF,190
D.J. Moore,WR,CHI,204
D.K. Metcalf,WR,PIT,208
Jaxon Smith-Njigba,WR,SEA,215
Terry McLaurin,WR,WAS,209
Marvin Harrison Jr.,WR,ARI,201
DeVonta Smith,WR,PHI,215
Joe Burrow,QB,CIN,316
Jaylen Waddle,WR,MIA,187
Zay Flowers,WR,BAL,206
Tetairoa McMillan,WR,CAR,183
Aaron Jones,RB,MIN,177
Courtland Sutton,WR,DEN,204
Jauan Jennings,WR,SF,200
Sam LaPorta,TE,DET,176
Travis Hunter,WR,JAC,163
David Montgomery,RB,DET,182
Chris Godwin,WR,TB,169
George Pickens,WR,DAL,177
Chris Olave,WR,NO,169
Jameson Williams,WR,DET,184
Isiah Pacheco,RB,KC,154
Omarion Hampton,RB,LAC,158
Travis Kelce,TE,KC,155
Quinshon Judkins,RB,CLE,167
D'Andre Swift,RB,CHI,149
Tony Pollard,RB,TEN,169
Calvin Ridley,WR,TEN,180
TreVeyon Henderson,RB,NE,155
T.J. Hockenson,TE,MIN,165
RJ Harvey,RB,DEN,148
Jakobi Meyers,WR,LVR,187
Deebo Samuel,WR,WAS,181
Ricky Pearsall,WR,SF,168
Khalil Shakir,WR,BUF,182
Jonnu Smith,TE,MIA,152
David Njoku,TE,CLE,153
Mark Andrews,TE,BAL,154
Jordan Addison,WR,MIN,177
Rome Odunze,WR,CHI,176
Jayden Reed,WR,GB,181
Marquise Brown,WR,KC,168
Patrick Mahomes,QB,KC,293
Jerry Jeudy,WR,CLE,175
Brian Robinson Jr.,RB,WAS,153
Jaylen Warren,RB,PIT,143
Dalton Kincaid,TE,BUF,138
Travis Etienne,RB,JAC,135
Kaleb Johnson,RB,PIT,121
Tucker Kraft,TE,GB,141
Jake Ferguson,TE,DAL,133
Evan Engram,TE,DEN,127
Kyler Murray,QB,ARI,281
Dallas Goedert,TE,PHI,139
Bo Nix,QB,DEN,277
Tyler Warren,TE,IND,119
Josh Downs,WR,IND,160
Tyrone Tracy Jr.,RB,NYG,102
Justin Fields,QB,NYJ,258
Baker Mayfield,QB,TB,279
Darnell Mooney,WR,ATL,161
Tyjae Spears,RB,TEN,127
Caleb Williams,QB,CHI,272
Cameron Skattebo,RB,NYG,104
Najee Harris,RB,LAC,127
Justin Herbert,QB,LAC,274
Pat Freiermuth,TE,PIT,135
Michael Pittman Jr.,WR,IND,162
Cooper Kupp,WR,SEA,152
Austin Ekeler,RB,WAS,127
Rashid Shaheed,WR,NO,156
Stefon Diggs,WR,NE,142
Dak Prescott,QB,DAL,274
Keon Coleman,WR,BUF,142
Tank Bigsby,RB,JAC,120
Trevor Lawrence,QB,JAC,271
Drake Maye,QB,NE,270
Brock Purdy,QB,SF,276
Zach Ertz,TE,WAS,116
Javonte Williams,RB,DAL,86
Colston Loveland,TE,CHI,113
Jordan Love,QB,GB,272
Jared Goff,QB,DET,276
Chigoziem Okonkwo,TE,TEN,114
Christian Kirk,WR,HOU,148
Jayden Higgins,WR,HOU,133
Isaiah Likely,TE,BAL,113
Rachaad White,RB,TB,112
Mike Gesicki,TE,CIN,115
Cade Otton,TE,TB,119
J.J. McCarthy,QB,MIN,234
Brandon Aubrey,K,DAL,145
C.J. Stroud,QB,HOU,267
Rhamondre Stevenson,RB,NE,114
Jordan Mason,RB,MIN,107
Hunter Henry,TE,NE,118
Tua Tagovailoa,QB,MIA,258
Kyle Pitts,TE,ATL,111
Zach Charbonnet,RB,SEA,110
J.K. Dobbins,RB,DEN,95
Romeo Doubs,WR,GB,140
Keenan Allen,WR,UNS,121
Matthew Golden,WR,GB,122
Cameron Dicker,K,LAC,140
Jaydon Blue,RB,DAL,87
Dalton Schultz,TE,HOU,110
Bryce Young,QB,CAR,256
Younghoe Koo,K,ATL,136
Brenton Strange,TE,JAC,106
Luther Burden III,WR,CHI,111
Emeka Egbuka,WR,TB,120
Joshua Palmer,WR,BUF,131
Amari Cooper,WR,UNS,118
Matt Gay,K,WAS,138
Juwan Johnson,TE,NO,109
Jake Elliott,K,PHI,139
Jake Bates,K,DET,139
Brandon McManus,K,GB,139
Ka'imi Fairbairn,K,HOU,141
Bhayshul Tuten,RB,JAC,85
Diontae Johnson,WR,CLE,90
Harrison Butker,K,KC,142
Cam Little,K,JAC,136
Wan'Dale Robinson,WR,NYG,131
Mason Taylor,TE,NYJ,99
Ray Davis,RB,BUF,86
Roschon Johnson,RB,CHI,80
Matthew Stafford,QB,LAR,259
Quentin Johnston,WR,LAC,110
Justice Hill,RB,BAL,90
Rashod Bateman,WR,BAL,127
Jason Sanders,K,MIA,139
Tyler Allgeier,RB,ATL,85
Cedric Tillman,WR,CLE,109
Tre Harris,WR,LAC,107
Daniel Carlson,K,LVR,139
Geno Smith,QB,LVR,254
Cameron Ward,QB,TEN,233
Kyle Williams,WR,NE,119
Evan McPherson,K,CIN,139
Trey Benson,RB,ARI,76
Tyler Loop,K,BAL,133
Chase McLaughlin,K,TB,139
Cole Kmet,TE,CHI,92
Sam Darnold,QB,SEA,249
Wil Lutz,K,DEN,138
Isaac Guerendo,RB,SF,72
Jack Bech,WR,LVR,112
Xavier Legette,WR,CAR,109
Marvin Mims Jr.,WR,DEN,105
Blake Corum,RB,LAR,65
Joshua Karty,K,LAR,136
Jaylen Wright,RB,MIA,72
Jalen Coker,WR,CAR,108
Theo Johnson,TE,NYG,87
Miles Sanders,RB,DAL,66
Adam Thielen,WR,CAR,104
Dylan Sampson,RB,CLE,69
Kareem Hunt,RB,KC,69
Michael Wilson,WR,ARI,126
MarShawn Lloyd,RB,GB,68
Michael Penix Jr.,QB,ATL,245
Chad Ryland,K,ARI,134
Chris Boswell,K,PIT,136
Kendre Miller,RB,NO,61
Elijah Mitchell,RB,KC,63
Anthony Richardson,QB,IND,160
Jason Myers,K,SEA,134
Jarquez Hunter,RB,LAR,57
Cairo Santos,K,CHI,134
Jerome Ford,RB,CLE,47
Demarcus Robinson,WR,SF,77
Rico Dowdle,RB,CAR,61
