name,team,position,projection
Jalen Tolbert,DAL,wr,114.5
Andrei Iosivas,CIN,wr,113.5
Roman Wilson,PIT,wr,113
Noah Brown,WAS,wr,112.3
Brandin Cooks,NO,wr,110.3
Dawson Knox,BUF,te,72.8
Foster Moreau,NO,te,71.5
Jerome Ford,CLV,rb,47.2
Keaton Mitchell,BLT,rb,47
Tre Harris,LAC,wr,104.7
DJ Giddens,IND,rb,46.4
DeAndre Hopkins,BLT,wr,102.9
Trevor Etienne,CAR,rb,43.8
Alec Pierce,IND,wr,99.9
Luther Burden III,CHI,wr,98.5
Jalen McMillan,TB,wr,98.2
Kyle Juszczyk,SF,rb,37.8
Jarquez Hunter,LA,rb,37.8
Terrance Ferguson,LA,te,58.6
Nick Westbrook-Ikhine,MIA,wr,94.2
Will Shipley,PHI,rb,33.1
Dyami Brown,JAX,wr,91
Mike Williams,LAC,wr,89.7
KaVontae Turpin,DAL,wr,89.5
Kendrick Bourne,NE,wr,89.4
Marquez Valdes-Scantling,SEA,wr,88.9
Devaughn Vele,DEN,wr,88.6
Kyle Williams,NE,wr,87.6
Julius Chestnut,TEN,rb,28.6
Kenneth Gainwell,PIT,rb,28.4
Tommy Tremble,CAR,te,50
Ben Sinnott,WAS,te,49.2
Jordan James,SF,rb,27.5
Jeremy McNichols,WAS,rb,26.6
Alec Ingold,MIA,rb,26.6
Josh Oliver,MIN,te,48
Sincere McCormick,LV,rb,25.9
Luke Schoonmaker,DAL,te,47.3
Tanner Hudson,CIN,te,47.2
Cordarrelle Patterson,PIT,rb,25.5
Audric Estime,DEN,rb,25.5
Cade Stover,HST,te,46.9
Tim Patrick,DET,wr,83.2
Antonio Gibson,NE,rb,25.1
Harold Fannin Jr.,CLV,te,46.2
Josh Whyle,TEN,te,45.5
Elijah Higgins,ARZ,te,45.2
Grant Calcaterra,PHI,te,43.7
Arian Smith,NYJ,wr,79.9
Cole Kmet,CHI,te,43.2
Sean Tucker,TB,rb,21.3
Darnell Washington,PIT,te,42.7
Drew Sample,CIN,te,42.1
Pat Bryant,DEN,wr,78.1
Carlos Washington Jr.,ATL,rb,19
Troy Franklin,DEN,wr,77
Luke Musgrave,GB,te,40.5
Craig Reynolds,DET,rb,18.8
Kimani Vidal,LAC,rb,18.7
Kyle Monangai,CHI,rb,17.5
Jalen Nailor,MIN,wr,75.2
Adonai Mitchell,IND,wr,74.2
Dontayvion Wicks,GB,wr,73.6
Ty Chandler,MIN,rb,15.3
Devin Neal,NO,rb,14.9
Kenny McIntosh,SEA,rb,14.5
Jordan Whittington,LA,wr,72.1
Chris Rodriguez Jr.,WAS,rb,13.5
Parker Washington,JAX,wr,71.3
Hunter Luepke,DAL,rb,13.1
Khalil Herbert,IND,rb,12.7
Chris Brooks,GB,rb,12.7
Adam Trautman,DEN,te,33.2
Van Jefferson,TEN,wr,69.6
Gunnar Helm,TEN,te,32.8
Kalel Mullings,TEN,rb,10.9
Colby Parkinson,LA,te,32.3
Carson Steele,KC,rb,10.3
AJ Barner,SEA,te,31.6
Michael Burton,DEN,rb,9.5
C.J. Ham,MIN,rb,9.5
Dare Ogunbowale,HST,rb,9.2
Clyde Edwards-Helaire,NO,rb,9.2
Julian Hill,MIA,te,30.8
Josh Reynolds,NYJ,wr,65.9
Daniel Bellinger,NYG,te,29.4
Brashard Smith,KC,rb,7.2
DeeJay Dallas,ARZ,rb,7.1
Damien Martinez,SEA,rb,7.1
Tyler Goodson,IND,rb,6.6
Raheem Blackshear,CAR,rb,6.4
Stone Smartt,NYJ,te,27.9
Jalen Royals,KC,wr,64.3
Jahan Dotson,PHI,wr,64.1
Travis Homer,CHI,rb,6
Sione Vaki,DET,rb,6
Charlie Woerner,ATL,te,27.6
Reggie Gilliam,BUF,rb,5.9
Jakob Johnson,HST,rb,5.7
Avery Williams,PHI,rb,5.7
Patrick Ricard,BLT,rb,5.7
Jalen Coker,CAR,wr,63.4
Eric Gray,NYG,rb,5.2
Malik Washington,MIA,wr,63.1
Oronde Gadsden II,LAC,te,26.6
Brock Wright,DET,te,25
Charlie Kolar,BLT,te,24.4
Kylen Granson,PHI,te,24.1
Tahj Brooks,CIN,rb,2.1
Chimere Dike,TEN,wr,58.9
Pharaoh Brown,MIA,te,22.4
John Bates,WAS,te,22.1
Patrick Taylor,SF,rb,0
Kene Nwangwu,NYJ,rb,0
Pierre Strong Jr.,CLV,rb,0
Dameon Pierce,HST,rb,0
Tyler Badie,DEN,rb,0
Rasheen Ali,BLT,rb,0
Chris Collier,LV,rb,0
Payne Durham,TB,te,21.5
Jeremy Ruckert,NYJ,te,21.2
Robert Woods,PIT,wr,57
Mo Alie-Cox,IND,te,20.5
Brevyn Spann-Ford,DAL,te,20.5
Jared Wiley,KC,te,19.5
Harrison Bryant,PHI,te,19.3
Connor Heyward,PIT,te,19.1
Curtis Samuel,BUF,wr,55.1
Luke Farrell,SF,te,18.4
Greg Dortch,ARZ,wr,54.4
Johnny Mundt,JAX,te,16.8
Nate Adkins,DEN,te,16.2
Jermaine Burton,CIN,wr,52.6
Jackson Hawes,BUF,te,15.8
Ian Thomas,LV,te,15.7
JuJu Smith-Schuster,KC,wr,51.1
Demarcus Robinson,SF,wr,50.6
Elijah Moore,BUF,wr,50.3
Durham Smythe,CHI,te,12.9
Tip Reiman,ARZ,te,12.6
Allen Lazard,NYJ,wr,48.2
Kalif Raymond,DET,wr,47.7
Andrew Ogletree,IND,te,11.3
Shane Zylstra,DET,te,10.7
Hunter Long,JAX,te,10.5
Davis Allen,LA,te,10.3
Brevin Jordan,HST,te,9.9
Lucas Krull,DEN,te,9.8
Gavin Bartholomew,MIN,te,9.8
Chris Manhertz,NYG,te,9
Jack Stoll,NO,te,8.8
Ben Sims,GB,te,7.9
Jaylin Lane,WAS,wr,44.1
Robbie Ouzts,SEA,te,6.9
John Stephens Jr.,DAL,te,5.5
Ross Dwelley,SF,te,5.2
Isaac TeSlaa,DET,wr,41.5
Ko Kieft,TB,te,5.1
Will Mallory,IND,te,4.9
Blake Whiteheart,CLV,te,4.7
Teagan Quitoriano,ATL,te,4.7
Jaheim Bell,NE,te,4.5
Mitchell Evans,CAR,te,4.5
Jaylin Noel,HST,wr,40
Ben Skowronek,PIT,wr,39.8
Tory Horton,SEA,wr,39.6
Jake Bobo,SEA,wr,39
Dont'e Thornton Jr.,LV,wr,38.3
Jalin Hyatt,NYG,wr,37.9
John Metchie III,HST,wr,37.7
Treylon Burks,TEN,wr,35.1
Savion Williams,GB,wr,34
Zay Jones,ARZ,wr,32.9
Sterling Shepard,TB,wr,32.3
Elic Ayomanor,TEN,wr,31.7
Luke McCaffrey,WAS,wr,28.2
Ja'Lynn Polk,NE,wr,28.1
Simi Fehoko,ARZ,wr,27.9
Jonathan Mingo,DAL,wr,27.8
Johnny Wilson,PHI,wr,27
Jamari Thrash,CLV,wr,27
KeAndre Lambert-Smith,LAC,wr,24.9
Tyler Johnson,NYJ,wr,24.2
Bub Means,NO,wr,22.2
Parris Campbell,DAL,wr,20.8
Olamide Zaccheaus,CHI,wr,20.1
Tylan Wallace,BLT,wr,20.1
Austin Trammell,JAX,wr,19.1
Ihmir Smith-Marsette,NYG,wr,19.1
Zach Pascal,NYG,wr,19
DeAndre Carter,CLV,wr,18.3
Derius Davis,LAC,wr,18.2
Kayshon Boutte,NE,wr,17.5
David Moore,CAR,wr,17
Charlie Jones,CIN,wr,16.2
Jacob Cowing,SF,wr,16
Xavier Gipson,NYJ,wr,15.6
Konata Mumpfield,LA,wr,15.4
Xavier Smith,LA,wr,14.9
Rondale Moore,MIN,wr,12.9
Ashton Dulin,IND,wr,12.6
Ainias Smith,PHI,wr,11.9
Jalen Brooks,DAL,wr,10.3
Tommy Mellott,LV,wr,10.3
D'Wayne Eskridge,MIA,wr,10.2
Cedrick Wilson Jr.,NO,wr,10.2
Jordan Watkins,SF,wr,10.2
Brandon Johnson,PIT,wr,10
Scott Miller,PIT,wr,9.8
Laviska Shenault Jr.,BUF,wr,9.8
Cody White,SEA,wr,9.7
Steven Sims,SEA,wr,9.6
Trent Sherfield,DEN,wr,9.4
LaJohntay Wester,BLT,wr,9.4
Devontez Walker,BLT,wr,9.3
KhaDarel Hodge,ATL,wr,9.2
Devin Duvernay,CHI,wr,8.6
Dante Pettis,NO,wr,8.5
Kevin Austin Jr.,NO,wr,8.4
Chris Blair,ATL,wr,6.3
Nikko Remigio,KC,wr,5.4
Skyy Moore,KC,wr,5.4
Erik Ezukanma,MIA,wr,5.1
Collin Johnson,LV,wr,5
Terrace Marshall Jr.,PHI,wr,4.5
Tai Felton,MIN,wr,3.8
K.J. Osborn,WAS,wr,2.8
Anthony Miller,BLT,wr,2.8
David Bell,CLV,wr,2.7
Britain Covey,LA,wr,0
Mecole Hardman Jr.,GB,wr,0
Braxton Berrios,HST,wr,0
James Proche II,TEN,wr,0
Bo Melton,GB,wr,0
Tim Jones,MIN,wr,0
Jalen Reagor,LAC,wr,0
Dylan Drummond,ATL,wr,0
Kazmeir Allen,WAS,wr,0
Tom Kennedy,DET,wr,0
Anthony Gould,IND,wr,0
Trey Palmer,TB,wr,0
Jha'Quan Jackson,TEN,wr,0
Javon Baker,NE,wr,0
Rakim Jarrett,TB,wr,0
Daniel Jones,IND,qb,69.1
Jaxson Dart,NYG,qb,54.9
Mason Rudolph,PIT,qb,38.5
Jimmy Garoppolo,LA,qb,36.1
Joe Milton III,DAL,qb,35.3
Joe Flacco,CLV,qb,34.7
Gardner Minshew,KC,qb,34.3
Jalen Milroe,SEA,qb,32.2
Jake Browning,CIN,qb,32
Jameis Winston,NYG,qb,31
Aidan O'Connell,LV,qb,30.5
Mac Jones,SF,qb,30.2
Marcus Mariota,WAS,qb,29.7
Zach Wilson,MIA,qb,29.7
Mitch Trubisky,BUF,qb,28.3
Hendon Hooker,DET,qb,28
Cooper Rush,BLT,qb,27.8
Sam Howell,MIN,qb,27.6
Jacoby Brissett,ARZ,qb,27.2
Tanner McKee,PHI,qb,26.9
Davis Mills,HST,qb,26
Kirk Cousins,ATL,qb,25.7
Spencer Rattler,NO,qb,25.7
Nick Mullens,JAX,qb,25.5
Will Levis,TEN,qb,24.7
Tyrod Taylor,NYJ,qb,23.8
Malik Willis,GB,qb,23.6
Andy Dalton,CAR,qb,23
Taylor Heinicke,LAC,qb,22.1
Jarrett Stidham,DEN,qb,21.9
Joshua Dobbs,NE,qb,21.5
Kyle Trask,TB,qb,21.4
Case Keenum,CHI,qb,20.9
Dillon Gabriel,CLV,qb,14.5
Shedeur Sanders,CLV,qb,14.5
Jake Bates,DET,k,155.5
Jake Elliott,PHI,k,152.7
Brandon Aubrey,DAL,k,151.8
Tyler Bass,BUF,k,151.1
Brandon McManus,GB,k,150.7
Chris Boswell,PIT,k,150.2
Chase McLaughlin,TB,k,150.2
Evan McPherson,CIN,k,150.2
Cameron Dicker,LAC,k,150.1
Tyler Loop,BLT,k,149.6
Harrison Butker,KC,k,148.7
Matt Gay,WAS,k,147.7
Jason Sanders,MIA,k,147.6
Jason Myers,SEA,k,146.6
Joshua Karty,LA,k,145.9
Cam Little,JAX,k,145.3
Daniel Carlson,LV,k,145.1
Graham Gano,NYG,k,144.5
Ka'imi Fairbairn,HST,k,144.4
Jake Moody,SF,k,143.4
Chad Ryland,ARZ,k,142.7
Spencer Shrader,IND,k,142.5
Younghoe Koo,ATL,k,142.4
Wil Lutz,DEN,k,141.3
Cairo Santos,CHI,k,140.4
Dustin Hopkins,CLV,k,139.6
Matthew Wright,CAR,k,138.7
Blake Grupe,NO,k,138.5
Will Reichard,MIN,k,137.9
Joey Slye,TEN,k,137.4
Andres Borregales,NE,k,137.3
Caden Davis,NYJ,k,136.6
Steelers DST,PIT,dst,120.2
Bills DST,BUF,dst,119.5
49ers DST,SF,dst,118.6
Lions DST,DET,dst,117.6
Browns DST,CLV,dst,117
Cowboys DST,DAL,dst,114.4
Eagles DST,PHI,dst,114.1
Broncos DST,DEN,dst,113.3
Vikings DST,MIN,dst,112.2
Packers DST,GB,dst,111.9
Patriots DST,NE,dst,111.6
Rams DST,LA,dst,111.6
Texans DST,HST,dst,111.5
Buccaneers DST,TB,dst,110.2
Giants DST,NYG,dst,110.1
Seahawks DST,SEA,dst,110.1
Dolphins DST,MIA,dst,110
Colts DST,IND,dst,108.9
Jets DST,NYJ,dst,108.9
Bengals DST,CIN,dst,108.8
Saints DST,NO,dst,108.4
Cardinals DST,ARZ,dst,108.2
Jaguars DST,JAX,dst,108.1
Falcons DST,ATL,dst,107.7
Bears DST,CHI,dst,107.3
Chiefs DST,KC,dst,106.5
Raiders DST,LV,dst,105.5
Titans DST,TEN,dst,105.4
Commanders DST,WAS,dst,105.4
Chargers DST,LAC,dst,104.5
Ravens DST,BLT,dst,104.4
Panthers DST,CAR,dst,97.7
