name,team,position,projection
Bijan Robinson,ATL,rb,299.4
Jahmyr Gibbs,DET,rb,295.1
Ashton Jeanty,LV,rb,290.3
Saquon Barkley,PHI,rb,285.5
Bucky Irving,TB,rb,281.8
Christian McCaffrey,SF,rb,277.2
De'Von Achane,MIA,rb,275.6
Ja'Marr Chase,CIN,wr,333.4
Derrick Henry,BLT,rb,252.5
Josh Jacobs,GB,rb,252
Kenneth Walker III,SEA,rb,248.1
Jonathan Taylor,IND,rb,242.7
Kyren Williams,LA,rb,241.9
Justin Jefferson,MIN,wr,291.2
James Cook,BUF,rb,231.7
Brian Thomas Jr.,JAX,wr,287.1
Omarion Hampton,LAC,rb,227.9
Puka Nacua,LA,wr,285.3
Chase Brown,CIN,rb,225.9
Brock Bowers,LV,te,245.9
Breece Hall,NYJ,rb,223.3
Alvin Kamara,NO,rb,221.6
RJ Harvey,DEN,rb,220
Nico Collins,HST,wr,277.3
Quinshon Judkins,CLV,rb,219.1
James Conner,ARZ,rb,218.8
Joe Mixon,HST,rb,217.2
Chuba Hubbard,CAR,rb,216.7
CeeDee Lamb,DAL,wr,274.6
Trey McBride,ARZ,te,235.9
Amon-Ra St. Brown,DET,wr,270
D'Andre Swift,CHI,rb,209
Malik Nabers,NYG,wr,266
Aaron Jones,MIN,rb,205.8
Tony Pollard,TEN,rb,205.1
Drake London,ATL,wr,259.4
A.J. Brown,PHI,wr,255.7
Josh Allen,BUF,qb,341.4
Jayden Daniels,WAS,qb,339.5
Ladd McConkey,LAC,wr,249.7
Lamar Jackson,BLT,qb,338.5
Isiah Pacheco,KC,rb,188.2
Jaylen Warren,PIT,rb,188.2
George Kittle,SF,te,209.3
Tee Higgins,CIN,wr,245.7
David Montgomery,DET,rb,187.1
Jalen Hurts,PHI,qb,333.3
Garrett Wilson,NYJ,wr,239.6
Terry McLaurin,WAS,wr,235
Marvin Harrison Jr.,ARZ,wr,233.1
Mike Evans,TB,wr,232.6
Brian Robinson,WAS,rb,170
Rhamondre Stevenson,NE,rb,169.6
Rashee Rice,KC,wr,227.5
Joe Burrow,CIN,qb,314.9
Davante Adams,LA,wr,225.2
TreVeyon Henderson,NE,rb,166.4
D.K. Metcalf,PIT,wr,223.4
DJ Moore,CHI,wr,223.4
T.J. Hockenson,MIN,te,186.8
Tyrone Tracy,NYG,rb,164
Sam LaPorta,DET,te,182.5
Tyreek Hill,MIA,wr,217.9
Jaxon Smith-Njigba,SEA,wr,217.9
Patrick Mahomes,KC,qb,306.9
Travis Etienne Jr.,JAX,rb,158.8
Javonte Williams,DAL,rb,158.2
Jonnu Smith,MIA,te,179.8
Tetairoa McMillan,CAR,wr,216.1
Cam Skattebo,NYG,rb,157.6
Travis Hunter,JAX,wr,215.5
Jameson Williams,DET,wr,215.1
DeVonta Smith,PHI,wr,214.1
Xavier Worthy,KC,wr,213.6
Kaleb Johnson,PIT,rb,155.3
Zay Flowers,BLT,wr,212.7
Zach Charbonnet,SEA,rb,153.9
David Njoku,CLV,te,174.4
Jaylen Waddle,MIA,wr,210
Tyjae Spears,TEN,rb,150.6
Baker Mayfield,TB,qb,297
Austin Ekeler,WAS,rb,147.6
Courtland Sutton,DEN,wr,202.6
Brock Purdy,SF,qb,288.3
Deebo Samuel,WAS,wr,198.4
Chris Godwin,TB,wr,197.7
Jordan Addison,MIN,wr,196.9
Jakobi Meyers,LV,wr,196.7
Chris Olave,NO,wr,195.8
Brandon Aiyuk,SF,wr,195.6
Travis Kelce,KC,te,158.9
Colston Loveland,CHI,te,158.8
Jerry Jeudy,CLV,wr,195.2
Khalil Shakir,BUF,wr,193.8
Christian Kirk,HST,wr,191.8
Calvin Ridley,TEN,wr,191.6
Mark Andrews,BLT,te,154.8
George Pickens,DAL,wr,191.1
Bo Nix,DEN,qb,279.9
Jauan Jennings,SF,wr,189.8
Tucker Kraft,GB,te,153.2
Cedric Tillman,CLV,wr,189.5
Rome Odunze,CHI,wr,188.8
Pat Freiermuth,PIT,te,151.9
Kyler Murray,ARZ,qb,277.8
Justin Fields,NYJ,qb,277.8
Tyler Warren,IND,te,151.4
Jayden Reed,GB,wr,187.7
Evan Engram,DEN,te,150.2
Dak Prescott,DAL,qb,276.1
Jared Goff,DET,qb,276
Dalton Kincaid,BUF,te,150
Justin Herbert,LAC,qb,275
Dallas Goedert,PHI,te,148.9
Jordan Mason,MIN,rb,126
Kendre Miller,NO,rb,125.9
Rachaad White,TB,rb,125
Jake Ferguson,DAL,te,146.3
Darnell Mooney,ATL,wr,182
Rashid Shaheed,NO,wr,181.5
Josh Downs,IND,wr,181.4
Matthew Golden,GB,wr,180.2
Wan'Dale Robinson,NYG,wr,177.8
Cooper Kupp,SEA,wr,176.8
Jordan Love,GB,qb,266
Tank Bigsby,JAX,rb,118.3
Tua Tagovailoa,MIA,qb,264.2
Quentin Johnston,LAC,wr,174.6
Kyle Pitts,ATL,te,138.2
Justice Hill,BLT,rb,116.5
Stefon Diggs,NE,wr,173.6
Keon Coleman,BUF,wr,173.4
Chigoziem Okonkwo,TEN,te,136.8
Romeo Doubs,GB,wr,171.2
Geno Smith,LV,qb,260.3
Hunter Henry,NE,te,134.2
Brenton Strange,JAX,te,133.8
Michael Pittman Jr.,IND,wr,170.1
C.J. Stroud,HST,qb,259.2
Isaac Guerendo,SF,rb,110.3
Roschon Johnson,CHI,rb,110.3
Jaydon Blue,DAL,rb,110
J.J. McCarthy,MIN,qb,257.3
J.K. Dobbins,DEN,rb,108.8
Trey Benson,ARZ,rb,108.5
Zach Ertz,WAS,te,130
Cade Otton,TB,te,129.1
Adam Thielen,CAR,wr,165.3
Sam Darnold,SEA,qb,254.8
Mike Gesicki,CIN,te,128.4
Aaron Rodgers,PIT,qb,254.1
Trevor Lawrence,JAX,qb,254
Matthew Stafford,LA,qb,253.8
Calvin Austin III,PIT,wr,164.2
Isaiah Likely,BLT,te,126.5
Rico Dowdle,CAR,rb,102.8
Ray Davis,BUF,rb,102.6
Dalton Schultz,HST,te,123.4
Tyler Allgeier,ATL,rb,101.7
Drake Maye,NE,qb,249.3
Jaylen Wright,MIA,rb,101.1
Dylan Sampson,CLV,rb,101
Marvin Mims Jr.,DEN,wr,158.5
Marquise Brown,KC,wr,157.8
MarShawn Lloyd,GB,rb,95.5
Najee Harris,LAC,rb,95
Cam Ward,TEN,qb,242.3
Caleb Williams,CHI,qb,240.2
Ray-Ray McCloud III,ATL,wr,150.6
Jack Bech,LV,wr,149.3
Juwan Johnson,NO,te,112.7
Anthony Richardson,IND,qb,237.2
Theo Johnson,NYG,te,110.8
Mason Taylor,NYJ,te,110.1
Ja'Tavion Sanders,CAR,te,109.8
Rashod Bateman,BLT,wr,145.2
Michael Penix Jr.,ATL,qb,234.7
Demario Douglas,NE,wr,144.5
Tyler Shough,NO,qb,232.9
Tyler Conklin,LAC,te,106.9
Braelon Allen,NYJ,rb,83.7
Michael Wilson,ARZ,wr,139.3
Noah Fant,SEA,te,101.1
Alexander Mattison,MIA,rb,78.7
Ricky Pearsall,SF,wr,136.4
Tyler Higbee,LA,te,99.9
Tyler Lockett,TEN,wr,135
Kareem Hunt,KC,rb,76.6
Bryce Young,CAR,qb,223.1
Raheem Mostert,LV,rb,73.6
Samaje Perine,CIN,rb,72.5
Nick Chubb,HST,rb,72.4
Woody Marks,HST,rb,72.4
Blake Corum,LA,rb,71.4
AJ Dillon,PHI,rb,71.2
Emeka Egbuka,TB,wr,128.9
Diontae Johnson,CLV,wr,127.6
Joshua Palmer,BUF,wr,127.4
Zack Moss,CIN,rb,68.5
Darius Slayton,NYG,wr,125.9
Elijah Mitchell,KC,rb,67.2
Miles Sanders,DAL,rb,66.3
Tre Tucker,LV,wr,123.8
Ty Johnson,BUF,rb,64.8
Tutu Atwell,LA,wr,122.4
Will Dissly,LAC,te,85.4
Bhayshul Tuten,JAX,rb,62.9
Elijah Arroyo,SEA,te,84.5
Emari Demercado,ARZ,rb,62.8
Noah Gray,KC,te,84.2
Kenny Pickett,CLV,qb,209.8
Michael Mayer,LV,te,83
Russell Wilson,NYG,qb,208
Emanuel Wilson,GB,rb,60.1
Austin Hooper,NE,te,81
Jayden Higgins,HST,wr,116.6
Devin Singletary,NYG,rb,58.1
Xavier Legette,CAR,wr,116
Isaiah Davis,NYJ,rb,56.6
