name,position,team,projection
Ja'Marr Chase,WR,CIN,347
Bijan Robinson,RB,ATL,327
CeeDee Lamb,WR,DAL,329
Justin Jefferson,WR,MIN,315
Saquon Barkley,RB,PHI,320
Puka Nacua,WR,LAR,319
Christian McCaffrey,RB,SF,323
Malik Nabers,WR,NYG,305
Nico Collins,WR,HOU,306
Jahmyr Gibbs,RB,DET,296
Brian Thomas Jr.,WR,JAC,298
Ashton Jeanty,RB,LVR,287
Jonathan Taylor,RB,IND,278
De'Von Achane,RB,MIA,293
Amon-Ra St. Brown,WR,DET,276
Derrick Henry,RB,BAL,285
A.J. Brown,WR,PHI,282
Drake London,WR,ATL,279
Tee Higgins,WR,CIN,281
Tyreek Hill,WR,MIA,270
Breece Hall,RB,NYJ,255
Joe Mixon,RB,HOU,279
Alvin Kamara,RB,NO,271
Brock Bowers,TE,LVR,267
Josh Jacobs,RB,GB,265
Bucky Irving,RB,TB,266
Trey McBride,TE,ARI,262
Rashee Rice,WR,KC,261
Lamar Jackson,QB,BAL,382
Jayden Daniels,QB,WAS,384
Kyren Williams,RB,LAR,247
Ladd McConkey,WR,LAC,249
Chase Brown,RB,CIN,244
Josh Allen,QB,BUF,375
Jalen Hurts,QB,PHI,379
Mike Evans,WR,TB,259
James Cook,RB,BUF,249
Chuba Hubbard,RB,CAR,250
Kenneth Walker III,RB,SEA,241
Davante Adams,WR,LAR,248
James Conner,RB,ARI,254
Garrett Wilson,WR,NYJ,234
George Kittle,TE,SF,222
Xavier Worthy,WR,KC,236
D.J. Moore,WR,CHI,242
Jaxon Smith-Njigba,WR,SEA,236
Terry McLaurin,WR,WAS,240
Marvin Harrison Jr.,WR,ARI,231
DeVonta Smith,WR,PHI,229
D.K. Metcalf,WR,PIT,227
Joe Burrow,QB,CIN,368
Zay Flowers,WR,BAL,234
Jaylen Waddle,WR,MIA,230
Tetairoa McMillan,WR,CAR,226
Courtland Sutton,WR,DEN,232
Travis Hunter,WR,JAC,215
Chris Godwin,WR,TB,225
Sam LaPorta,TE,DET,193
George Pickens,WR,DAL,227
David Montgomery,RB,DET,222
Aaron Jones,RB,MIN,230
Chris Olave,WR,NO,219
Jameson Williams,WR,DET,217
Travis Kelce,TE,KC,199
Isiah Pacheco,RB,KC,211
Omarion Hampton,RB,LAC,205
Quinshon Judkins,RB,CLE,208
RJ Harvey,RB,DEN,206
D'Andre Swift,RB,CHI,210
Calvin Ridley,WR,TEN,223
Tony Pollard,RB,TEN,203
TreVeyon Henderson,RB,NE,200
Jakobi Meyers,WR,LVR,220
Deebo Samuel,WR,WAS,216
Jonnu Smith,TE,MIA,188
T.J. Hockenson,TE,MIN,180
Khalil Shakir,WR,BUF,214
Jauan Jennings,WR,SF,202
David Njoku,TE,CLE,182
Jordan Addison,WR,MIN,199
Rome Odunze,WR,CHI,191
Mark Andrews,TE,BAL,175
Jayden Reed,WR,GB,205
Jerry Jeudy,WR,CLE,196
Patrick Mahomes,QB,KC,333
Brian Robinson Jr.,RB,WAS,184
Jaylen Warren,RB,PIT,188
Dalton Kincaid,TE,BUF,170
Travis Etienne,RB,JAC,177
Ricky Pearsall,WR,SF,178
Kaleb Johnson,RB,PIT,173
Jake Ferguson,TE,DAL,171
Evan Engram,TE,DEN,163
Tucker Kraft,TE,GB,164
Dallas Goedert,TE,PHI,161
Kyler Murray,QB,ARI,316
Tyler Warren,TE,IND,150
Bo Nix,QB,DEN,322
Darnell Mooney,WR,ATL,183
Josh Downs,WR,IND,180
Justin Fields,QB,NYJ,318
Tyrone Tracy Jr.,RB,NYG,170
Baker Mayfield,QB,TB,317
Michael Pittman Jr.,WR,IND,174
Cooper Kupp,WR,SEA,171
Tyjae Spears,RB,TEN,159
Justin Herbert,QB,LAC,315
Caleb Williams,QB,CHI,316
Cameron Skattebo,RB,NYG,163
Najee Harris,RB,LAC,153
Marquise Brown,WR,KC,178
Rashid Shaheed,WR,NO,175
Stefon Diggs,WR,NE,167
Austin Ekeler,RB,WAS,161
Keon Coleman,WR,BUF,167
Brandon Aiyuk,WR,SF,158
Dak Prescott,QB,DAL,307
Pat Freiermuth,TE,PIT,148
Tank Bigsby,RB,JAC,141
Drake Maye,QB,NE,303
Trevor Lawrence,QB,JAC,304
Zach Ertz,TE,WAS,150
Javonte Williams,RB,DAL,143
Colston Loveland,TE,CHI,132
Jared Goff,QB,DET,300
Brock Purdy,QB,SF,301
Christian Kirk,WR,HOU,175
Younghoe Koo,K,ATL,63
Jake Bates,K,DET,64
Chigoziem Okonkwo,TE,TEN,146
Zach Charbonnet,RB,SEA,133
Jordan Love,QB,GB,297
Isaiah Likely,TE,BAL,138
Rachaad White,RB,TB,136
C.J. Stroud,QB,HOU,295
Mike Gesicki,TE,CIN,137
Cade Otton,TE,TB,144
J.K. Dobbins,RB,UNS,142
Hunter Henry,TE,NE,136
Jayden Higgins,WR,HOU,161
Tua Tagovailoa,QB,MIA,293
Kyle Pitts,TE,ATL,134
Keenan Allen,WR,UNS,166
J.J. McCarthy,QB,MIN,302
Dalton Schultz,TE,HOU,136
Romeo Doubs,WR,GB,164
Matthew Golden,WR,GB,154
Jordan Mason,RB,MIN,115
Evan McPherson,K,CIN,53
Rhamondre Stevenson,RB,NE,122
Jaydon Blue,RB,DAL,123
Luther Burden III,WR,CHI,158
Tyler Bass,K,BUF,53
Bryce Young,QB,CAR,294
Joshua Palmer,WR,BUF,151
Amari Cooper,WR,UNS,158
Matt Gay,K,WAS,53
Brenton Strange,TE,JAC,127
Jake Elliott,K,PHI,53
Tyler Loop,K,BAL,51
Diontae Johnson,WR,CLE,156
Juwan Johnson,TE,NO,123
Emeka Egbuka,WR,TB,149
Jack Bech,WR,LVR,146
Harrison Butker,K,KC,49
Bhayshul Tuten,RB,JAC,96
Justin Tucker,K,UNS,50
Wan'Dale Robinson,WR,NYG,156
Mason Taylor,TE,NYJ,118
Quentin Johnston,WR,LAC,153
Ray Davis,RB,BUF,102
Cam Little,K,JAC,46
Rashod Bateman,WR,BAL,144
Chase McLaughlin,K,TB,48
Roschon Johnson,RB,CHI,105
Chad Ryland,K,ARI,47
Tre Harris,WR,LAC,143
Justice Hill,RB,BAL,117
Matthew Stafford,QB,LAR,272
Tyler Allgeier,RB,ATL,100
Kyle Williams,WR,NE,136
Jason Sanders,K,MIA,46
Cameron Dicker,K,LAC,46
Geno Smith,QB,LVR,276
Cameron Ward,QB,TEN,274
Trey Benson,RB,ARI,87
Jake Moody,K,SF,46
Cole Kmet,TE,CHI,111
Xavier Legette,WR,CAR,147
Marvin Mims Jr.,WR,DEN,156
Cedric Tillman,WR,CLE,134
Sam Darnold,QB,SEA,271
Jalen Coker,WR,CAR,143
Isaac Guerendo,RB,SF,76
Adam Thielen,WR,CAR,151
Blake Corum,RB,LAR,82
Anthony Richardson,QB,IND,266
Jaylen Wright,RB,MIA,87
Theo Johnson,TE,NYG,110
Michael Wilson,WR,ARI,148
Joshua Karty,K,LAR,44
Dylan Sampson,RB,CLE,92
Kareem Hunt,RB,KC,89
Jalen McMillan,WR,TB,130
MarShawn Lloyd,RB,GB,82
Michael Penix Jr.,QB,ATL,266
Will Reichard,K,MIN,43
Ryan Fitzgerald,K,CAR,43
Brandon Aubrey,K,DAL,44
Nick Chubb,RB,UNS,88
Graham Gano,K,NYG,37
Daniel Carlson,K,LVR,41
Jo'Quavious Marks,RB,HOU,87
Kendre Miller,RB,NO,83
Ka'imi Fairbairn,K,HOU,43
Wil Lutz,K,DEN,43
Elijah Mitchell,RB,KC,74
Cairo Santos,K,CHI,41
John Parker Romo,K,NE,39
Jarquez Hunter,RB,LAR,66
Jason Myers,K,SEA,41
Miles Sanders,RB,DAL,80
Jerome Ford,RB,CLE,93
Zack Moss,RB,CIN,82
Rico Dowdle,RB,CAR,78
Braelon Allen,RB,NYJ,67
Blake Grupe,K,NO,38
Trevor Etienne,RB,CAR,73
Greg Zuerlein,K,UNS,38
Dustin Hopkins,K,CLE,35
Jaleel McLaughlin,RB,DEN,90
Darius Slayton,WR,NYG,128
Alec Pierce,WR,IND,116
Elijah Arroyo,TE,SEA,97
Ja'Tavion Sanders,TE,CAR,90
Audric Estime,RB,DEN,80
DJ Giddens,RB,IND,64
Ray-Ray McCloud,WR,ATL,136
Cam Akers,RB,UNS,79
Will Dissly,TE,LAC,97
Terrance Ferguson,TE,LAR,84
Jordan James,RB,SF,56
Noah Fant,TE,SEA,94
Pat Bryant,WR,DEN,113
Mike Williams,WR,LAC,113
Tahj Brooks,RB,CIN,58
Samaje Perine,RB,CIN,82
Antonio Gibson,RB,NE,69
Ollie Gordon II,RB,MIA,57
Dontayvion Wicks,WR,GB,110
Gus Edwards,RB,UNS,76
Isaiah Davis,RB,NYJ,50
Tyler Higbee,TE,LAR,82
Will Shipley,RB,PHI,65
Devin Neal,RB,NO,54
Tyler Lockett,WR,TEN,111
Ty Johnson,RB,BUF,64
Dyami Brown,WR,JAC,115
Aaron Rodgers,QB,UNS,249
Jaylin Noel,WR,HOU,104
Christian Watson,WR,GB,56
Kenneth Gainwell,RB,PIT,65
Alexander Mattison,RB,MIA,55
Devin Singletary,RB,NYG,60
Harold Fannin Jr.,TE,CLE,70
Noah Gray,TE,KC,80
Brashard Smith,RB,KC,46
Khalil Herbert,RB,IND,44
Raheem Mostert,RB,LVR,59
Kyle Monangai,RB,CHI,42
Roman Wilson,WR,PIT,102
Russell Wilson,QB,NYG,253
Phil Mafah,RB,DAL,40
Keaton Mitchell,RB,BAL,39
DeAndre Hopkins,WR,BAL,108
Tutu Atwell,WR,LAR,105
Jacory Croskey-Merritt,RB,WAS,37
Emari Demercado,RB,ARI,58
Tyler Shough,QB,NO,244
Jeremy McNichols,RB,WAS,41
Andrei Iosivas,WR,CIN,99
Emanuel Wilson,RB,GB,53
Calvin Austin III,WR,PIT,102
Mack Hollins,WR,NE,97
LeQuint Allen,RB,JAC,32
Sean Tucker,RB,TB,47
Kirk Cousins,QB,ATL,98
A.J. Dillon,RB,PHI,45
Taysom Hill,TE,NO,84
Jordan Whittington,WR,LAR,91
Clyde Edwards-Helaire,RB,NO,46
Kayshon Boutte,WR,NE,104
Demario Douglas,WR,NE,93
Noah Brown,WR,WAS,88
Damien Martinez,RB,SEA,29
Troy Franklin,WR,DEN,91
Tyler Conklin,TE,LAC,63
Austin Hooper,TE,NE,70
Chris Rodriguez,RB,WAS,32
Dameon Pierce,RB,HOU,33
Michael Mayer,TE,LVR,67
Cade Stover,TE,HOU,58
Gabriel Davis,WR,UNS,89
Malik Washington,WR,MIA,91
Darnell Washington,TE,PIT,59
Adonai Mitchell,WR,IND,71
Foster Moreau,TE,NO,67
Jalen Nailor,WR,MIN,92
Michael Carter,RB,ARI,31
Curtis Samuel,WR,BUF,93
Kalel Mullings,RB,TEN,26
Christopher Brooks,RB,GB,37
Luke Musgrave,TE,GB,47
Cordarrelle Patterson,RB,PIT,39
