name,position,team,projection
Ja'Marr Chase,WR,CIN,347
Bijan Robinson,RB,ATL,327
CeeDee Lamb,WR,DAL,329
Saquon Barkley,RB,PHI,320
Justin Jefferson,WR,MIN,316
Puka Nacua,WR,LAR,319
Christian McCaffrey,RB,SF,322
Jahmyr Gibbs,RB,DET,296
Malik Nabers,WR,NYG,305
Nico Collins,WR,HOU,305
Brian Thomas Jr.,WR,JAC,298
Ashton Jeanty,RB,LVR,287
Jonathan Taylor,RB,IND,279
De'Von Achane,RB,MIA,293
Derrick Henry,RB,BAL,285
Amon-Ra St. Brown,WR,DET,276
A.J. Brown,WR,PHI,282
Drake London,WR,ATL,279
Tee Higgins,WR,CIN,281
Tyreek Hill,WR,MIA,269
Breece Hall,RB,NYJ,255
Alvin Kamara,RB,NO,271
Chase Brown,RB,CIN,258
Brock Bowers,TE,LVR,267
Josh Jacobs,RB,GB,263
Bucky Irving,RB,TB,266
Trey McBride,TE,ARI,262
Joe Mixon,RB,HOU,269
Rashee Rice,WR,KC,261
Lamar Jackson,QB,BAL,382
Jayden Daniels,QB,WAS,384
Xavier Worthy,WR,KC,255
Kyren Williams,RB,LAR,247
Ladd McConkey,WR,LAC,249
Josh Allen,QB,BUF,375
Jalen Hurts,QB,PHI,379
Mike Evans,WR,TB,257
Kenneth Walker III,RB,SEA,246
James Cook,RB,BUF,249
Chuba Hubbard,RB,CAR,250
Davante Adams,WR,LAR,248
James Conner,RB,ARI,254
Garrett Wilson,WR,NYJ,236
George Kittle,TE,SF,223
D.J. Moore,WR,CHI,242
D.K. Metcalf,WR,PIT,242
Jaxon Smith-Njigba,WR,SEA,236
Terry McLaurin,WR,WAS,240
Marvin Harrison Jr.,WR,ARI,231
DeVonta Smith,WR,PHI,229
Joe Burrow,QB,CIN,368
Jaylen Waddle,WR,MIA,233
Zay Flowers,WR,BAL,234
Tetairoa McMillan,WR,CAR,226
Aaron Jones,RB,MIN,233
Courtland Sutton,WR,DEN,232
Jauan Jennings,WR,SF,222
Sam LaPorta,TE,DET,193
Travis Hunter,WR,JAC,215
David Montgomery,RB,DET,222
Chris Godwin,WR,TB,225
George Pickens,WR,DAL,227
Chris Olave,WR,NO,219
Jameson Williams,WR,DET,217
Isiah Pacheco,RB,KC,211
Omarion Hampton,RB,LAC,205
Travis Kelce,TE,KC,199
Quinshon Judkins,RB,CLE,208
D'Andre Swift,RB,CHI,210
Tony Pollard,RB,TEN,203
Calvin Ridley,WR,TEN,223
TreVeyon Henderson,RB,NE,199
T.J. Hockenson,TE,MIN,183
RJ Harvey,RB,DEN,200
Jakobi Meyers,WR,LVR,220
Deebo Samuel,WR,WAS,216
Ricky Pearsall,WR,SF,191
Khalil Shakir,WR,BUF,214
Jonnu Smith,TE,MIA,183
David Njoku,TE,CLE,182
Mark Andrews,TE,BAL,175
Jordan Addison,WR,MIN,199
Rome Odunze,WR,CHI,191
Jayden Reed,WR,GB,205
Marquise Brown,WR,KC,200
Patrick Mahomes,QB,KC,333
Jerry Jeudy,WR,CLE,196
Brian Robinson Jr.,RB,WAS,184
Jaylen Warren,RB,PIT,189
Dalton Kincaid,TE,BUF,170
Travis Etienne,RB,JAC,177
Kaleb Johnson,RB,PIT,171
Tucker Kraft,TE,GB,166
Jake Ferguson,TE,DAL,171
Evan Engram,TE,DEN,163
Kyler Murray,QB,ARI,316
Dallas Goedert,TE,PHI,161
Bo Nix,QB,DEN,322
Tyler Warren,TE,IND,151
Josh Downs,WR,IND,181
Tyrone Tracy Jr.,RB,NYG,170
Justin Fields,QB,NYJ,318
Baker Mayfield,QB,TB,317
Darnell Mooney,WR,ATL,183
Tyjae Spears,RB,TEN,159
Caleb Williams,QB,CHI,316
Cameron Skattebo,RB,NYG,163
Najee Harris,RB,LAC,153
Justin Herbert,QB,LAC,315
Pat Freiermuth,TE,PIT,157
Michael Pittman Jr.,WR,IND,176
Cooper Kupp,WR,SEA,171
Austin Ekeler,RB,WAS,161
Rashid Shaheed,WR,NO,175
Stefon Diggs,WR,NE,167
Dak Prescott,QB,DAL,307
Keon Coleman,WR,BUF,167
Tank Bigsby,RB,JAC,141
Trevor Lawrence,QB,JAC,304
Drake Maye,QB,NE,303
Brock Purdy,QB,SF,303
Zach Ertz,TE,WAS,150
Javonte Williams,RB,DAL,143
Colston Loveland,TE,CHI,132
Jordan Love,QB,GB,302
Jared Goff,QB,DET,300
Chigoziem Okonkwo,TE,TEN,146
Christian Kirk,WR,HOU,174
Jayden Higgins,WR,HOU,166
Isaiah Likely,TE,BAL,138
Rachaad White,RB,TB,136
Mike Gesicki,TE,CIN,137
Cade Otton,TE,TB,144
J.J. McCarthy,QB,MIN,304
Brandon Aubrey,K,DAL,168
C.J. Stroud,QB,HOU,293
Rhamondre Stevenson,RB,NE,128
Jordan Mason,RB,MIN,120
Hunter Henry,TE,NE,136
Tua Tagovailoa,QB,MIA,293
Kyle Pitts,TE,ATL,134
Zach Charbonnet,RB,SEA,128
J.K. Dobbins,RB,DEN,127
Romeo Doubs,WR,GB,166
Keenan Allen,WR,UNS,166
Matthew Golden,WR,GB,154
Cameron Dicker,K,LAC,163
Jaydon Blue,RB,DAL,123
Dalton Schultz,TE,HOU,134
Bryce Young,QB,CAR,294
Younghoe Koo,K,ATL,163
Brenton Strange,TE,JAC,127
Luther Burden III,WR,CHI,158
Emeka Egbuka,WR,TB,154
Joshua Palmer,WR,BUF,151
Amari Cooper,WR,UNS,158
Matt Gay,K,WAS,156
Juwan Johnson,TE,NO,123
Jake Elliott,K,PHI,156
Jake Bates,K,DET,155
Brandon McManus,K,GB,155
Ka'imi Fairbairn,K,HOU,153
Bhayshul Tuten,RB,JAC,96
Diontae Johnson,WR,CLE,155
Harrison Butker,K,KC,151
Cam Little,K,JAC,155
Wan'Dale Robinson,WR,NYG,156
Mason Taylor,TE,NYJ,118
Ray Davis,RB,BUF,102
Roschon Johnson,RB,CHI,105
Matthew Stafford,QB,LAR,273
Quentin Johnston,WR,LAC,153
Justice Hill,RB,BAL,117
Rashod Bateman,WR,BAL,144
Jason Sanders,K,MIA,150
Tyler Allgeier,RB,ATL,100
Cedric Tillman,WR,CLE,140
Tre Harris,WR,LAC,143
Daniel Carlson,K,LVR,150
Geno Smith,QB,LVR,276
Cameron Ward,QB,TEN,274
Kyle Williams,WR,NE,136
Evan McPherson,K,CIN,146
Trey Benson,RB,ARI,87
Tyler Loop,K,BAL,148
Chase McLaughlin,K,TB,146
Cole Kmet,TE,CHI,111
Sam Darnold,QB,SEA,271
Wil Lutz,K,DEN,146
Isaac Guerendo,RB,SF,76
Jack Bech,WR,LVR,136
Xavier Legette,WR,CAR,147
Marvin Mims Jr.,WR,DEN,156
Blake Corum,RB,LAR,82
Joshua Karty,K,LAR,146
Jaylen Wright,RB,MIA,87
Jalen Coker,WR,CAR,143
Theo Johnson,TE,NYG,110
Miles Sanders,RB,DAL,80
Adam Thielen,WR,CAR,151
Dylan Sampson,RB,CLE,92
Kareem Hunt,RB,KC,89
Michael Wilson,WR,ARI,148
MarShawn Lloyd,RB,GB,81
Michael Penix Jr.,QB,ATL,266
Chad Ryland,K,ARI,145
Chris Boswell,K,PIT,145
Kendre Miller,RB,NO,81
Elijah Mitchell,RB,KC,74
Anthony Richardson,QB,IND,267
Jason Myers,K,SEA,143
Jarquez Hunter,RB,LAR,66
Cairo Santos,K,CHI,145
Jerome Ford,RB,CLE,93
Demarcus Robinson,WR,SF,90
Rico Dowdle,RB,CAR,78
Tyler Bass,K,BUF,139
Braelon Allen,RB,NYJ,67
Jalen McMillan,WR,TB,124
Trevor Etienne,RB,CAR,73
Demario Douglas,WR,NE,123
Jo'Quavious Marks,RB,HOU,77
Nick Chubb,RB,HOU,57
Elijah Arroyo,TE,SEA,97
DJ Giddens,RB,IND,64
Ja'Tavion Sanders,TE,CAR,90
Alec Pierce,WR,IND,116
Darius Slayton,WR,NYG,128
Jordan James,RB,SF,56
Terrance Ferguson,TE,LAR,84
Tahj Brooks,RB,CIN,58
Noah Fant,TE,SEA,94
Ray-Ray McCloud,WR,ATL,136
Samaje Perine,RB,CIN,82
Mike Williams,WR,LAC,113
Pat Bryant,WR,DEN,113
Aaron Rodgers,QB,PIT,247
Antonio Gibson,RB,NE,69
Ollie Gordon II,RB,MIA,57
Zack Moss,RB,CIN,65
Dontayvion Wicks,WR,GB,111
Isaiah Davis,RB,NYJ,50
Gus Edwards,RB,UNS,76
Tyler Higbee,TE,LAR,83
Will Shipley,RB,PHI,65
Will Dissly,TE,LAC,92
Spencer Shrader,K,IND,135
Will Reichard,K,MIN,134
Ty Johnson,RB,BUF,64
Tyler Lockett,WR,TEN,111
Devin Neal,RB,NO,51
Kenneth Gainwell,RB,PIT,65
Dyami Brown,WR,JAC,115
Alexander Mattison,RB,MIA,55
Christian Watson,WR,GB,56
Raheem Mostert,RB,LVR,63
Jaylin Noel,WR,HOU,103
Devin Singletary,RB,NYG,60
Harold Fannin Jr.,TE,CLE,70
Noah Gray,TE,KC,80
Brashard Smith,RB,KC,46
Khalil Herbert,RB,IND,44
Kyle Monangai,RB,CHI,42
Russell Wilson,QB,NYG,253
Andres Borregales,K,NE,131
Keaton Mitchell,RB,BAL,39
Phil Mafah,RB,DAL,40
Roman Wilson,WR,PIT,103
DeAndre Hopkins,WR,BAL,108
Tutu Atwell,WR,LAR,105
Jacory Croskey-Merritt,RB,WAS,37
Emari Demercado,RB,ARI,58
Jeremy McNichols,RB,WAS,41
Tyler Shough,QB,NO,244
Blake Grupe,K,NO,129
Calvin Austin III,WR,PIT,105
Jaleel McLaughlin,RB,DEN,60
Andrei Iosivas,WR,CIN,99
LeQuint Allen,RB,JAC,32
Emanuel Wilson,RB,GB,52
Sean Tucker,RB,TB,47
JuJu Smith-Schuster,WR,KC,89
Dont'e Thornton Jr.,WR,LVR,87
Joey Slye,K,TEN,128
Mack Hollins,WR,NE,97
Gabriel Davis,WR,UNS,92
A.J. Dillon,RB,PHI,45
Taysom Hill,TE,NO,84
Audric Estime,RB,DEN,41
Jordan Whittington,WR,LAR,91
Tyler Conklin,TE,LAC,63
Kayshon Boutte,WR,NE,104
Chris Rodriguez,RB,WAS,32
Austin Hooper,TE,NE,70
Noah Brown,WR,WAS,88
Troy Franklin,WR,DEN,91
Cam Akers,RB,NO,47
Michael Mayer,TE,LVR,67
Cade Stover,TE,HOU,58
Daniel Jones,QB,IND,137
Darnell Washington,TE,PIT,59
Oronde Gadsden II,TE,LAC,53
Malik Washington,WR,MIA,91
Adonai Mitchell,WR,IND,71
Dameon Pierce,RB,HOU,30
Jalen Nailor,WR,MIN,94
Damien Martinez,RB,SEA,25
Clyde Edwards-Helaire,RB,NO,40
Foster Moreau,TE,NO,67
Michael Carter,RB,ARI,31
Kalel Mullings,RB,TEN,26
Christopher Brooks,RB,GB,37
Luke Musgrave,TE,GB,48
Curtis Samuel,WR,BUF,93
