name,team,position,projection
Philadelphia Eagles,PHI,DST,117.7
Trey Benson,ARI,RB,117.1
Jack Bech,LV,WR,117.1
Cam Little,JAC,K,116.8
Ray Davis,BUF,RB,116.4
Cedric Tillman,CLE,WR,116.3
Christian Kirk,HOU,WR,116.3
Marquise Brown,KC,WR,116.1
Adam Thielen,CAR,WR,115.6
Jason Myers,SEA,K,115.6
Kyle Williams,NE,WR,115.5
Isaac Guerendo,SF,RB,114.4
Dallas Goedert,PHI,TE,113.8
Colston Loveland,CHI,TE,113.2
Cairo Santos,CHI,K,112.6
Minnesota Vikings,MIN,DST,112.6
Jalen McMillan,TB,WR,111.2
Bhayshul Tuten,JAC,RB,110.7
Jaydon Blue,DAL,RB,110
Jason Sanders,MIA,K,109.7
Jake Ferguson,DAL,TE,109.6
Tyler Warren,IND,TE,109
Pat Freiermuth,PIT,TE,108.7
Romeo Doubs,GB,WR,108.6
Quentin Johnston,LAC,WR,108.2
Xavier Legette,CAR,WR,106.9
Houston Texans,HOU,DST,106.8
New York Jets,NYJ,DST,106.2
Buffalo Bills,BUF,DST,106.1
Wan'Dale Robinson,NYG,WR,106
Kyle Pitts,ATL,TE,105.8
DeAndre Hopkins,BAL,WR,105.6
Baltimore Ravens,BAL,DST,105.3
Tyler Allgeier,ATL,RB,103.9
Alec Pierce,IND,WR,102.5
Pittsburgh Steelers,PIT,DST,102.2
Carolina Panthers,CAR,DST,100.7
Hunter Henry,NE,TE,100.4
Zach Ertz,WAS,TE,100.2
Isaiah Likely,BAL,TE,99.5
Detroit Lions,DET,DST,99.3
Mike Gesicki,CIN,TE,99.2
Rico Dowdle,CAR,RB,99.1
Shedeur Sanders,CLE,QB,98.3
Chig Okonkwo,TEN,TE,97.1
Los Angeles Rams,LAR,DST,97
Cade Otton,TB,TE,97
Brenton Strange,JAC,TE,96.5
Jalen Coker,CAR,WR,96
Dalton Schultz,HOU,TE,96
Roschon Johnson,CHI,RB,95.3
Joshua Palmer,BUF,WR,94.9
Michael Wilson,ARI,WR,94.1
Chicago Bears,CHI,DST,93.7
Seattle Seahawks,SEA,DST,93.3
Green Bay Packers,GB,DST,93
Andrei Iosivas,CIN,WR,92.7
Atlanta Falcons,ATL,DST,92.1
Adonai Mitchell,IND,WR,91.6
Jaylen Wright,MIA,RB,91.6
Las Vegas Raiders,LV,DST,91.3
New York Giants,NYG,DST,90.6
Juwan Johnson,NO,TE,90.5
Ja'Tavion Sanders,CAR,TE,90.3
Braelon Allen,NYJ,RB,90.1
Cincinnati Bengals,CIN,DST,90
