name,position,team,projection
Ja'Marr Chase,WR,CIN,322
Bijan Robinson,RB,ATL,300
CeeDee Lamb,WR,DAL,286
Justin Jefferson,WR,MIN,299
Saquon Barkley,RB,PHI,297
Puka Nacua,WR,LAR,287
Christian McCaffrey,RB,SF,265
Malik Nabers,WR,NYG,281
Nico Collins,WR,HOU,273
Jahmyr Gibbs,RB,DET,287
Brian Thomas Jr.,WR,JAC,261
Ashton Jeanty,RB,LVR,258
Jonathan Taylor,RB,IND,243
De'Von Achane,RB,MIA,274
Amon-Ra St. Brown,WR,DET,268
Derrick Henry,RB,BAL,270
A.J. Brown,WR,PHI,251
Drake London,WR,ATL,254
Tee Higgins,WR,CIN,252
Tyreek Hill,WR,MIA,238
Breece Hall,RB,NYJ,229
Joe Mixon,RB,HOU,230
Alvin Kamara,RB,NO,230
Brock Bowers,TE,LVR,239
Josh Jacobs,RB,GB,251
Bucky Irving,RB,TB,251
Trey McBride,TE,ARI,238
Rashee Rice,WR,KC,240
Lamar Jackson,QB,BAL,364
Jayden Daniels,QB,WAS,358
Kyren Williams,RB,LAR,244
Ladd McConkey,WR,LAC,245
Chase Brown,RB,CIN,224
Josh Allen,QB,BUF,358
Jalen Hurts,QB,PHI,349
Mike Evans,WR,TB,229
James Cook,RB,BUF,232
Chuba Hubbard,RB,CAR,214
Kenneth Walker III,RB,SEA,223
Davante Adams,WR,LAR,244
James Conner,RB,ARI,215
Garrett Wilson,WR,NYJ,216
George Kittle,TE,SF,215
Xavier Worthy,WR,KC,214
D.J. Moore,WR,CHI,224
Jaxon Smith-Njigba,WR,SEA,225
Terry McLaurin,WR,WAS,230
Marvin Harrison Jr.,WR,ARI,223
DeVonta Smith,WR,PHI,213
D.K. Metcalf,WR,PIT,207
Joe Burrow,QB,CIN,338
Zay Flowers,WR,BAL,202
Jaylen Waddle,WR,MIA,186
Tetairoa McMillan,WR,CAR,190
Courtland Sutton,WR,DEN,209
Travis Hunter,WR,JAC,190
Chris Godwin,WR,TB,206
Sam LaPorta,TE,DET,178
George Pickens,WR,DAL,199
David Montgomery,RB,DET,191
Aaron Jones,RB,MIN,197
Chris Olave,WR,NO,183
Jameson Williams,WR,DET,187
Travis Kelce,TE,KC,179
Isiah Pacheco,RB,KC,165
Omarion Hampton,RB,LAC,193
Quinshon Judkins,RB,CLE,172
RJ Harvey,RB,DEN,189
D'Andre Swift,RB,CHI,191
Calvin Ridley,WR,TEN,192
Tony Pollard,RB,TEN,185
TreVeyon Henderson,RB,NE,175
Jakobi Meyers,WR,LVR,196
Deebo Samuel,WR,WAS,183
Jonnu Smith,TE,MIA,184
T.J. Hockenson,TE,MIN,169
Khalil Shakir,WR,BUF,185
Jauan Jennings,WR,SF,192
David Njoku,TE,CLE,174
Jordan Addison,WR,MIN,190
Rome Odunze,WR,CHI,181
Mark Andrews,TE,BAL,160
Jayden Reed,WR,GB,168
Jerry Jeudy,WR,CLE,199
Patrick Mahomes,QB,KC,314
Brian Robinson Jr.,RB,WAS,159
Jaylen Warren,RB,PIT,162
Dalton Kincaid,TE,BUF,142
Travis Etienne,RB,JAC,149
Ricky Pearsall,WR,SF,158
Kaleb Johnson,RB,PIT,159
Jake Ferguson,TE,DAL,153
Evan Engram,TE,DEN,152
Tucker Kraft,TE,GB,148
Dallas Goedert,TE,PHI,148
Kyler Murray,QB,ARI,300
Tyler Warren,TE,IND,134
Bo Nix,QB,DEN,302
Darnell Mooney,WR,ATL,170
Josh Downs,WR,IND,164
Justin Fields,QB,NYJ,293
Tyrone Tracy Jr.,RB,NYG,159
Baker Mayfield,QB,TB,313
Michael Pittman Jr.,WR,IND,165
Cooper Kupp,WR,SEA,172
Tyjae Spears,RB,TEN,139
Justin Herbert,QB,LAC,284
Caleb Williams,QB,CHI,283
Cameron Skattebo,RB,NYG,127
Najee Harris,RB,LAC,135
Marquise Brown,WR,KC,144
Rashid Shaheed,WR,NO,163
Stefon Diggs,WR,NE,165
Austin Ekeler,RB,WAS,145
Keon Coleman,WR,BUF,163
Brandon Aiyuk,WR,SF,155
Dak Prescott,QB,DAL,284
Pat Freiermuth,TE,PIT,141
Tank Bigsby,RB,JAC,110
Drake Maye,QB,NE,276
Trevor Lawrence,QB,JAC,275
Zach Ertz,TE,WAS,140
Javonte Williams,RB,DAL,145
Colston Loveland,TE,CHI,130
Jared Goff,QB,DET,288
Brock Purdy,QB,SF,296
Christian Kirk,WR,HOU,153
Younghoe Koo,K,ATL,188
Jake Bates,K,DET,161
Chigoziem Okonkwo,TE,TEN,126
Zach Charbonnet,RB,SEA,141
Jordan Love,QB,GB,281
Isaiah Likely,TE,BAL,122
Rachaad White,RB,TB,124
C.J. Stroud,QB,HOU,270
Mike Gesicki,TE,CIN,129
Cade Otton,TE,TB,126
J.K. Dobbins,RB,UNS,101
Hunter Henry,TE,NE,130
Jayden Higgins,WR,HOU,124
Tua Tagovailoa,QB,MIA,263
Kyle Pitts,TE,ATL,123
Keenan Allen,WR,UNS,142
J.J. McCarthy,QB,MIN,278
Dalton Schultz,TE,HOU,124
Romeo Doubs,WR,GB,136
Matthew Golden,WR,GB,165
Jordan Mason,RB,MIN,117
Evan McPherson,K,CIN,156
Rhamondre Stevenson,RB,NE,136
Jaydon Blue,RB,DAL,110
Luther Burden III,WR,CHI,120
Tyler Bass,K,BUF,157
Bryce Young,QB,CAR,256
Joshua Palmer,WR,BUF,117
Amari Cooper,WR,UNS,131
Matt Gay,K,WAS,181
Brenton Strange,TE,JAC,118
Jake Elliott,K,PHI,171
Tyler Loop,K,BAL,120
Diontae Johnson,WR,CLE,97
Juwan Johnson,TE,NO,110
Emeka Egbuka,WR,TB,129
Jack Bech,WR,LVR,142
Harrison Butker,K,KC,167
Bhayshul Tuten,RB,JAC,84
Justin Tucker,K,UNS,177
Wan'Dale Robinson,WR,NYG,151
Mason Taylor,TE,NYJ,107
Quentin Johnston,WR,LAC,141
Ray Davis,RB,BUF,96
Cam Little,K,JAC,149
Rashod Bateman,WR,BAL,150
Chase McLaughlin,K,TB,167
Roschon Johnson,RB,CHI,104
Chad Ryland,K,ARI,160
Tre Harris,WR,LAC,124
Justice Hill,RB,BAL,101
Matthew Stafford,QB,LAR,256
Tyler Allgeier,RB,ATL,100
Kyle Williams,WR,NE,124
Jason Sanders,K,MIA,164
Cameron Dicker,K,LAC,174
Geno Smith,QB,LVR,260
Cameron Ward,QB,TEN,248
Trey Benson,RB,ARI,96
Jake Moody,K,SF,165
Cole Kmet,TE,CHI,95
Xavier Legette,WR,CAR,127
Marvin Mims Jr.,WR,DEN,140
Cedric Tillman,WR,CLE,143
Sam Darnold,QB,SEA,246
Jalen Coker,WR,CAR,95
Isaac Guerendo,RB,SF,101
Adam Thielen,WR,CAR,153
Blake Corum,RB,LAR,66
Anthony Richardson,QB,IND,280
Jaylen Wright,RB,MIA,85
Theo Johnson,TE,NYG,102
Michael Wilson,WR,ARI,131
Joshua Karty,K,LAR,162
Dylan Sampson,RB,CLE,76
Kareem Hunt,RB,KC,84
Jalen McMillan,WR,TB,104
MarShawn Lloyd,RB,GB,72
Michael Penix Jr.,QB,ATL,253
Will Reichard,K,MIN,172
Ryan Fitzgerald,K,CAR,0
Brandon Aubrey,K,DAL,173
Nick Chubb,RB,UNS,73
Graham Gano,K,NYG,140
Daniel Carlson,K,LVR,159
Jo'Quavious Marks,RB,HOU,70
Kendre Miller,RB,NO,96
Ka'imi Fairbairn,K,HOU,171
Wil Lutz,K,DEN,161
Elijah Mitchell,RB,KC,43
Cairo Santos,K,CHI,159
John Parker Romo,K,NE,141
Jarquez Hunter,RB,LAR,46
Jason Myers,K,SEA,159
Miles Sanders,RB,DAL,68
Jerome Ford,RB,CLE,80
Zack Moss,RB,CIN,92
Rico Dowdle,RB,CAR,94
Braelon Allen,RB,NYJ,72
Blake Grupe,K,NO,157
Trevor Etienne,RB,CAR,54
Greg Zuerlein,K,UNS,155
Dustin Hopkins,K,CLE,153
Jaleel McLaughlin,RB,DEN,91
Darius Slayton,WR,NYG,107
Alec Pierce,WR,IND,113
Elijah Arroyo,TE,SEA,75
Ja'Tavion Sanders,TE,CAR,87
Audric Estime,RB,DEN,58
DJ Giddens,RB,IND,40
Ray-Ray McCloud,WR,ATL,109
Cam Akers,RB,UNS,43
Will Dissly,TE,LAC,91
Terrance Ferguson,TE,LAR,62
Jordan James,RB,SF,32
Noah Fant,TE,SEA,93
Pat Bryant,WR,DEN,94
Mike Williams,WR,LAC,92
Tahj Brooks,RB,CIN,37
Samaje Perine,RB,CIN,58
Antonio Gibson,RB,NE,56
Ollie Gordon II,RB,MIA,37
Dontayvion Wicks,WR,GB,92
Gus Edwards,RB,UNS,44
Isaiah Davis,RB,NYJ,39
Tyler Higbee,TE,LAR,96
Will Shipley,RB,PHI,45
Devin Neal,RB,NO,43
Tyler Lockett,WR,TEN,113
Ty Johnson,RB,BUF,71
Dyami Brown,WR,JAC,97
Aaron Rodgers,QB,UNS,239
Jaylin Noel,WR,HOU,73
Christian Watson,WR,GB,71
Kenneth Gainwell,RB,PIT,48
Alexander Mattison,RB,MIA,46
Devin Singletary,RB,NYG,52
Harold Fannin Jr.,TE,CLE,61
Noah Gray,TE,KC,82
Brashard Smith,RB,KC,26
Khalil Herbert,RB,IND,44
Raheem Mostert,RB,LVR,66
Kyle Monangai,RB,CHI,38
Roman Wilson,WR,PIT,62
Russell Wilson,QB,NYG,215
Phil Mafah,RB,DAL,9
Keaton Mitchell,RB,BAL,42
DeAndre Hopkins,WR,BAL,108
Tutu Atwell,WR,LAR,100
Jacory Croskey-Merritt,RB,WAS,26
Emari Demercado,RB,ARI,53
Tyler Shough,QB,NO,220
Jeremy McNichols,RB,WAS,28
Andrei Iosivas,WR,CIN,91
Emanuel Wilson,RB,GB,44
Calvin Austin III,WR,PIT,111
Mack Hollins,WR,NE,57
LeQuint Allen,RB,JAC,12
Sean Tucker,RB,TB,40
Kirk Cousins,QB,ATL,52
A.J. Dillon,RB,PHI,37
Taysom Hill,TE,NO,81
Jordan Whittington,WR,LAR,78
Clyde Edwards-Helaire,RB,NO,22
Kayshon Boutte,WR,NE,74
Demario Douglas,WR,NE,115
Noah Brown,WR,WAS,85
Damien Martinez,RB,SEA,19
Troy Franklin,WR,DEN,68
Tyler Conklin,TE,LAC,82
Austin Hooper,TE,NE,71
Chris Rodriguez,RB,WAS,27
Dameon Pierce,RB,HOU,43
Michael Mayer,TE,LVR,65
Cade Stover,TE,HOU,44
Gabriel Davis,WR,UNS,84
Malik Washington,WR,MIA,64
Darnell Washington,TE,PIT,51
Adonai Mitchell,WR,IND,74
Foster Moreau,TE,NO,69
Jalen Nailor,WR,MIN,78
Michael Carter,RB,ARI,16
Curtis Samuel,WR,BUF,79
Kalel Mullings,RB,TEN,21
Christopher Brooks,RB,GB,21
Luke Musgrave,TE,GB,42
Cordarrelle Patterson,RB,PIT,31
Devaughn Vele,WR,DEN,81
Daniel Jones,QB,IND,91
Marquez Valdes-Scantling,WR,SEA,79
Brandin Cooks,WR,NO,90
Nick Westbrook-Ikhine,WR,MIA,97
Dont'e Thornton Jr.,WR,LVR,47
Gerald Everett,TE,UNS,43
Ty Chandler,RB,MIN,24
Elic Ayomanor,WR,TEN,55
Oronde Gadsden II,TE,LAC,36
Gunnar Helm,TE,TEN,39
Tim Patrick,WR,DET,69
Marcus Yarns,RB,NO,0
Ben Sinnott,TE,WAS,45
Nathaniel Dell,WR,HOU,20
Sincere McCormick,RB,LVR,29
Craig Reynolds,RB,DET,19
Raheim Sanders,RB,LAC,7
Dawson Knox,TE,BUF,46
D.J. Chark Jr.,WR,UNS,55
Tai Felton,WR,MIN,50
Pierre Strong Jr.,RB,CLE,13
Parker Washington,WR,JAC,74
Allen Lazard,WR,NYJ,96
Jamaal Williams,RB,UNS,16
Van Jefferson,WR,TEN,64
Mitchell Evans,TE,CAR,23
Treylon Burks,WR,TEN,30
Brevin Jordan,TE,HOU,37
Kimani Vidal,RB,LAC,22
