name,position,team,projection
Ja'Marr Chase,WR,CIN,288
Bijan Robinson,RB,ATL,275
CeeDee Lamb,WR,DAL,273
Justin Jefferson,WR,MIN,281
Saquon Barkley,RB,PHI,266
Puka Nacua,WR,LAR,274
Christian McCaffrey,RB,SF,242
Malik Nabers,WR,NYG,256
Nico Collins,WR,HOU,251
Jahmyr Gibbs,RB,DET,251
Brian Thomas Jr.,WR,JAC,247
Ashton Jeanty,RB,LVR,247
Jonathan Taylor,RB,IND,242
De'Von Achane,RB,MIA,240
Amon-Ra St. Brown,WR,DET,257
Derrick Henry,RB,BAL,239
A.J. Brown,WR,PHI,248
Drake London,WR,ATL,246
Tee Higgins,WR,CIN,231
Tyreek Hill,WR,MIA,216
Breece Hall,RB,NYJ,212
Joe Mixon,RB,HOU,201
Alvin Kamara,RB,NO,206
Brock Bowers,TE,LVR,216
Josh Jacobs,RB,GB,225
Bucky Irving,RB,TB,216
Trey McBride,TE,ARI,215
Rashee Rice,WR,KC,188
Lamar Jackson,QB,BAL,340
Jayden Daniels,QB,WAS,334
Kyren Williams,RB,LAR,218
Ladd McConkey,WR,LAC,222
Chase Brown,RB,CIN,202
Josh Allen,QB,BUF,337
Jalen Hurts,QB,PHI,333
Mike Evans,WR,TB,215
James Cook,RB,BUF,214
Chuba Hubbard,RB,CAR,195
Kenneth Walker III,RB,SEA,214
Davante Adams,WR,LAR,201
James Conner,RB,ARI,185
Garrett Wilson,WR,NYJ,215
George Kittle,TE,SF,189
Xavier Worthy,WR,KC,200
D.J. Moore,WR,CHI,204
Jaxon Smith-Njigba,WR,SEA,215
Terry McLaurin,WR,WAS,209
Marvin Harrison Jr.,WR,ARI,201
DeVonta Smith,WR,PHI,215
D.K. Metcalf,WR,PIT,202
Joe Burrow,QB,CIN,316
Zay Flowers,WR,BAL,206
Jaylen Waddle,WR,MIA,186
Tetairoa McMillan,WR,CAR,183
Courtland Sutton,WR,DEN,204
Travis Hunter,WR,JAC,163
Chris Godwin,WR,TB,169
Sam LaPorta,TE,DET,176
George Pickens,WR,DAL,177
David Montgomery,RB,DET,182
Aaron Jones,RB,MIN,175
Chris Olave,WR,NO,169
Jameson Williams,WR,DET,184
Travis Kelce,TE,KC,155
Isiah Pacheco,RB,KC,154
Omarion Hampton,RB,LAC,158
Quinshon Judkins,RB,CLE,167
RJ Harvey,RB,DEN,153
D'Andre Swift,RB,CHI,149
Calvin Ridley,WR,TEN,180
Tony Pollard,RB,TEN,169
TreVeyon Henderson,RB,NE,156
Jakobi Meyers,WR,LVR,187
Deebo Samuel,WR,WAS,181
Jonnu Smith,TE,MIA,152
T.J. Hockenson,TE,MIN,162
Khalil Shakir,WR,BUF,182
Jauan Jennings,WR,SF,182
David Njoku,TE,CLE,153
Jordan Addison,WR,MIN,177
Rome Odunze,WR,CHI,176
Mark Andrews,TE,BAL,154
Jayden Reed,WR,GB,180
Jerry Jeudy,WR,CLE,175
Patrick Mahomes,QB,KC,293
Brian Robinson Jr.,RB,WAS,153
Jaylen Warren,RB,PIT,143
Dalton Kincaid,TE,BUF,138
Travis Etienne,RB,JAC,135
Ricky Pearsall,WR,SF,156
Kaleb Johnson,RB,PIT,123
Jake Ferguson,TE,DAL,133
Evan Engram,TE,DEN,127
Tucker Kraft,TE,GB,139
Dallas Goedert,TE,PHI,139
Kyler Murray,QB,ARI,281
Tyler Warren,TE,IND,118
Bo Nix,QB,DEN,277
Darnell Mooney,WR,ATL,161
Josh Downs,WR,IND,159
Justin Fields,QB,NYJ,258
Tyrone Tracy Jr.,RB,NYG,102
Baker Mayfield,QB,TB,279
Michael Pittman Jr.,WR,IND,160
Cooper Kupp,WR,SEA,152
Tyjae Spears,RB,TEN,127
Justin Herbert,QB,LAC,277
Caleb Williams,QB,CHI,272
Cameron Skattebo,RB,NYG,104
Najee Harris,RB,LAC,127
Marquise Brown,WR,KC,149
Rashid Shaheed,WR,NO,156
Stefon Diggs,WR,NE,142
Austin Ekeler,RB,WAS,127
Keon Coleman,WR,BUF,142
Brandon Aiyuk,WR,SF,136
Dak Prescott,QB,DAL,274
Pat Freiermuth,TE,PIT,129
Tank Bigsby,RB,JAC,120
Drake Maye,QB,NE,270
Trevor Lawrence,QB,JAC,271
Zach Ertz,TE,WAS,116
Javonte Williams,RB,DAL,86
Colston Loveland,TE,CHI,113
Jared Goff,QB,DET,276
Brock Purdy,QB,SF,274
Christian Kirk,WR,HOU,148
Younghoe Koo,K,ATL,50
Jake Bates,K,DET,48
Chigoziem Okonkwo,TE,TEN,114
Zach Charbonnet,RB,SEA,121
Jordan Love,QB,GB,270
Isaiah Likely,TE,BAL,113
Rachaad White,RB,TB,112
C.J. Stroud,QB,HOU,268
Mike Gesicki,TE,CIN,115
Cade Otton,TE,TB,119
J.K. Dobbins,RB,UNS,77
Hunter Henry,TE,NE,118
Jayden Higgins,WR,HOU,124
Tua Tagovailoa,QB,MIA,258
Kyle Pitts,TE,ATL,111
Keenan Allen,WR,UNS,121
J.J. McCarthy,QB,MIN,233
Dalton Schultz,TE,HOU,112
Romeo Doubs,WR,GB,138
Matthew Golden,WR,GB,122
Jordan Mason,RB,MIN,103
Evan McPherson,K,CIN,44
Rhamondre Stevenson,RB,NE,109
Jaydon Blue,RB,DAL,87
Luther Burden III,WR,CHI,111
Tyler Bass,K,BUF,43
Bryce Young,QB,CAR,256
Joshua Palmer,WR,BUF,131
Amari Cooper,WR,UNS,118
Matt Gay,K,WAS,43
Brenton Strange,TE,JAC,106
Jake Elliott,K,PHI,41
Tyler Loop,K,BAL,51
Diontae Johnson,WR,CLE,91
Juwan Johnson,TE,NO,109
Emeka Egbuka,WR,TB,120
Jack Bech,WR,LVR,120
Harrison Butker,K,KC,40
Bhayshul Tuten,RB,JAC,85
Justin Tucker,K,UNS,38
Wan'Dale Robinson,WR,NYG,131
Mason Taylor,TE,NYJ,99
Quentin Johnston,WR,LAC,110
Ray Davis,RB,BUF,86
Cam Little,K,JAC,40
Rashod Bateman,WR,BAL,127
Chase McLaughlin,K,TB,37
Roschon Johnson,RB,CHI,80
Chad Ryland,K,ARI,37
Tre Harris,WR,LAC,107
Justice Hill,RB,BAL,90
Matthew Stafford,QB,LAR,258
Tyler Allgeier,RB,ATL,85
Kyle Williams,WR,NE,119
Jason Sanders,K,MIA,39
Cameron Dicker,K,LAC,38
Geno Smith,QB,LVR,254
Cameron Ward,QB,TEN,233
Trey Benson,RB,ARI,76
Jake Moody,K,SF,36
Cole Kmet,TE,CHI,92
Xavier Legette,WR,CAR,109
Marvin Mims Jr.,WR,DEN,105
Cedric Tillman,WR,CLE,107
Sam Darnold,QB,SEA,249
Jalen Coker,WR,CAR,108
Isaac Guerendo,RB,SF,72
Adam Thielen,WR,CAR,104
Blake Corum,RB,LAR,65
Anthony Richardson,QB,IND,179
Jaylen Wright,RB,MIA,72
Theo Johnson,TE,NYG,87
Michael Wilson,WR,ARI,126
Joshua Karty,K,LAR,35
Dylan Sampson,RB,CLE,69
Kareem Hunt,RB,KC,69
Jalen McMillan,WR,TB,111
MarShawn Lloyd,RB,GB,69
Michael Penix Jr.,QB,ATL,245
Will Reichard,K,MIN,35
Ryan Fitzgerald,K,CAR,43
Brandon Aubrey,K,DAL,33
Nick Chubb,RB,UNS,66
Graham Gano,K,NYG,36
Daniel Carlson,K,LVR,35
Jo'Quavious Marks,RB,HOU,71
Kendre Miller,RB,NO,62
Ka'imi Fairbairn,K,HOU,34
Wil Lutz,K,DEN,33
