Player,Position,Team,Projection
Noah Brown,WR,WAS,86
Clyde Edwards-Helaire,RB,NO,35
Brandin Cooks,WR,NO,115
Kayshon Boutte,WR,NE,67
Damien Martinez,RB,SEA,32
Chris Rodriguez,RB,WAS,38
Malik Washington,WR,MIA,61
Dameon Pierce,RB,HOU,46
D.J. Chark Jr.,WR,UNS,64
Foster Moreau,TE,NO,47
Adonai Mitchell,WR,IND,95
Derek Carr,QB,NO,247
Tyler Conklin,TE,LAC,82
Austin Hooper,TE,NE,56
Michael Mayer,TE,LVR,67
Jalen Nailor,WR,MIN,78
Cade Stover,TE,HOU,42
Taysom Hill,TE,NO,96
Demario Douglas,WR,NE,123
Michael Carter,RB,ARI,31
Kalel Mullings,RB,TEN,29
Tim Patrick,WR,DET,76
Christopher Brooks,RB,GB,21
Devaughn Vele,WR,DEN,57
Marquez Valdes-Scantling,WR,SEA,68
Nick Westbrook-Ikhine,WR,MIA,70
Cordarrelle Patterson,RB,PIT,34
Elic Ayomanor,WR,TEN,68
Marcus Yarns,RB,NO,0
Luke Musgrave,TE,GB,56
Ty Chandler,RB,MIN,46
Nathaniel Dell,WR,HOU,100
Gerald Everett,TE,UNS,43
Darnell Washington,TE,PIT,44
Tai Felton,WR,MIN,68
Parker Washington,WR,JAC,52
Allen Lazard,WR,NYJ,79
Sincere McCormick,RB,LVR,27
Raheim Sanders,RB,LAC,4
Craig Reynolds,RB,DET,14
KaVontae Turpin,WR,DAL,79
Van Jefferson,WR,TEN,60
Pierre Strong Jr.,RB,CLE,19
Oronde Gadsden II,TE,LAC,9
Gunnar Helm,TE,TEN,37
Jamaal Williams,RB,UNS,16
Ben Sinnott,TE,WAS,49
Treylon Burks,WR,TEN,50
Jalen Tolbert,WR,DAL,102
Kimani Vidal,RB,LAC,30
Luke McCaffrey,WR,WAS,65
Zamir White,RB,LVR,68
Tory Horton,WR,SEA,75
Isaac TeSlaa,WR,DET,2
Kalif Raymond,WR,DET,62
Chimere Dike,WR,TEN,3
Mitchell Evans,TE,CAR,5
Jonathan Mingo,WR,DAL,59
Brevin Jordan,TE,HOU,35
Calvin Austin III,WR,PIT,67
Deuce Vaughn,RB,DAL,14
Demarcus Robinson,WR,SF,89
Kenny McIntosh,RB,SEA,18
Blake Watson,RB,DEN,11
Josh Reynolds,WR,NYJ,70
Tommy Tremble,TE,CAR,43
Daniel Jones,QB,IND,116
Jordan Mims,RB,NO,14
Greg Dortch,WR,ARI,64
Kendrick Bourne,WR,NE,82
Drew Sample,TE,CIN,40
Malik Davis,RB,DAL,11
DeeJay Dallas,RB,ARI,13
Dawson Knox,TE,BUF,57
Tyler Boyd,WR,UNS,57
Dont'e Thornton Jr.,WR,LVR,65
Tyler Goodson,RB,IND,25
Josh Whyle,TE,TEN,34
Gabriel Davis,WR,JAC,106
Michael Gallup,WR,WAS,60
Israel Abanikanda,RB,SF,5
Elijah Moore,WR,BUF,69
Tyler Badie,RB,DEN,8
Luke Schoonmaker,TE,DAL,37
Greg Dulcich,TE,NYG,32
Savion Williams,WR,GB,57
Roman Wilson,WR,PIT,80
Dylan Laube,RB,LVR,13
Hassan Haskins,RB,LAC,6
Jaxson Dart,QB,NYG,108
