Player,Position,Team,Projection
Ja'Marr Chase,WR,CIN,303
CeeDee Lamb,WR,DAL,301
Bijan Robinson,RB,ATL,295
Saquon Barkley,RB,PHI,290
Puka Nacua,WR,LAR,272
Justin Jefferson,WR,MIN,292
Christian McCaffrey,RB,SF,296
Malik Nabers,WR,NYG,248
Nico Collins,WR,HOU,263
Brian Thomas Jr.,WR,JAC,230
Jahmyr Gibbs,RB,DET,274
Ashton Jeanty,RB,LVR,251
De'Von Achane,RB,MIA,252
Jonathan Taylor,RB,IND,259
Amon-Ra St. Brown,WR,DET,269
Derrick Henry,RB,BAL,257
A.J. Brown,WR,PHI,265
Drake London,WR,ATL,250
Tee Higgins,WR,CIN,241
Tyreek Hill,WR,MIA,261
Alvin Kamara,RB,NO,236
Joe Mixon,RB,HOU,231
Breece Hall,RB,NYJ,248
Josh Jacobs,RB,GB,248
Rashee Rice,WR,KC,229
Brock Bowers,TE,LVR,228
Trey McBride,TE,ARI,234
Bucky Irving,RB,TB,225
Ladd McConkey,WR,LAC,221
Lamar Jackson,QB,BAL,361
Jayden Daniels,QB,WAS,353
Kyren Williams,RB,LAR,232
Josh Allen,QB,BUF,359
Chase Brown,RB,CIN,208
Mike Evans,WR,TB,225
Jalen Hurts,QB,PHI,362
James Cook,RB,BUF,230
Davante Adams,WR,LAR,235
Kenneth Walker III,RB,SEA,215
James Conner,RB,ARI,215
Chuba Hubbard,RB,CAR,198
Garrett Wilson,WR,NYJ,228
Xavier Worthy,WR,KC,198
D.J. Moore,WR,CHI,225
Jaxon Smith-Njigba,WR,SEA,204
George Kittle,TE,SF,211
Terry McLaurin,WR,WAS,215
Marvin Harrison Jr.,WR,ARI,222
Chris Olave,WR,NO,219
DeVonta Smith,WR,PHI,218
Zay Flowers,WR,BAL,203
Tetairoa McMillan,WR,CAR,195
Courtland Sutton,WR,DEN,206
Chris Godwin,WR,TB,200
Joe Burrow,QB,CIN,341
Jaylen Waddle,WR,MIA,205
David Montgomery,RB,DET,199
Travis Hunter,WR,JAC,171
Aaron Jones,RB,MIN,193
Sam LaPorta,TE,DET,196
Tony Pollard,RB,TEN,188
D.K. Metcalf,WR,PIT,216
Quinshon Judkins,RB,CLE,180
Isiah Pacheco,RB,KC,190
D'Andre Swift,RB,CHI,185
Calvin Ridley,WR,TEN,194
Omarion Hampton,RB,LAC,214
Travis Kelce,TE,KC,194
Jameson Williams,WR,DET,178
TreVeyon Henderson,RB,NE,166
Deebo Samuel,WR,WAS,197
Jakobi Meyers,WR,LVR,184
Jonnu Smith,TE,MIA,167
George Pickens,WR,PIT,195
Khalil Shakir,WR,BUF,183
Jauan Jennings,WR,SF,152
Jordan Addison,WR,MIN,186
Rome Odunze,WR,CHI,178
T.J. Hockenson,TE,MIN,168
David Njoku,TE,CLE,176
Jayden Reed,WR,GB,178
Mark Andrews,TE,BAL,169
RJ Harvey,RB,DEN,190
Jerry Jeudy,WR,CLE,190
Jaylen Warren,RB,PIT,183
Dalton Kincaid,TE,BUF,162
Brian Robinson Jr.,RB,WAS,165
Travis Etienne,RB,JAC,181
Patrick Mahomes,QB,KC,324
Jake Ferguson,TE,DAL,170
Kaleb Johnson,RB,PIT,154
J.K. Dobbins,RB,UNS,120
Stefon Diggs,WR,NE,189
Josh Downs,WR,IND,152
Rashid Shaheed,WR,NO,161
Darnell Mooney,WR,ATL,162
Ricky Pearsall,WR,SF,140
Michael Pittman Jr.,WR,IND,187
Cooper Kupp,WR,SEA,186
Kyler Murray,QB,ARI,299
Tucker Kraft,TE,GB,136
Tyrone Tracy Jr.,RB,NYG,153
Bo Nix,QB,DEN,292
Marquise Brown,WR,KC,161
Baker Mayfield,QB,TB,302
Evan Engram,TE,DEN,155
Dallas Goedert,TE,PHI,149
Najee Harris,RB,LAC,146
Cameron Skattebo,RB,NYG,123
Justin Herbert,QB,LAC,291
Caleb Williams,QB,CHI,291
Tyjae Spears,RB,TEN,135
Tyler Warren,TE,IND,132
Austin Ekeler,RB,WAS,144
Brandon Aiyuk,WR,SF,171
Keon Coleman,WR,BUF,160
Tank Bigsby,RB,JAC,101
Pat Freiermuth,TE,PIT,141
Justin Fields,QB,NYJ,255
Trevor Lawrence,QB,JAC,287
Christian Kirk,WR,HOU,171
Drake Maye,QB,NE,264
Keenan Allen,WR,UNS,142
Zach Ertz,TE,WAS,128
Jared Goff,QB,DET,282
Colston Loveland,TE,CHI,128
Javonte Williams,RB,DAL,167
Brock Purdy,QB,SF,291
Dak Prescott,QB,DAL,284
Rachaad White,RB,TB,141
Zach Charbonnet,RB,SEA,125
Chigoziem Okonkwo,TE,TEN,127
Jordan Love,QB,GB,284
C.J. Stroud,QB,HOU,283
Jayden Higgins,WR,HOU,147
Isaiah Likely,TE,BAL,124
Mike Gesicki,TE,CIN,121
Cade Otton,TE,TB,124
Amari Cooper,WR,UNS,131
Tua Tagovailoa,QB,MIA,269
Romeo Doubs,WR,GB,143
Kyle Pitts,TE,ATL,135
J.J. McCarthy,QB,MIN,288
Hunter Henry,TE,NE,133
Luther Burden III,WR,CHI,119
Matthew Golden,WR,GB,168
Jordan Mason,RB,MIN,105
Rhamondre Stevenson,RB,NE,154
Dalton Schultz,TE,HOU,126
Jaydon Blue,RB,DAL,71
Joshua Palmer,WR,BUF,143
Diontae Johnson,WR,CLE,155
Bryce Young,QB,CAR,264
Brenton Strange,TE,JAC,100
Emeka Egbuka,WR,TB,119
Jack Bech,WR,LVR,138
Juwan Johnson,TE,NO,112
Wan'Dale Robinson,WR,NYG,142
Ray Davis,RB,BUF,91
Quentin Johnston,WR,LAC,119
Rashod Bateman,WR,BAL,132
Roschon Johnson,RB,CHI,90
Bhayshul Tuten,RB,JAC,65
Tre Harris,WR,LAC,140
Justice Hill,RB,BAL,91
Mason Taylor,TE,NYJ,104
Kyle Williams,WR,NE,93
Tyler Allgeier,RB,ATL,100
Matthew Stafford,QB,LAR,258
Xavier Legette,WR,CAR,123
Cedric Tillman,WR,CLE,109
Trey Benson,RB,ARI,98
Marvin Mims Jr.,WR,DEN,135
Jalen Coker,WR,CAR,127
Geno Smith,QB,LVR,259
Cameron Ward,QB,TEN,239
Adam Thielen,WR,CAR,157
Isaac Guerendo,RB,SF,80
Michael Wilson,WR,ARI,127
Blake Corum,RB,LAR,86
Sam Darnold,QB,SEA,249
Jaylen Wright,RB,MIA,72
Cole Kmet,TE,CHI,108
Nick Chubb,RB,UNS,74
Jalen McMillan,WR,TB,109
Anthony Richardson,QB,IND,296
Dylan Sampson,RB,CLE,63
Kareem Hunt,RB,KC,72
Theo Johnson,TE,NYG,98
Jerome Ford,RB,CLE,105
Kendre Miller,RB,NO,73
MarShawn Lloyd,RB,GB,68
Jo'Quavious Marks,RB,HOU,67
Elijah Mitchell,RB,KC,40
Michael Penix Jr.,QB,ATL,213
Jonathon Brooks,RB,CAR,48
Miles Sanders,RB,DAL,68
Jaleel McLaughlin,RB,DEN,110
Rico Dowdle,RB,CAR,81
Trevor Etienne,RB,CAR,32
Zack Moss,RB,CIN,95
Braelon Allen,RB,NYJ,65
Audric Estime,RB,DEN,58
Jarquez Hunter,RB,LAR,48
Darius Slayton,WR,NYG,112
Cam Akers,RB,UNS,60
Alec Pierce,WR,IND,96
Ray-Ray McCloud,WR,ATL,95
Mike Williams,WR,LAC,116
Gus Edwards,RB,UNS,46
DJ Giddens,RB,IND,41
Jordan James,RB,SF,51
Tahj Brooks,RB,CIN,50
Elijah Arroyo,TE,SEA,28
Samaje Perine,RB,CIN,58
Ja'Tavion Sanders,TE,CAR,87
Will Dissly,TE,LAC,82
DeAndre Hopkins,WR,BAL,125
Noah Fant,TE,SEA,98
Terrance Ferguson,TE,LAR,49
Ollie Gordon II,RB,MIA,52
Devin Neal,RB,NO,66
Antonio Gibson,RB,NE,63
Isaiah Davis,RB,NYJ,41
Pat Bryant,WR,DEN,66
Ty Johnson,RB,BUF,52
Christian Watson,WR,GB,130
Tyler Lockett,WR,TEN,123
Dyami Brown,WR,JAC,95
Tyler Higbee,TE,LAR,83
Jaylin Noel,WR,HOU,86
Dontayvion Wicks,WR,GB,117
Kenneth Gainwell,RB,PIT,50
Aaron Rodgers,QB,UNS,239
Alexander Mattison,RB,MIA,47
Devin Singletary,RB,NYG,74
Brashard Smith,RB,KC,46
Khalil Herbert,RB,IND,61
Raheem Mostert,RB,LVR,83
Kyle Monangai,RB,CHI,54
Harold Fannin Jr.,TE,CLE,74
Noah Gray,TE,KC,74
Phil Mafah,RB,DAL,4
Keaton Mitchell,RB,BAL,35
Tutu Atwell,WR,LAR,77
Will Shipley,RB,PHI,46
Andrei Iosivas,WR,CIN,92
Jacory Croskey-Merritt,RB,WAS,0
Emari Demercado,RB,ARI,45
Jeremy McNichols,RB,WAS,18
Kirk Cousins,QB,ATL,126
Curtis Samuel,WR,BUF,117
Sean Tucker,RB,TB,36
Mack Hollins,WR,NE,61
Emanuel Wilson,RB,GB,41
A.J. Dillon,RB,PHI,33
Russell Wilson,QB,NYG,228
LeQuint Allen,RB,JAC,0
Jordan Whittington,WR,LAR,67
Troy Franklin,WR,DEN,89
