name,position,team,projection
Jayden Daniels,QB,WAS,341.5
Josh Allen,QB,BUF,331.6
Lamar Jackson,QB,BLT,327.7
Jalen Hurts,QB,PHI,325.6
Joe Burrow,QB,CIN,320.2
Saquon Barkley,RB,PHI,320.1
Ja'Marr Chase,WR,CIN,318
Puka Nacua,WR,LA,315.2
Jahmyr Gibbs,RB,DET,311.7
Malik Nabers,WR,NYG,308.4
Bijan Robinson,RB,ATL,307.7
Derrick Henry,RB,BLT,292.1
Justin Jefferson,WR,MIN,287.8
Patrick Mahomes,QB,KC,280.2
Christian McCaffrey,RB,SF,276
Ashton Jeanty,RB,LV,275.7
De'Von Achane,RB,MIA,275.4
Baker Mayfield,QB,TB,274.2
Brock Purdy,QB,SF,273.1
Dak Prescott,QB,DAL,272
J.J. McCarthy,QB,MIN,270.5
Caleb Williams,QB,CHI,270.4
Kyler Murray,QB,ARZ,270.2
Bo Nix,QB,DEN,268.8
CeeDee Lamb,WR,DAL,266.6
Trevor Lawrence,QB,JAX,266.4
Brian Thomas Jr.,WR,JAX,263.2
Drake Maye,QB,NE,261
Bucky Irving,RB,TB,259.9
Justin Herbert,QB,LAC,258.1
C.J. Stroud,QB,HST,256.6
Ladd McConkey,WR,LAC,256.4
Jared Goff,QB,DET,256.3
Tua Tagovailoa,QB,MIA,256
Amon-Ra St. Brown,WR,DET,255.2
Justin Fields,QB,NYJ,255
Nico Collins,WR,HST,254.9
Drake London,WR,ATL,254.8
Jordan Love,QB,GB,254.1
Matthew Stafford,QB,LA,249.8
Geno Smith,QB,LV,248.9
Chase Brown,RB,CIN,248.9
Davante Adams,WR,LA,248.8
Josh Jacobs,RB,GB,248.1
Tee Higgins,WR,CIN,243.9
Trey McBride,TE,ARZ,242.9
Bryce Young,QB,CAR,240.6
Cameron Ward,QB,TEN,235.4
Joe Mixon,RB,HST,233.5
Kenneth Walker III,RB,SEA,233.5
Sam Darnold,QB,SEA,233
Kyren Williams,RB,LA,232.7
A.J. Brown,WR,PHI,232
Chuba Hubbard,RB,CAR,231.4
Alvin Kamara,RB,NO,231.1
Jonathan Taylor,RB,IND,230
Michael Penix Jr.,QB,ATL,229.7
Rashee Rice,WR,KC,229.1
Brock Bowers,TE,LV,228.8
James Conner,RB,ARZ,226.7
Tyreek Hill,WR,MIA,226.7
Mike Evans,WR,TB,225
DK Metcalf,WR,PIT,223.1
DJ Moore,WR,CHI,222
Jaxon Smith-Njigba,WR,SEA,220.3
James Cook,RB,BUF,218.5
Garrett Wilson,WR,NYJ,218
Breece Hall,RB,NYJ,215.7
Courtland Sutton,WR,DEN,214.2
Jerry Jeudy,WR,CLV,214
Terry McLaurin,WR,WAS,210.6
RJ Harvey,RB,DEN,209.9
Omarion Hampton,RB,LAC,208.5
Calvin Ridley,WR,TEN,208.4
David Montgomery,RB,DET,208.2
Aaron Jones,RB,MIN,207.2
Tony Pollard,RB,TEN,206.2
Tetairoa McMillan,WR,CAR,205.5
Marvin Harrison Jr.,WR,ARZ,205.3
Jaylen Waddle,WR,MIA,205.1
Jordan Addison,WR,MIN,203.4
Chris Godwin,WR,TB,203.4
Jakobi Meyers,WR,LV,202.4
Travis Hunter,WR,JAX,201.8
George Kittle,TE,SF,201.4
Zay Flowers,WR,BLT,199.6
Quinshon Judkins,RB,CLV,198.4
Jaxson Dart,QB,NYG,196.5
Tyler Shough,QB,NO,194.8
Jameson Williams,WR,DET,193.6
Aaron Rodgers,QB,PIT,189.4
DeVonta Smith,WR,PHI,189.2
George Pickens,WR,DAL,189.2
Khalil Shakir,WR,BUF,186
Kaleb Johnson,RB,PIT,185.9
Deebo Samuel Sr.,WR,WAS,184.9
D'Andre Swift,RB,CHI,182.4
Sam LaPorta,TE,DET,182.3
Xavier Worthy,WR,KC,180.3
Travis Kelce,TE,KC,178.7
Isiah Pacheco,RB,KC,178.4
Tyrone Tracy Jr.,RB,NYG,177.4
Bhayshul Tuten,RB,JAX,177.2
TreVeyon Henderson,RB,NE,176.7
Jonnu Smith,TE,MIA,175.7
Josh Downs,WR,IND,175.6
Chris Olave,WR,NO,170
Stefon Diggs,WR,NE,169.1
Rome Odunze,WR,CHI,168.1
Jauan Jennings,WR,SF,166.8
Michael Pittman,WR,IND,166.5
Brian Robinson,RB,WAS,166
Jayden Reed,WR,GB,163.4
Darnell Mooney,WR,ATL,163
David Njoku,TE,CLV,161.8
T.J. Hockenson,TE,MIN,160
Jaylen Warren,RB,PIT,159.9
Mark Andrews,TE,BLT,159.4
Cedric Tillman,WR,CLV,157.6
Austin Ekeler,RB,WAS,156.9
Colston Loveland,TE,CHI,156.2
Rashid Shaheed,WR,NO,154.3
Pat Freiermuth,TE,PIT,153.5
Evan Engram,TE,DEN,153.2
Zach Ertz,TE,WAS,150.6
Tyjae Spears,RB,TEN,150.4
Dallas Goedert,TE,PHI,150
Brenton Strange,TE,JAX,146.7
Rachaad White,RB,TB,146.6
Daniel Jones,QB,IND,145.5
Hunter Henry,TE,NE,144.5
Jack Bech,WR,LV,143.9
Josh Palmer,WR,BUF,142.5
Theo Johnson,TE,NYG,142.3
Javonte Williams,RB,DAL,142.1
Adam Thielen,WR,CAR,141.8
Zach Charbonnet,RB,SEA,141.6
Emeka Egbuka,WR,TB,140.8
Ricky Pearsall,WR,SF,140.3
Mike Gesicki,TE,CIN,140.3
Jake Ferguson,TE,DAL,139.5
Anthony Richardson,QB,IND,139.4
Tre Harris,WR,LAC,139.2
Quentin Johnston,WR,LAC,138.6
Keon Coleman,WR,BUF,136
Luther Burden III,WR,CHI,135.4
Tucker Kraft,TE,GB,135.1
Matthew Golden,WR,GB,135
Romeo Doubs,WR,GB,134.1
Tyler Warren,TE,IND,133.7
Wan'Dale Robinson,WR,NYG,132.1
Tutu Atwell,WR,LA,131.3
Marvin Mims Jr.,WR,DEN,126
Darius Slayton,WR,NYG,125.4
Michael Wilson,WR,ARZ,125.3
Andrei Iosivas,WR,CIN,124.4
Cooper Kupp,WR,SEA,124
Ray-Ray McCloud,WR,ATL,121.4
Dyami Brown,WR,JAX,120.9
Calvin Austin III,WR,PIT,120.8
Marquise Brown,WR,KC,120
Rashod Bateman,WR,BLT,119.6
Juwan Johnson,TE,NO,119.1
Jayden Higgins,WR,HST,118.2
Dalton Kincaid,TE,BUF,118.1
Tyler Lockett,WR,TEN,117.6
Rhamondre Stevenson,RB,NE,116.7
Justice Hill,RB,BLT,116.6
Cam Skattebo,RB,NYG,116
Kyle Williams,WR,NE,115
Xavier Legette,WR,CAR,114.4
Trey Benson,RB,ARZ,114.3
Dalton Schultz,TE,HST,114.2
Kyle Pitts,TE,ATL,113.1
Christian Kirk,WR,HST,113.1
