name,position,team,projection
Ja'Marr Chase,WR,CIN,297.8
Puka Nacua,WR,LA,289.8
CeeDee Lamb,WR,DAL,282
Amon-Ra St. Brown,WR,DET,279.2
Saquon Barkley,RB,PHI,277.5
Justin Jefferson,WR,MIN,268.8
Malik Nabers,WR,NYG,268
Bijan Robinson,RB,ATL,263.8
Jahmyr Gibbs,RB,DET,253.1
Drake London,WR,ATL,249.8
Ashton Jeanty,RB,LV,249.6
Nico Collins,WR,HOU,248.5
Bucky Irving,RB,TB,248.9
Devon Achane,RB,MIA,247.9
Christian McCaffrey,RB,SF,245.4
Brian Thomas,WR,JAC,243.5
Ladd McConkey,WR,LAC,241.9
A.J. Brown,WR,PHI,238.3
Brock Bowers,TE,LV,250.8
Josh Jacobs,RB,GB,234.2
Jonathan Taylor,RB,IND,233.8
Chase Brown,RB,CIN,231.4
Derrick Henry,RB,BAL,231.2
Kyren Williams,RB,LA,229.8
Jaxon Smith-Njigba,WR,SEA,226.4
Tyreek Hill,WR,MIA,225.8
Joe Mixon,RB,HOU,222.9
Trey McBride,TE,ARI,235.9
Tee Higgins,WR,CIN,220.6
James Cook,RB,BUF,217.9
Terry McLaurin,WR,WAS,213.3
Alvin Kamara,RB,NO,213.1
Breece Hall,RB,NYJ,212.7
Rashee Rice,WR,KC,211.4
Omarion Hampton,RB,LAC,203
Chuba Hubbard,RB,CAR,202.4
Kenneth Walker III,RB,SEA,202.1
Xavier Worthy,WR,KC,201.4
D.J. Moore,WR,CHI,201.2
Zay Flowers,WR,BAL,199.5
Garrett Wilson,WR,NYJ,199.4
Travis Hunter,WR,JAC,199.2
Marvin Harrison,WR,ARI,198.5
DeVonta Smith,WR,PHI,197.5
Jakobi Meyers,WR,LV,196.3
Courtland Sutton,WR,DEN,196.3
Lamar Jackson,QB,BAL,343.1
Davante Adams,WR,LA,195
Mike Evans,WR,TB,194.8
Khalil Shakir,WR,BUF,192.8
James Conner,RB,ARI,193.2
Jameson Williams,WR,DET,192.4
Josh Allen,QB,BUF,337.3
D.K. Metcalf,WR,PIT,187.8
Calvin Ridley,WR,TEN,187.5
Jerry Jeudy,WR,CLE,185.4
Jauan Jennings,WR,SF,182.1
Jaylen Waddle,WR,MIA,181.6
TreVeyon Henderson,RB,NE,181.5
Aaron Jones,RB,MIN,178.9
RJ Harvey,RB,DEN,178.9
Jayden Daniels,QB,WAS,325.3
Jordan Addison,WR,MIN,176.9
Jaylen Warren,RB,PIT,176.6
Tony Pollard,RB,TEN,176.2
George Pickens,WR,DAL,174.6
George Kittle,TE,SF,188.9
David Montgomery,RB,DET,174.8
Stefon Diggs,WR,NE,173.2
Tetairoa McMillan,WR,CAR,172.2
Deebo Samuel,WR,WAS,171.8
Jayden Reed,WR,GB,170.3
D'Andre Swift,RB,CHI,170.3
Sam LaPorta,TE,DET,183.9
Tyrone Tracy,RB,NYG,169.5
Brian Robinson,RB,WAS,168.5
Jalen Hurts,QB,PHI,314.7
Quinshon Judkins,RB,CLE,166.8
Darnell Mooney,WR,ATL,165.6
Kaleb Johnson,RB,PIT,163
Chris Olave,WR,NO,159.5
Jonnu Smith,TE,MIA,171.8
Michael Pittman,WR,IND,157.2
Josh Downs,WR,IND,153.2
Rachaad White,RB,TB,139.1
Najee Harris,RB,LAC,137.7
Cooper Kupp,WR,SEA,149.3
Rome Odunze,WR,CHI,147.3
Chris Godwin,WR,TB,145.7
Zach Charbonnet,RB,SEA,132
Matthew Golden,WR,GB,143.9
Travis Kelce,TE,KC,160.6
Adam Thielen,WR,CAR,142.3
Colston Loveland,TE,CHI,160
Tyjae Spears,RB,TEN,129.2
Marvin Mims,WR,DEN,140.2
Jack Bech,WR,LV,139.3
Emeka Egbuka,WR,TB,137.9
Rashod Bateman,WR,BAL,137
Evan Engram,TE,DEN,157.2
Bhayshul Tuten,RB,JAC,122.8
Tyler Allgeier,RB,ATL,122.7
Austin Ekeler,RB,WAS,122.5
Ray-Ray McCloud,WR,ATL,133.6
Christian Kirk,WR,HOU,133.2
Michael Wilson,WR,ARI,132.6
TJ Hockenson,TE,MIN,155.3
Jalen McMillan,WR,TB,131.6
David Njoku,TE,CLE,154.7
Ricky Pearsall,WR,SF,130.9
Jordan Mason,RB,MIN,118.6
Jaydon Blue,RB,DAL,117.2
Mark Andrews,TE,BAL,153.8
Javonte Williams,RB,DAL,116.6
Marquise Brown,WR,KC,128
Rhamondre Stevenson,RB,NE,115
Isaih Pacheco,RB,KC,114.4
Cedric Tillman,WR,CLE,126.2
Harrison Butker,K,KC,156
Luther Burden,WR,CHI,125.3
Rashid Shaheed,WR,NO,124.5
Keon Coleman,WR,BUF,124.4
Trey Benson,RB,ARI,112
Kareem Hunt,RB,KC,111.9
Wan'Dale Robinson,WR,NYG,124.1
Rico Dowdle,RB,CAR,110.9
Kyle Williams,WR,NE,121.4
Joe Burrow,QB,CIN,283.3
Buffalo Defense,DEF,BUF,120.9
Cam Skattebo,RB,NYG,108.5
Tank Bigsby,RB,JAC,108.2
Tre Harris,WR,LAC,120.3
Romeo Doubs,WR,GB,118.1
Travis Etienne,RB,JAC,105.4
Brandon Aubrey,K,DAL,151.4
Denver Defense,DEF,DEN,118.6
Noah Brown,WR,WAS,115.8
Jake Moody,K,SF,150.8
Cameron Dicker,K,LAC,150.3
Demario Douglas,WR,NE,113.7
Dallas Goedert,TE,PHI,145.9
Josh Palmer,WR,BUF,113.4
San Francisco Defense,DEF,SF,117.1
Jayden Higgins,WR,HOU,112.9
Justice Hill,RB,BAL,100.4
Dylan Sampson,RB,CLE,100.1
Baltimore Defense,DEF,BAL,116.3
Matt Gay,K,WAS,148.8
Tyler Warren,TE,IND,142.7
Jake Ferguson,TE,DAL,142
Quentin Johnston,WR,LAC,109.7
Philadelphia Defense,DEF,PHI,115.3
Pat Freiermuth,TE,PIT,141.6
LA Chargers Defense,DEF,LAC,115.1
Ray Davis,RB,BUF,96.6
Devaughn Vele,WR,DEN,108.5
Dalton Kincaid,TE,BUF,140.6
Andrei Iosivas,WR,CIN,108.3
Baker Mayfield,QB,TB,276.7
Tucker Kraft,TE,GB,140.1
Kyler Murray,QB,ARI,276.6
Tutu Atwell,WR,LA,107.6
Xavier Legette,WR,CAR,107.5
Kyle Pitts,TE,ATL,139.6
Tyler Bass,K,BUF,146.3
DeAndre Hopkins,WR,BAL,105.7
Darius Slayton,WR,NYG,105.4
Jerome Ford,RB,CLE,92.8
Patrick Mahomes II,QB,KC,275.1
Jake Elliott,K,PHI,145.2
Jalen Coker,WR,CAR,104.3
Cade Otton,TE,TB,136.3
Kansas City Defense,DEF,KC,112.4
Isaac Guerendo,RB,SF,91.4
Joshua Karty,K,LA,144.7
Green Bay Defense,DEF,GB,112.1
Brock Purdy,QB,SF,273.3
Tre Tucker,WR,LV,102.8
Chase McLaughlin,K,TB,144.4
Bo Nix,QB,DEN,272.7
Brandon Aiyuk,WR,SF,102
Ka'imi Fairbairn,K,HOU,143.8
Calvin Austin,WR,PIT,100.8
Brandin Cooks,WR,NO,100.2
Zach Ertz,TE,WAS,132.3
Jason Sanders,K,MIA,142.9
Jake Bates,K,DET,142.9
Houston Defense,DEF,HOU,110.2
Younghoe Koo,K,ATL,142.5
Tyler Lockett,WR,TEN,98.2
Evan McPherson,K,CIN,141.1
Andres Borregales,K,NE,140.7
Chigoziem Okonkwo,TE,TEN,129.4
Minnesota Defense,DEF,MIN,108.9
Ty Johnson,RB,BUF,84.5
Brandon McManus,K,GB,139.9
Brenton Strange,TE,JAC,129
Hunter Henry,TE,NE,128.8
Jalen Tolbert,WR,DAL,95.9
LA Rams Defense,DEF,LA,108.4
Cam Little,K,JAC,138.9
Wil Lutz,K,DEN,138.4
Jo'quavioius Marks,RB,HOU,82.6
Alec Pierce,WR,IND,94.6
Pittsburgh Defense,DEF,PIT,107.5
Jaleel McLaughlin,RB,DEN,81.6
Chris Boswell,K,PIT,137
Will Reichard,K,MIN,136.6
Caleb Williams,QB,CHI,263.5
Seattle Defense,DEF,SEA,106.5
Justin Herbert,QB,LAC,263.3
Chad Ryland,K,ARI,136.1
Tyler Loop,K,BAL,136.1
Diontae Johnson,WR,CLE,92.4
New England Defense,DEF,NE,105.6
Daniel Carlson,K,LV,135.1
Detroit Defense,DEF,DET,105.3
Nick Westbrook-Ikhine,WR,MIA,90.9
Tampa Bay Defense,DEF,TB,104
Audric Estime,RB,DEN,77.1
Zack Moss,RB,CIN,77
Arizona Defense,DEF,ARI,102.6
Isaiah Davis,RB,NYJ,76.7
Braelon Allen,RB,NYJ,76.5
Washington Defense,DEF,WAS,102.2
J.J. McCarthy,QB,MIN,258.9
Dallas Defense,DEF,DAL,102
Atlanta Defense,DEF,ATL,101.9
Justin Fields,QB,NYJ,258.6
Chicago Defense,DEF,CHI,101.3
Indianapolis Defense,DEF,IND,100.9
Trevor Lawrence,QB,JAC,257.1
Cincinnati Defense,DEF,CIN,99.9
Dyami Brown,WR,JAC,86.4
Jared Goff,QB,DET,256.6
Jason Myers,K,SEA,129.4
Mike Gesicki,TE,CIN,118.5
Tennessee Defense,DEF,TEN,99.7
Dontayvion Wicks,WR,GB,86.2
Alexander Mattison,RB,MIA,73.9
Drake Maye,QB,NE,256.5
Devin Neal,RB,NO,73.6
Isaiah Likely,TE,BAL,117.9
Las Vegas Defense,DEF,LV,98.8
Miami Defense,DEF,MIA,98.8
Kendre Miller,RB,NO,72.9
C.J. Stroud,QB,HOU,254.9
New Orleans Defense,DEF,NO,97.9
Jordan Whittington,WR,LA,84.1
Jaylen Wright,RB,MIA,71.8
Dalton Schultz,TE,HOU,116.1
NY Jets Defense,DEF,NYJ,96.9
Will Shipley,RB,PHI,71
Cairo Santos,K,CHI,125.8
Jacksonville Defense,DEF,JAC,95.9
Carolina Defense,DEF,CAR,95.5
Miles Sanders,RB,DAL,69.5
NY Giants Defense,DEF,NYG,94.8
Jalen Nailor,WR,MIN,81.3
Tua Tagovailoa,QB,MIA,251.1
Elijah Mitchell,RB,KC,68
Theo Johnson,TE,NYG,112.4
Dak Prescott,QB,DAL,248
Cleveland Defense,DEF,CLE,90.8
KaVontae Turpin,WR,DAL,77.1
MarShawn Lloyd,RB,GB,63.8
Graham Gano,K,NYG,118.5
Blake Grupe,K,NO,117.5
Curtis Samuel,WR,BUF,74.3
Jaylin Noel,WR,HOU,74.2
Jordan James,RB,SF,61.5
Joey Slye,K,TEN,116.3
Mason Taylor,TE,NYJ,105.1
Michael Penix,QB,ATL,242.9
Jordan Love,QB,GB,241.9
Juwan Johnson,TE,NO,103.7
Troy Franklin,WR,DEN,71.4
Josh Reynolds,WR,NYJ,69.7
Van Jefferson,WR,TEN,68.6
Jahan Dotson,WR,PHI,68.4
Antonio Gibson,RB,NE,56.1
Bryce Young,QB,CAR,238.6
Brashard Smith,RB,KC,55
Mike Williams,WR,LAC,66.6
Noah Fant,TE,SEA,98.6
Allen Lazard,WR,NYJ,65.8
Malik Washington,WR,MIA,65.8
Matthew Stafford,QB,LA,236.1
Geno Smith,QB,LV,236
Roschon Johnson,RB,CHI,53
Parker Washington,WR,JAC,65.2
Greg Dortch,WR,ARI,64.1
Dustin Hopkins,K,CLE,106.8
Keaton Mitchell,RB,BAL,50.7
Devin Singletary,RB,NYG,50.3
Raheem Mostert,RB,LV,50
Kyle Juszczyk,RB,SF,49.7
Blake Corum,RB,LA,49.1
Demarcus Robinson,WR,SF,60.3
Kalel Mullings,RB,TEN,46.1
Roman Wilson,WR,PIT,58.2
Dameon Pierce,RB,HOU,45.9
DJ Giddens,RB,IND,45.2
Tim Patrick,WR,DET,56.9
Kenneth Gainwell,RB,PIT,44.5
Adonai Mitchell,WR,IND,56.7
Mack Hollins,WR,NE,56.3
Cam Ward,QB,TEN,226.3
Elijah Moore,WR,BUF,55.8
Jarquez Hunter,RB,LA,42.1
Emari Demercado,RB,ARI,41.9
Marquez Valdes-Scantling,WR,SEA,53.1
Tai Felton,WR,MIN,52.7
Dont'e Thornton,WR,LV,52.4
Sam Darnold,QB,SEA,221.8
Jalen Royals,WR,KC,50.8
Ja'Tavion Sanders,TE,CAR,82.7
Samaje Perine,RB,CIN,37.7
Sincere McCormick,RB,LV,36.4
Savion Williams,WR,GB,47.8
Will Dissly,TE,LAC,79.3
Jaylin Lane,WR,WAS,46.6
Michael Woods,WR,CLE,46.2
Emanuel Wilson,RB,GB,33.9
Pat Bryant,WR,DEN,46
Phil Mafah,RB,DAL,33.2
Jeremy McNichols,RB,WAS,32.9
Isaac TeSlaa,WR,DET,44.6
Zay Jones,WR,ARI,44.5
Jalin Hyatt,WR,NYG,44.1
Kyle Monangai,RB,CHI,31.6
Sean Tucker,RB,TB,31.3
Khalil Herbert,RB,IND,30.9
Tyler Higbee,TE,LA,74.9
Trevor Etienne,RB,CAR,29.9
Chimere Dike,WR,TEN,42.1
Tory Horton,WR,SEA,42
Elic Ayomanor,WR,TEN,42
Luke McCaffrey,WR,WAS,42
Alec Ingold,RB,MIA,28
Noah Gray,TE,KC,72.3
Olamide Zaccheaus,WR,CHI,40
Austin Hooper,TE,NE,71.6
Cedrick Wilson,WR,NO,39.3
Elijah Arroyo,TE,SEA,70.3
