Player,Position,Team,Overall Rank,Projection,Floor,Ceiling
Kyler Murray,QB,ARI,100,316,281,367
Tucker Kraft,TE,GB,101,163,138,192
Tyrone Tracy Jr.,RB,NYG,102,170,102,212
Bo Nix,QB,DEN,103,322,277,355
Marquise Brown,WR,KC,104,178,149,235
Baker Mayfield,QB,TB,105,319,278,358
Evan Engram,TE,DEN,106,158,125,206
Dallas Goedert,TE,PHI,107,161,138,191
Najee Harris,RB,LAC,108,153,127,221
Cameron Skattebo,RB,NYG,109,162,104,218
Justin Herbert,QB,LAC,110,315,280,362
Caleb Williams,QB,CHI,111,316,272,364
Tyjae Spears,RB,TEN,112,156,124,212
Tyler Warren,TE,IND,113,148,120,221
Austin Ekeler,RB,WAS,114,161,127,197
Brandon Aiyuk,WR,SF,115,158,136,270
Keon Coleman,WR,BUF,116,166,138,248
Tank Bigsby,RB,JAC,117,141,120,216
Pat Freiermuth,TE,PIT,118,150,135,186
Justin Fields,QB,NYJ,119,310,242,372
Trevor Lawrence,QB,JAC,120,304,271,359
Christian Kirk,WR,HOU,121,175,148,204
Drake Maye,QB,NE,122,304,270,358
Keenan Allen,WR,UNS,123,166,146,219
Zach Ertz,TE,WAS,124,150,116,183
Jared Goff,QB,DET,125,300,276,357
Colston Loveland,TE,CHI,126,132,113,220
Javonte Williams,RB,DAL,127,139,84,217
Brock Purdy,QB,SF,128,301,274,355
Dak Prescott,QB,DAL,129,301,271,355
Rachaad White,RB,TB,130,137,115,196
Zach Charbonnet,RB,SEA,131,133,121,199
Chigoziem Okonkwo,TE,TEN,132,146,114,182
Jordan Love,QB,GB,133,296,269,355
C.J. Stroud,QB,HOU,134,295,268,357
Jayden Higgins,WR,HOU,135,161,124,225
Isaiah Likely,TE,BAL,136,138,113,194
Mike Gesicki,TE,CIN,137,137,115,187
Cade Otton,TE,TB,138,144,119,170
Amari Cooper,WR,UNS,139,158,134,216
Tua Tagovailoa,QB,MIA,140,293,258,358
Romeo Doubs,WR,GB,141,163,137,201
Kyle Pitts,TE,ATL,142,134,112,188
J.J. McCarthy,QB,MIN,143,302,233,353
Hunter Henry,TE,NE,144,135,118,180
Luther Burden III,WR,CHI,145,158,111,224
Matthew Golden,WR,GB,146,153,119,228
Jordan Mason,RB,MIN,147,115,103,204
Rhamondre Stevenson,RB,NE,148,122,109,185
Dalton Schultz,TE,HOU,149,136,112,177
Jaydon Blue,RB,DAL,150,118,83,209
Joshua Palmer,WR,BUF,151,149,130,220
Diontae Johnson,WR,CLE,152,156,91,230
Bryce Young,QB,CAR,153,294,255,341
Brenton Strange,TE,JAC,154,127,106,185
Emeka Egbuka,WR,TB,155,149,120,218
Jack Bech,WR,LVR,156,146,120,223
Juwan Johnson,TE,NO,157,128,105,176
Wan'Dale Robinson,WR,NYG,158,156,131,189
Ray Davis,RB,BUF,159,103,95,201
Quentin Johnston,WR,LAC,160,153,110,207
Rashod Bateman,WR,BAL,161,144,127,205
Roschon Johnson,RB,CHI,162,105,80,185
Bhayshul Tuten,RB,JAC,163,94,75,206
Tre Harris,WR,LAC,164,143,107,212
Justice Hill,RB,BAL,165,117,90,148
Mason Taylor,TE,NYJ,166,118,99,180
Kyle Williams,WR,NE,167,135,119,218
Tyler Allgeier,RB,ATL,168,99,85,183
Matthew Stafford,QB,LAR,169,272,258,348
Xavier Legette,WR,CAR,170,147,109,194
Cedric Tillman,WR,CLE,171,134,107,221
Trey Benson,RB,ARI,172,87,76,201
Marvin Mims Jr.,WR,DEN,173,156,104,176
Jalen Coker,WR,CAR,174,142,108,200
Geno Smith,QB,LVR,175,276,254,334
Cameron Ward,QB,TEN,176,274,233,351
Adam Thielen,WR,CAR,177,151,104,181
Isaac Guerendo,RB,SF,178,76,72,218
Michael Wilson,WR,ARI,179,148,126,170
Blake Corum,RB,LAR,180,82,65,207
Sam Darnold,QB,SEA,181,271,249,341
Jaylen Wright,RB,MIA,182,87,72,190
Cole Kmet,TE,CHI,183,111,92,177
Nick Chubb,RB,UNS,184,91,68,182
Jalen McMillan,WR,TB,185,130,111,210
Anthony Richardson,QB,IND,186,266,199,378
Dylan Sampson,RB,CLE,187,92,69,175
Kareem Hunt,RB,KC,188,89,69,180
Theo Johnson,TE,NYG,189,110,87,172
