name,position,team,projection
Ja'Marr Chase,WR,CIN,325
Bijan Robinson,RB,ATL,306
CeeDee Lamb,WR,DAL,290
Saquon Barkley,RB,PHI,303
Justin Jefferson,WR,MIN,302
Puka Nacua,WR,LAR,292
Christian McCaffrey,RB,SF,277
Jahmyr Gibbs,RB,DET,293
Malik Nabers,WR,NYG,286
Nico Collins,WR,HOU,276
Brian Thomas Jr.,WR,JAC,264
Ashton Jeanty,RB,LVR,263
Jonathan Taylor,RB,IND,248
De'Von Achane,RB,MIA,278
Derrick Henry,RB,BAL,272
Amon-Ra St. Brown,WR,DET,270
A.J. Brown,WR,PHI,255
Drake London,WR,ATL,257
Tee Higgins,WR,CIN,254
Tyreek Hill,WR,MIA,241
Breece Hall,RB,NYJ,231
Alvin Kamara,RB,NO,236
Chase Brown,RB,CIN,231
Brock Bowers,TE,LVR,243
Josh Jacobs,RB,GB,260
Bucky Irving,RB,TB,261
Trey McBride,TE,ARI,241
Joe Mixon,RB,HOU,222
Rashee Rice,WR,KC,244
Lamar Jackson,QB,BAL,371
Jayden Daniels,QB,WAS,361
Xavier Worthy,WR,KC,210
Kyren Williams,RB,LAR,247
Ladd McConkey,WR,LAC,254
Josh Allen,QB,BUF,361
Jalen Hurts,QB,PHI,361
Mike Evans,WR,TB,231
Kenneth Walker III,RB,SEA,222
James Cook,RB,BUF,234
Chuba Hubbard,RB,CAR,226
Davante Adams,WR,LAR,246
James Conner,RB,ARI,219
Garrett Wilson,WR,NYJ,220
George Kittle,TE,SF,218
D.J. Moore,WR,CHI,227
D.K. Metcalf,WR,PIT,223
Jaxon Smith-Njigba,WR,SEA,228
Terry McLaurin,WR,WAS,234
Marvin Harrison Jr.,WR,ARI,226
DeVonta Smith,WR,PHI,216
Joe Burrow,QB,CIN,341
Jaylen Waddle,WR,MIA,190
Zay Flowers,WR,BAL,205
Tetairoa McMillan,WR,CAR,192
Aaron Jones,RB,MIN,200
Courtland Sutton,WR,DEN,212
Jauan Jennings,WR,SF,195
Sam LaPorta,TE,DET,180
Travis Hunter,WR,JAC,192
David Montgomery,RB,DET,191
Chris Godwin,WR,TB,209
George Pickens,WR,DAL,202
Chris Olave,WR,NO,185
Jameson Williams,WR,DET,189
Isiah Pacheco,RB,KC,168
Omarion Hampton,RB,LAC,195
Travis Kelce,TE,KC,180
Quinshon Judkins,RB,CLE,181
D'Andre Swift,RB,CHI,193
Tony Pollard,RB,TEN,193
Calvin Ridley,WR,TEN,195
TreVeyon Henderson,RB,NE,180
T.J. Hockenson,TE,MIN,171
RJ Harvey,RB,DEN,189
Jakobi Meyers,WR,LVR,200
Deebo Samuel,WR,WAS,186
Ricky Pearsall,WR,SF,161
Khalil Shakir,WR,BUF,187
Jonnu Smith,TE,MIA,184
David Njoku,TE,CLE,175
Mark Andrews,TE,BAL,161
Jordan Addison,WR,MIN,194
Rome Odunze,WR,CHI,183
Jayden Reed,WR,GB,169
Marquise Brown,WR,KC,143
Patrick Mahomes,QB,KC,317
Jerry Jeudy,WR,CLE,203
Brian Robinson Jr.,RB,WAS,168
Jaylen Warren,RB,PIT,171
Dalton Kincaid,TE,BUF,143
Travis Etienne,RB,JAC,150
Kaleb Johnson,RB,PIT,166
Tucker Kraft,TE,GB,150
Jake Ferguson,TE,DAL,154
Evan Engram,TE,DEN,154
Kyler Murray,QB,ARI,306
Dallas Goedert,TE,PHI,149
Bo Nix,QB,DEN,303
Tyler Warren,TE,IND,137
Josh Downs,WR,IND,166
Tyrone Tracy Jr.,RB,NYG,162
Justin Fields,QB,NYJ,301
Baker Mayfield,QB,TB,315
Darnell Mooney,WR,ATL,170
Tyjae Spears,RB,TEN,139
Caleb Williams,QB,CHI,289
Cameron Skattebo,RB,NYG,128
Najee Harris,RB,LAC,136
Justin Herbert,QB,LAC,286
Pat Freiermuth,TE,PIT,153
Michael Pittman Jr.,WR,IND,168
Cooper Kupp,WR,SEA,174
Austin Ekeler,RB,WAS,144
Rashid Shaheed,WR,NO,166
Stefon Diggs,WR,NE,165
Dak Prescott,QB,DAL,287
Keon Coleman,WR,BUF,163
Tank Bigsby,RB,JAC,111
Trevor Lawrence,QB,JAC,277
Drake Maye,QB,NE,279
Brock Purdy,QB,SF,298
Zach Ertz,TE,WAS,142
Javonte Williams,RB,DAL,149
Colston Loveland,TE,CHI,132
Jordan Love,QB,GB,284
Jared Goff,QB,DET,290
Chigoziem Okonkwo,TE,TEN,128
Christian Kirk,WR,HOU,151
Jayden Higgins,WR,HOU,127
Isaiah Likely,TE,BAL,123
Rachaad White,RB,TB,121
Mike Gesicki,TE,CIN,130
Cade Otton,TE,TB,127
J.J. McCarthy,QB,MIN,282
Brandon Aubrey,K,DAL,181
C.J. Stroud,QB,HOU,277
Rhamondre Stevenson,RB,NE,137
Jordan Mason,RB,MIN,117
Hunter Henry,TE,NE,131
Tua Tagovailoa,QB,MIA,269
Kyle Pitts,TE,ATL,124
Zach Charbonnet,RB,SEA,131
J.K. Dobbins,RB,DEN,107
Romeo Doubs,WR,GB,137
Keenan Allen,WR,UNS,142
Matthew Golden,WR,GB,167
Cameron Dicker,K,LAC,173
Jaydon Blue,RB,DAL,108
Dalton Schultz,TE,HOU,124
Bryce Young,QB,CAR,262
Younghoe Koo,K,ATL,178
Brenton Strange,TE,JAC,125
Luther Burden III,WR,CHI,119
Emeka Egbuka,WR,TB,129
Joshua Palmer,WR,BUF,115
Amari Cooper,WR,UNS,131
Matt Gay,K,WAS,170
Juwan Johnson,TE,NO,110
Jake Elliott,K,PHI,169
Jake Bates,K,DET,160
Brandon McManus,K,GB,167
Ka'imi Fairbairn,K,HOU,170
Bhayshul Tuten,RB,JAC,83
Diontae Johnson,WR,CLE,96
Harrison Butker,K,KC,165
Cam Little,K,JAC,162
Wan'Dale Robinson,WR,NYG,151
Mason Taylor,TE,NYJ,109
Ray Davis,RB,BUF,95
Roschon Johnson,RB,CHI,101
Matthew Stafford,QB,LAR,258
Quentin Johnston,WR,LAC,128
Justice Hill,RB,BAL,101
Rashod Bateman,WR,BAL,147
Jason Sanders,K,MIA,163
Tyler Allgeier,RB,ATL,97
Cedric Tillman,WR,CLE,145
Tre Harris,WR,LAC,134
Daniel Carlson,K,LVR,158
Geno Smith,QB,LVR,266
Cameron Ward,QB,TEN,250
Kyle Williams,WR,NE,125
