name,position,team,projection
Trey Benson,RB,ARI,201
Tyler Loop,K,BAL,175
Chase McLaughlin,K,TB,174
Cole Kmet,TE,CHI,177
Sam Darnold,QB,SEA,341
Wil Lutz,K,DEN,173
Isaac Guerendo,RB,SF,217
Jack Bech,WR,LVR,215
Xavier Legette,WR,CAR,194
Marvin Mims Jr.,WR,DEN,177
Blake Corum,RB,LAR,207
Joshua Karty,K,LAR,173
Jaylen Wright,RB,MIA,190
Jalen Coker,WR,CAR,200
Theo Johnson,TE,NYG,172
Miles Sanders,RB,DAL,204
Adam Thielen,WR,CAR,182
Dylan Sampson,RB,CLE,175
Kareem Hunt,RB,KC,180
Michael Wilson,WR,ARI,170
MarShawn Lloyd,RB,GB,188
Michael Penix Jr.,QB,ATL,338
Chad Ryland,K,ARI,171
Chris Boswell,K,PIT,169
Kendre Miller,RB,NO,178
Elijah Mitchell,RB,KC,189
Anthony Richardson,QB,IND,379
Jason Myers,K,SEA,169
Jarquez Hunter,RB,LAR,199
Cairo Santos,K,CHI,171
Jerome Ford,RB,CLE,142
Demarcus Robinson,WR,SF,288
Rico Dowdle,RB,CAR,160
Tyler Bass,K,BUF,172
Braelon Allen,RB,NYJ,180
Jalen McMillan,WR,TB,199
Trevor Etienne,RB,CAR,171
Demario Douglas,WR,NE,198
Jo'Quavious Marks,RB,HOU,154
Nick Chubb,RB,HOU,192
Elijah Arroyo,TE,SEA,159
DJ Giddens,RB,IND,172
Ja'Tavion Sanders,TE,CAR,165
Alec Pierce,WR,IND,197
Darius Slayton,WR,NYG,176
Jordan James,RB,SF,189
Terrance Ferguson,TE,LAR,181
Tahj Brooks,RB,CIN,184
Noah Fant,TE,SEA,150
Ray-Ray McCloud,WR,ATL,159
Samaje Perine,RB,CIN,123
Mike Williams,WR,LAC,209
Pat Bryant,WR,DEN,204
Aaron Rodgers,QB,PIT,333
Antonio Gibson,RB,NE,140
Ollie Gordon II,RB,MIA,176
Zack Moss,RB,CIN,162
Dontayvion Wicks,WR,GB,209
Isaiah Davis,RB,NYJ,182
Gus Edwards,RB,UNS,118
Tyler Higbee,TE,LAR,169
Will Shipley,RB,PHI,150
Will Dissly,TE,LAC,143
Spencer Shrader,K,IND,168
Will Reichard,K,MIN,169
Ty Johnson,RB,BUF,129
Tyler Lockett,WR,TEN,186
Devin Neal,RB,NO,163
Kenneth Gainwell,RB,PIT,121
Dyami Brown,WR,JAC,179
Alexander Mattison,RB,MIA,146
Christian Watson,WR,GB,96
Raheem Mostert,RB,LVR,126
Jaylin Noel,WR,HOU,205
Devin Singletary,RB,NYG,119
Harold Fannin Jr.,TE,CLE,172
Noah Gray,TE,KC,142
Brashard Smith,RB,KC,155
Khalil Herbert,RB,IND,153
Kyle Monangai,RB,CHI,159
Russell Wilson,QB,NYG,328
Andres Borregales,K,NE,165
Keaton Mitchell,RB,BAL,154
Phil Mafah,RB,DAL,154
Roman Wilson,WR,PIT,187
DeAndre Hopkins,WR,BAL,161
