name,position,team,projection
Ja'Marr Chase,WR,CIN,301.8
Justin Jefferson,WR,MIN,281.7
Saquon Barkley,RB,PHI,296.9
CeeDee Lamb,WR,DAL,277.6
Amon-Ra St. Brown,WR,DET,267.3
Bijan Robinson,RB,ATL,283.9
Puka Nacua,WR,LA,264.6
Malik Nabers,WR,NYG,262.3
Jahmyr Gibbs,RB,DET,275
Christian McCaffrey,RB,SF,275
Nico Collins,WR,HOU,252.8
Brian Thomas,WR,JAC,247.6
A.J. Brown,WR,PHI,242.7
Drake London,WR,ATL,241.4
Devon Achane,RB,MIA,257.3
Ashton Jeanty,RB,LV,253.6
Tyreek Hill,WR,MIA,231.4
Derrick Henry,RB,BAL,248.2
Ladd McConkey,WR,LAC,229.2
Bucky Irving,RB,TB,241.9
Tee Higgins,WR,CIN,221.7
Brock Bowers,TE,LV,230
Josh Jacobs,RB,GB,235.8
Jaxon Smith-Njigba,WR,SEA,216
D.J. Moore,WR,CHI,213.4
Garrett Wilson,WR,NYJ,212.9
Jonathan Taylor,RB,IND,231.2
Marvin Harrison,WR,ARI,211.8
Davante Adams,WR,LA,211.7
Kyren Williams,RB,LA,228.5
Terry McLaurin,WR,WAS,209.5
Zay Flowers,WR,BAL,209.1
Rashee Rice,WR,KC,207.2
Mike Evans,WR,TB,206.8
Chase Brown,RB,CIN,224.5
Trey McBride,TE,ARI,215.7
Breece Hall,RB,NYJ,223.2
D.K. Metcalf,WR,PIT,203.9
DeVonta Smith,WR,PHI,203.5
Xavier Worthy,WR,KC,202.3
Courtland Sutton,WR,DEN,199
Chris Olave,WR,NO,197.7
James Cook,RB,BUF,215.9
Josh Allen,QB,BUF,344.5
Alvin Kamara,RB,NO,215.7
Jameson Williams,WR,DET,197
Joe Mixon,RB,HOU,215
Tetairoa McMillan,WR,CAR,195.1
George Pickens,WR,DAL,194
Chris Godwin,WR,TB,193.7
Calvin Ridley,WR,TEN,192.7
Jaylen Waddle,WR,MIA,192.6
Jordan Addison,WR,MIN,191
Travis Hunter,WR,JAC,190.8
Jerry Jeudy,WR,CLE,189.7
Khalil Shakir,WR,BUF,189.3
Deebo Samuel,WR,WAS,187.5
Lamar Jackson,QB,BAL,333.8
Rome Odunze,WR,CHI,186.5
Chuba Hubbard,RB,CAR,202.4
Jakobi Meyers,WR,LV,183.9
Kenneth Walker III,RB,SEA,202
Jauan Jennings,WR,SF,181.1
Stefon Diggs,WR,NE,179.7
David Montgomery,RB,DET,196.1
Omarion Hampton,RB,LAC,195.9
Cooper Kupp,WR,SEA,177
James Conner,RB,ARI,195.2
Matthew Golden,WR,GB,175.8
Jayden Reed,WR,GB,174.8
George Kittle,TE,SF,183.8
Tony Pollard,RB,TEN,190.5
Jayden Daniels,QB,WAS,319
Jalen Hurts,QB,PHI,318.7
Darnell Mooney,WR,ATL,170.3
Ricky Pearsall,WR,SF,167.4
Sam LaPorta,TE,DET,176.4
RJ Harvey,RB,DEN,182.5
Travis Kelce,TE,KC,174.4
Aaron Jones,RB,MIN,181.2
TreVeyon Henderson,RB,NE,179.5
Josh Downs,WR,IND,160.1
Brandon Aiyuk,WR,SF,158.5
Joe Burrow,QB,CIN,304.7
Quinshon Judkins,RB,CLE,175.9
D'Andre Swift,RB,CHI,174.8
TJ Hockenson,TE,MIN,165.9
Keon Coleman,WR,BUF,151.1
Christian Kirk,WR,HOU,151
Michael Pittman,WR,IND,150.6
Mark Andrews,TE,BAL,163.4
Marvin Mims,WR,DEN,147.1
Emeka Egbuka,WR,TB,146.8
Adam Thielen,WR,CAR,146.7
Tyrone Tracy,RB,NYG,166.5
Jaylen Warren,RB,PIT,165.7
Luther Burden,WR,CHI,141.7
Kyle Williams,WR,NE,141.3
Rashid Shaheed,WR,NO,141
Wan'Dale Robinson,WR,NYG,140.6
Jonnu Smith,TE,MIA,159.9
Quentin Johnston,WR,LAC,139.2
Jayden Higgins,WR,HOU,139
Kaleb Johnson,RB,PIT,159.5
Cedric Tillman,WR,CLE,137.6
Marquise Brown,WR,KC,137.2
Xavier Legette,WR,CAR,135.1
Brian Robinson,RB,WAS,154.2
Jack Bech,WR,LV,132.2
Patrick Mahomes II,QB,KC,292.6
Romeo Doubs,WR,GB,132.1
Rashod Bateman,WR,BAL,131.8
Michael Wilson,WR,ARI,131.2
Najee Harris,RB,LAC,148.9
Demario Douglas,WR,NE,128.1
Zach Charbonnet,RB,SEA,147
Darius Slayton,WR,NYG,126
Baltimore Defense,DEF,BAL,143.2
David Njoku,TE,CLE,151.8
Rhamondre Stevenson,RB,NE,144.6
Dallas Defense,DEF,DAL,142.1
Tre Harris,WR,LAC,121.7
Tyjae Spears,RB,TEN,142.3
Isaih Pacheco,RB,KC,141.4
Cincinnati Defense,DEF,CIN,140.4
Travis Etienne,RB,JAC,139.7
NY Jets Defense,DEF,NYJ,140
Jalen McMillan,WR,TB,116.2
Evan Engram,TE,DEN,147.6
Cleveland Defense,DEF,CLE,138.4
Elic Ayomanor,WR,TEN,114.8
Tyler Lockett,WR,TEN,114
Cam Skattebo,RB,NYG,134.5
Kansas City Defense,DEF,KC,136.9
Pittsburgh Defense,DEF,PIT,136.8
Josh Palmer,WR,BUF,111.9
Buffalo Defense,DEF,BUF,136.7
San Francisco Defense,DEF,SF,134.4
Javonte Williams,RB,DAL,126.1
Calvin Austin,WR,PIT,104.8
DeAndre Hopkins,WR,BAL,104.7
Ray-Ray McCloud,WR,ATL,103.8
Andrei Iosivas,WR,CIN,103.3
Alec Pierce,WR,IND,103.1
Rachaad White,RB,TB,123.1
Austin Ekeler,RB,WAS,122
Philadelphia Defense,DEF,PHI,131.2
Tre Tucker,WR,LV,97.1
Tank Bigsby,RB,JAC,117.3
Jake Ferguson,TE,DAL,138
Harrison Butker,K,KC,135.7
Tampa Bay Defense,DEF,TB,128.5
Jordan Mason,RB,MIN,116
Jalen Coker,WR,CAR,95.3
Caleb Williams,QB,CHI,274
Matt Gay,K,WAS,134.9
Diontae Johnson,WR,CLE,93.9
Baker Mayfield,QB,TB,273.4
Pat Freiermuth,TE,PIT,136.6
Jaydon Blue,RB,DAL,114.4
Ray Davis,RB,BUF,114.3
Kyler Murray,QB,ARI,273.2
Bhayshul Tuten,RB,JAC,114.2
Younghoe Koo,K,ATL,133.9
Tyler Allgeier,RB,ATL,113.2
Isaac Guerendo,RB,SF,113.1
Dallas Goedert,TE,PHI,134.8
Dalton Kincaid,TE,BUF,134.5
Colston Loveland,TE,CHI,134.5
Detroit Defense,DEF,DET,126.5
Brandon Aubrey,K,DAL,133.1
Tutu Atwell,WR,LA,90.4
Bo Nix,QB,DEN,269.9
Houston Defense,DEF,HOU,125.4
LA Chargers Defense,DEF,LAC,125.4
Miami Defense,DEF,MIA,125.3
Adonai Mitchell,WR,IND,90.1
Daniel Carlson,K,LV,132.6
Rico Dowdle,RB,CAR,110.2
Tyler Warren,TE,IND,131.9
Troy Franklin,WR,DEN,88.6
Tucker Kraft,TE,GB,130.9
Atlanta Defense,DEF,ATL,123.1
Jalen Royals,WR,KC,87.5
Jake Elliott,K,PHI,131.3
Brandin Cooks,WR,NO,86.5
Mike Williams,WR,LAC,86.3
Greg Zuerlein,K,NYJ,130.7
Jake Moody,K,SF,130.6
Nick Westbrook-Ikhine,WR,MIA,85.7
Indianapolis Defense,DEF,IND,120.2
Evan McPherson,K,CIN,129.9
Brenton Strange,TE,JAC,127.5
Tyler Bass,K,BUF,129.6
Jerome Ford,RB,CLE,104.6
Chicago Defense,DEF,CHI,118.8
Ka'imi Fairbairn,K,HOU,129.3
Chase McLaughlin,K,TB,129.2
Chris Boswell,K,PIT,129.2
Trey Benson,RB,ARI,103.9
Seattle Defense,DEF,SEA,117.8
Jake Bates,K,DET,127.8
Jacksonville Defense,DEF,JAC,116.6
Isaiah Likely,TE,BAL,124.2
Hunter Henry,TE,NE,124.2
Mike Gesicki,TE,CIN,124.1
Justin Herbert,QB,LAC,260.7
Dustin Hopkins,K,CLE,126.9
Zach Ertz,TE,WAS,123.7
Jared Goff,QB,DET,260.4
Cam Little,K,JAC,126.7
Dak Prescott,QB,DAL,260
Kyle Pitts,TE,ATL,123.2
Green Bay Defense,DEF,GB,115.4
Jason Myers,K,SEA,126
Cameron Dicker,K,LAC,125.9
Cairo Santos,K,CHI,125.8
Joshua Karty,K,LA,125.6
Jason Sanders,K,MIA,125.3
Will Reichard,K,MIN,125.3
Dontayvion Wicks,WR,GB,78.9
Brock Purdy,QB,SF,257.4
New Orleans Defense,DEF,NO,112.8
Roschon Johnson,RB,CHI,98
Pat Bryant,WR,DEN,76.7
Allen Lazard,WR,NYJ,76.6
Devaughn Vele,WR,DEN,76.4
Blake Corum,RB,LA,96.8
Noah Brown,WR,WAS,76.1
Jaylin Noel,WR,HOU,76.1
Dyami Brown,WR,JAC,75.7
Wil Lutz,K,DEN,121.6
C.J. Stroud,QB,HOU,255.2
Las Vegas Defense,DEF,LV,110.5
Drake Maye,QB,NE,254.9
Joey Slye,K,TEN,121.2
Cade Otton,TE,TB,118.1
NY Giants Defense,DEF,NYG,110.4
Jaleel McLaughlin,RB,DEN,95.9
Elijah Moore,WR,BUF,75.2
Dalton Schultz,TE,HOU,117.8
Graham Gano,K,NYG,120.6
Marquez Valdes-Scantling,WR,SEA,74.3
Jordan Love,QB,GB,253.9
Curtis Samuel,WR,BUF,73.4
Dylan Sampson,RB,CLE,93.6
Isaac TeSlaa,WR,DET,72.8
Denver Defense,DEF,DEN,107.8
Blake Grupe,K,NO,118
Braelon Allen,RB,NYJ,92.7
Jalen Nailor,WR,MIN,72
Trevor Lawrence,QB,JAC,251.4
Minnesota Defense,DEF,MIN,105.8
Chigoziem Okonkwo,TE,TEN,113.4
Tory Horton,WR,SEA,70
Demarcus Robinson,WR,SF,69.9
Jalen Tolbert,WR,DAL,69.7
Kayshon Boutte,WR,NE,68.8
Washington Defense,DEF,WAS,102.8
Juwan Johnson,TE,NO,110.1
J.J. McCarthy,QB,MIN,246.8
Luke McCaffrey,WR,WAS,67
LA Rams Defense,DEF,LA,102
Malik Washington,WR,MIA,66.7
Tai Felton,WR,MIN,66.4
Roman Wilson,WR,PIT,66.1
Carolina Defense,DEF,CAR,101.2
Robert Woods,WR,PIT,65.9
Mason Taylor,TE,NYJ,108.6
Jaylen Wright,RB,MIA,86
Greg Dortch,WR,ARI,64.6
Chimere Dike,WR,TEN,64.2
Justice Hill,RB,BAL,84.7
New England Defense,DEF,NE,98.7
Audric Estime,RB,DEN,84.2
Kareem Hunt,RB,KC,83.6
Tennessee Defense,DEF,TEN,93.8
Treylon Burks,WR,TEN,58.4
Justin Fields,QB,NYJ,237.7
Miles Sanders,RB,DAL,78.5
Theo Johnson,TE,NYG,100.1
Tua Tagovailoa,QB,MIA,236.8
Kendre Miller,RB,NO,77.7
KaVontae Turpin,WR,DAL,56.3
Jordan Whittington,WR,LA,55.5
MarShawn Lloyd,RB,GB,75.4
Geno Smith,QB,LV,234.2
Devin Neal,RB,NO,75
Parker Washington,WR,JAC,53.8
Arizona Defense,DEF,ARI,87.6
Jimmy Horn,WR,CAR,52.3
Bryce Young,QB,CAR,231.9
Michael Penix,QB,ATL,231.6
Matthew Stafford,QB,LA,231.6
Ja'Tavion Sanders,TE,CAR,94.4
Malachi Corley,WR,NYJ,50.9
Jaylin Lane,WR,WAS,50.9
Tim Patrick,WR,DET,50.7
Mack Hollins,WR,NE,49.9
Arian Smith,WR,NYJ,49.2
Will Shipley,RB,PHI,68.4
Terrance Ferguson,TE,LA,89.5
Josh Reynolds,WR,NYJ,46.6
Jahan Dotson,WR,PHI,46.5
DJ Giddens,RB,IND,66.8
Dont'e Thornton,WR,LV,45
Savion Williams,WR,GB,44.7
Ollie Gordon,RB,MIA,64.7
Olamide Zaccheaus,WR,CHI,44
Harold Fannin,TE,CLE,86.3
Brashard Smith,RB,KC,64.1
Jermaine Burton,WR,CIN,43.4
Cam Ward,QB,TEN,222.8
JuJu Smith-Schuster,WR,KC,42.1
Xavier Gipson,WR,NYJ,41.7
Tyler Johnson,WR,NYJ,41.6
Tyler Conklin,TE,LAC,84.3
Tyler Higbee,TE,LA,84.1
Cole Kmet,TE,CHI,83.1
Kendrick Bourne,WR,NE,39.9
Sam Darnold,QB,SEA,219.4
Zack Moss,RB,CIN,59.3
Jordan James,RB,SF,59.1
Tez Johnson,WR,TB,37.8
Raheem Mostert,RB,LV,57.7
Noah Gray,TE,KC,79.7
Jarquez Hunter,RB,LA,56.9
Rondale Moore,WR,MIN,35.6
Kalif Raymond,WR,DET,35.2
Jalin Hyatt,WR,NYG,35.1
K.J. Osborn,WR,WAS,33.7
Christian Watson,WR,GB,33.6
Jake Bobo,WR,SEA,33.1
Jordan Watkins,WR,SF,33
