name,position,team,projection
Jayden Daniels,QB,WAS,341.5
Josh Allen,QB,BUF,331.6
Lamar Jackson,QB,BLT,327.7
Jalen Hurts,QB,PHI,325.6
Joe Burrow,QB,CIN,320.2
Saquon Barkley,RB,PHI,320.1
Ja'Marr Chase,WR,CIN,318
Puka Nacua,WR,LA,315.2
Malik Nabers,WR,NYG,308.4
Jahmyr Gibbs,RB,DET,306.4
Bijan Robinson,RB,ATL,305.5
Justin Jefferson,WR,MIN,287.8
Christian McCaffrey,RB,SF,286.1
Ashton Jeanty,RB,LV,281.4
Patrick Mahomes,QB,KC,280.2
De'Von Achane,RB,MIA,275.4
Baker Mayfield,QB,TB,274.2
Brock Purdy,QB,SF,273.1
Kyler Murray,QB,ARZ,273
Derrick Henry,RB,BLT,272.8
Dak Prescott,QB,DAL,272
J.J. McCarthy,QB,MIN,270.5
Bo Nix,QB,DEN,268.8
CeeDee Lamb,WR,DAL,266.6
Trevor Lawrence,QB,JAX,266.4
Caleb Williams,QB,CHI,264.9
Brian Thomas Jr.,WR,JAX,263.2
Jordan Love,QB,GB,261.4
Drake Maye,QB,NE,261
Justin Herbert,QB,LAC,258.1
Justin Fields,QB,NYJ,256.9
Ladd McConkey,WR,LAC,256.4
C.J. Stroud,QB,HST,256.1
Tua Tagovailoa,QB,MIA,256
Drake London,WR,ATL,255.9
Jared Goff,QB,DET,255.6
Nico Collins,WR,HST,254.9
Amon-Ra St. Brown,WR,DET,254.6
Bucky Irving,RB,TB,253.7
Rashee Rice,WR,KC,250.6
Matthew Stafford,QB,LA,249.8
Jonathan Taylor,RB,IND,249.7
Chase Brown,RB,CIN,248.9
Davante Adams,WR,LA,248.8
Josh Jacobs,RB,GB,247.4
Aaron Rodgers,QB,PIT,243.9
Tee Higgins,WR,CIN,243.9
Trey McBride,TE,ARZ,242.9
Michael Penix Jr.,QB,ATL,240.6
Bryce Young,QB,CAR,240.6
Geno Smith,QB,LV,240.5
Cameron Ward,QB,TEN,235.4
Kenneth Walker III,RB,SEA,233.5
Sam Darnold,QB,SEA,233
Kyren Williams,RB,LA,232.7
A.J. Brown,WR,PHI,232
Chuba Hubbard,RB,CAR,231.4
Alvin Kamara,RB,NO,231.1
DK Metcalf,WR,PIT,226.9
James Conner,RB,ARZ,226.7
Tyreek Hill,WR,MIA,226.7
Mike Evans,WR,TB,225
Garrett Wilson,WR,NYJ,221.6
Brock Bowers,TE,LV,220.6
Jaxon Smith-Njigba,WR,SEA,220.3
James Cook,RB,BUF,218.5
DJ Moore,WR,CHI,216.8
Breece Hall,RB,NYJ,216.2
Jaylen Waddle,WR,MIA,214.7
Courtland Sutton,WR,DEN,214.2
Daniel Jones,QB,IND,213.7
Jerry Jeudy,WR,CLV,211.4
Terry McLaurin,WR,WAS,210.6
Omarion Hampton,RB,LAC,208.5
Calvin Ridley,WR,TEN,208.4
Marvin Harrison Jr.,WR,ARZ,208.1
Aaron Jones,RB,MIN,207.2
Tetairoa McMillan,WR,CAR,205.5
Jordan Addison,WR,MIN,203.4
Chris Godwin,WR,TB,203.4
Tony Pollard,RB,TEN,202.9
Joe Mixon,RB,HST,202.9
Travis Hunter,WR,JAX,201.8
George Kittle,TE,SF,201.4
Zay Flowers,WR,BLT,201.4
David Montgomery,RB,DET,201
RJ Harvey,RB,DEN,198.2
Quinshon Judkins,RB,CLV,197
Jaxson Dart,QB,NYG,196.5
Jakobi Meyers,WR,LV,195.2
Tyler Shough,QB,NO,194.8
Jameson Williams,WR,DET,193
D'Andre Swift,RB,CHI,192.5
DeVonta Smith,WR,PHI,189.2
George Pickens,WR,DAL,189.2
Xavier Worthy,WR,KC,188.9
Deebo Samuel Sr.,WR,WAS,184.9
Sam LaPorta,TE,DET,182
TreVeyon Henderson,RB,NE,181.5
Kaleb Johnson,RB,PIT,180.5
Josh Downs,WR,IND,179
Travis Kelce,TE,KC,178.7
Khalil Shakir,WR,BUF,178.3
Tyrone Tracy Jr.,RB,NYG,177.4
Bhayshul Tuten,RB,JAX,177.2
Michael Pittman,WR,IND,171.5
Chris Olave,WR,NO,170
Stefon Diggs,WR,NE,169.1
Rome Odunze,WR,CHI,167.7
Jayden Reed,WR,GB,167.5
Darnell Mooney,WR,ATL,167.5
Jauan Jennings,WR,SF,166.8
Brian Robinson,RB,WAS,166
Isiah Pacheco,RB,KC,164.8
Jonnu Smith,TE,MIA,162
Jaylen Warren,RB,PIT,160.4
T.J. Hockenson,TE,MIN,160
David Njoku,TE,CLV,158
Austin Ekeler,RB,WAS,156.9
Mark Andrews,TE,BLT,155.2
Quentin Johnston,WR,LAC,154.7
Cedric Tillman,WR,CLV,154.5
Rashid Shaheed,WR,NO,154.3
Evan Engram,TE,DEN,153.2
Tyjae Spears,RB,TEN,151.5
Zach Ertz,TE,WAS,150.6
Dallas Goedert,TE,PHI,150
Pat Freiermuth,TE,PIT,149.3
Brenton Strange,TE,JAX,146.7
Rachaad White,RB,TB,146.6
Hunter Henry,TE,NE,144.5
Colston Loveland,TE,CHI,144.2
Theo Johnson,TE,NYG,142.3
Javonte Williams,RB,DAL,142.1
Adam Thielen,WR,CAR,141.8
Zach Charbonnet,RB,SEA,141.6
Calvin Austin III,WR,PIT,141.1
Emeka Egbuka,WR,TB,140.8
Ricky Pearsall,WR,SF,140.3
Mike Gesicki,TE,CIN,140.3
Jake Ferguson,TE,DAL,139.5
Tucker Kraft,TE,GB,138.8
Matthew Golden,WR,GB,138.7
Romeo Doubs,WR,GB,137.8
Keon Coleman,WR,BUF,137.6
Dalton Kincaid,TE,BUF,132.9
Wan'Dale Robinson,WR,NYG,132.1
Tutu Atwell,WR,LA,131.3
Ray-Ray McCloud,WR,ATL,127.5
Tyler Warren,TE,IND,125.4
Darius Slayton,WR,NYG,125.4
Michael Wilson,WR,ARZ,125.3
Andrei Iosivas,WR,CIN,124.4
Marvin Mims Jr.,WR,DEN,124.4
Cooper Kupp,WR,SEA,124
Tre Harris,WR,LAC,123
Jayden Higgins,WR,HST,122.2
Dyami Brown,WR,JAX,120.9
Kyle Pitts,TE,ATL,120.4
Rashod Bateman,WR,BLT,119.6
Juwan Johnson,TE,NO,119.1
Tyler Lockett,WR,TEN,117.6
Christian Kirk,WR,HST,117.1
Cam Skattebo,RB,NYG,116
Kyle Williams,WR,NE,115
Mason Taylor,TE,NYJ,114.6
Xavier Legette,WR,CAR,114.4
Trey Benson,RB,ARZ,114.3
Dalton Schultz,TE,HST,114.2
Josh Palmer,WR,BUF,114
Isaiah Likely,TE,BLT,113
Cade Otton,TE,TB,112.8
Rhamondre Stevenson,RB,NE,110.7
Jack Bech,WR,LV,110.6
