name,position,team,projection
Ja'Marr Chase,WR,CIN,297.1
CeeDee Lamb,WR,DAL,285.8
Amon-Ra St. Brown,WR,DET,283.5
Puka Nacua,WR,LA,282.9
Malik Nabers,WR,NYG,274.6
Justin Jefferson,WR,MIN,272.7
Nico Collins,WR,HOU,251.8
Drake London,WR,ATL,247.6
Brian Thomas,WR,JAC,247.4
Saquon Barkley,RB,PHI,260.9
A.J. Brown,WR,PHI,245.6
Bijan Robinson,RB,ATL,258
Ladd McConkey,WR,LAC,242.4
Jahmyr Gibbs,RB,DET,253.6
Ashton Jeanty,RB,LV,247.2
Devon Achane,RB,MIA,246.9
Jaxon Smith-Njigba,WR,SEA,228.6
Bucky Irving,RB,TB,240.3
Christian McCaffrey,RB,SF,238.4
Tyreek Hill,WR,MIA,222
Tee Higgins,WR,CIN,221.4
Chase Brown,RB,CIN,233.8
Josh Jacobs,RB,GB,229.1
Brock Bowers,TE,LV,239.3
Terry McLaurin,WR,WAS,213.7
Trey McBride,TE,ARI,238.5
Kyren Williams,RB,LA,226.5
Zay Flowers,WR,BAL,209.9
Derrick Henry,RB,BAL,223.5
Jonathan Taylor,RB,IND,223.1
Garrett Wilson,WR,NYJ,207.4
Marvin Harrison,WR,ARI,206.8
D.J. Moore,WR,CHI,204
Rashee Rice,WR,KC,203.1
Davante Adams,WR,LA,200
Xavier Worthy,WR,KC,199.6
Travis Hunter,WR,JAC,198.5
Breece Hall,RB,NYJ,212.7
Lamar Jackson,QB,BAL,357.1
Jameson Williams,WR,DET,197.1
DeVonta Smith,WR,PHI,196.4
Courtland Sutton,WR,DEN,196.1
Alvin Kamara,RB,NO,210.1
D.K. Metcalf,WR,PIT,195.5
Mike Evans,WR,TB,194
Calvin Ridley,WR,TEN,191.1
Kenneth Walker III,RB,SEA,203.3
Jaylen Waddle,WR,MIA,186.1
Josh Allen,QB,BUF,345.7
Chuba Hubbard,RB,CAR,198.8
Omarion Hampton,RB,LAC,198.6
James Cook,RB,BUF,198.4
Jakobi Meyers,WR,LV,184
Jerry Jeudy,WR,CLE,183.8
Chris Olave,WR,NO,181.4
Jauan Jennings,WR,SF,181.2
Khalil Shakir,WR,BUF,180.5
Tetairoa McMillan,WR,CAR,180.5
George Pickens,WR,DAL,176.3
Stefon Diggs,WR,NE,175.8
Joe Mixon,RB,HOU,189.6
James Conner,RB,ARI,189.5
Jordan Addison,WR,MIN,174.5
Deebo Samuel,WR,WAS,173.3
Jayden Daniels,QB,WAS,331.6
Jayden Reed,WR,GB,170.1
Aaron Jones,RB,MIN,182.3
Jalen Hurts,QB,PHI,326.7
TreVeyon Henderson,RB,NE,180.2
Michael Pittman,WR,IND,165.5
Darnell Mooney,WR,ATL,165.4
Sam LaPorta,TE,DET,188.6
George Kittle,TE,SF,187.5
Josh Downs,WR,IND,161.7
David Montgomery,RB,DET,173.9
Kaleb Johnson,RB,PIT,172.3
D'Andre Swift,RB,CHI,169.2
Matthew Golden,WR,GB,154.8
Tony Pollard,RB,TEN,168.7
Tyrone Tracy,RB,NYG,168.5
Cooper Kupp,WR,SEA,152.9
Rome Odunze,WR,CHI,149.2
Brian Robinson,RB,WAS,162.8
RJ Harvey,RB,DEN,161
Chris Godwin,WR,TB,147.2
Quinshon Judkins,RB,CLE,154.6
Emeka Egbuka,WR,TB,140.7
Rashod Bateman,WR,BAL,140.3
Christian Kirk,WR,HOU,136.1
Michael Wilson,WR,ARI,134.8
Adam Thielen,WR,CAR,133.3
Jalen McMillan,WR,TB,132.7
Marvin Mims,WR,DEN,132.3
Ricky Pearsall,WR,SF,129.9
Wan'Dale Robinson,WR,NYG,128.7
Jaylen Warren,RB,PIT,140.4
Rachaad White,RB,TB,140.4
Keon Coleman,WR,BUF,127.4
Luther Burden,WR,CHI,127
Cedric Tillman,WR,CLE,126.2
Travis Kelce,TE,KC,161.7
Marquise Brown,WR,KC,125.7
Jonnu Smith,TE,MIA,161.3
Najee Harris,RB,LAC,137.4
Kyle Williams,WR,NE,124.2
Tre Harris,WR,LAC,122.6
Ray-Ray McCloud,WR,ATL,122.5
Romeo Doubs,WR,GB,122.4
Rashid Shaheed,WR,NO,120.9
Zach Charbonnet,RB,SEA,132.5
Mark Andrews,TE,BAL,158.2
Josh Palmer,WR,BUF,118.3
Harrison Butker,K,KC,156
Demario Douglas,WR,NE,116.4
Tyjae Spears,RB,TEN,128.6
Calvin Austin,WR,PIT,115.7
Jayden Higgins,WR,HOU,114.8
Quentin Johnston,WR,LAC,111.1
DeAndre Hopkins,WR,BAL,111
Brandon Aubrey,K,DAL,152.8
Andrei Iosivas,WR,CIN,110.3
Buffalo Defense,DEF,BUF,121.3
Xavier Legette,WR,CAR,109.6
Jordan Mason,RB,MIN,122
David Njoku,TE,CLE,153.2
Bhayshul Tuten,RB,JAC,120.6
Denver Defense,DEF,DEN,120
Tutu Atwell,WR,LA,107.6
Tyler Allgeier,RB,ATL,120.1
Jack Bech,WR,LV,107.2
TJ Hockenson,TE,MIN,152.3
Jake Moody,K,SF,150.8
Darius Slayton,WR,NYG,106.6
Dallas Goedert,TE,PHI,152
Austin Ekeler,RB,WAS,119.3
Jalen Coker,WR,CAR,106.2
San Francisco Defense,DEF,SF,119.1
Cameron Dicker,K,LAC,150.3
Joe Burrow,QB,CIN,285.8
Colston Loveland,TE,CHI,150.8
Evan Engram,TE,DEN,150.8
Matt Gay,K,WAS,149.5
J.K. Dobbins,RB,DEN,116.4
Baker Mayfield,QB,TB,284.7
Rhamondre Stevenson,RB,NE,114.6
Baltimore Defense,DEF,BAL,116.7
Philadelphia Defense,DEF,PHI,116.7
Kyler Murray,QB,ARI,283.8
Tyler Warren,TE,IND,147.1
Brandon Aiyuk,WR,SF,100.2
Pat Freiermuth,TE,PIT,146.7
Brandin Cooks,WR,NO,99
Tucker Kraft,TE,GB,145.6
Tyler Lockett,WR,TEN,98.8
LA Chargers Defense,DEF,LAC,115.5
Nick Westbrook-Ikhine,WR,MIA,98.2
Tyler Bass,K,BUF,146.3
Isaih Pacheco,RB,KC,110.5
Trey Benson,RB,ARI,109.7
Jake Ferguson,TE,DAL,143.3
Pat Bryant,WR,DEN,96.5
Rico Dowdle,RB,CAR,109.2
Jalen Tolbert,WR,DAL,96
Patrick Mahomes II,QB,KC,281.3
Dont'e Thornton,WR,LV,95.8
Kansas City Defense,DEF,KC,114
Jake Elliott,K,PHI,145.2
Alec Pierce,WR,IND,95.5
Jaydon Blue,RB,DAL,107.9
Joshua Karty,K,LA,144.7
Cam Skattebo,RB,NYG,107.2
Chase McLaughlin,K,TB,144.5
Diontae Johnson,WR,CLE,94.1
Kareem Hunt,RB,KC,106.5
Nick Chubb,RB,HOU,106.1
Green Bay Defense,DEF,GB,112.7
Dontayvion Wicks,WR,GB,93
Jake Bates,K,DET,143.8
Tank Bigsby,RB,JAC,105.5
Dyami Brown,WR,JAC,91.7
Travis Etienne,RB,JAC,104.3
Justice Hill,RB,BAL,104.2
Cade Otton,TE,TB,137.6
Jason Sanders,K,MIA,142.5
Brock Purdy,QB,SF,275.1
Jalen Nailor,WR,MIN,89.3
Houston Defense,DEF,HOU,110.8
LA Rams Defense,DEF,LA,110.8
Bo Nix,QB,DEN,274.3
Ka'imi Fairbairn,K,HOU,141.8
Zach Ertz,TE,WAS,135.4
Evan McPherson,K,CIN,141.2
Tre Tucker,WR,LV,88.1
Minnesota Defense,DEF,MIN,110.2
Dalton Kincaid,TE,BUF,134.6
Andres Borregales,K,NE,140.7
Brandon McManus,K,GB,139.9
Kyle Pitts,TE,ATL,133.2
Cam Little,K,JAC,138.8
Javonte Williams,RB,DAL,98.6
Noah Brown,WR,WAS,85.6
Devaughn Vele,WR,DEN,85.4
Wil Lutz,K,DEN,138.4
Justin Herbert,QB,LAC,270.6
Chris Boswell,K,PIT,137.9
Brenton Strange,TE,JAC,130.9
Will Reichard,K,MIN,137.2
Chigoziem Okonkwo,TE,TEN,130.7
Pittsburgh Defense,DEF,PIT,108.2
Jordan Whittington,WR,LA,83.7
Hunter Henry,TE,NE,130.1
Caleb Williams,QB,CHI,268.6
Chad Ryland,K,ARI,136.1
Tyler Loop,K,BAL,136.1
Seattle Defense,DEF,SEA,107.1
Younghoe Koo,K,ATL,135.2
Daniel Carlson,K,LV,135.1
Detroit Defense,DEF,DET,105.9
Trevor Lawrence,QB,JAC,266.8
New England Defense,DEF,NE,105.6
Dylan Sampson,RB,CLE,94.2
Miles Sanders,RB,DAL,93.7
Jared Goff,QB,DET,266.1
Ray Davis,RB,BUF,93.5
Justin Fields,QB,NYJ,265.8
Tampa Bay Defense,DEF,TB,104.2
Arizona Defense,DEF,ARI,104
Washington Defense,DEF,WAS,103.9
Chicago Defense,DEF,CHI,103.6
KaVontae Turpin,WR,DAL,79.3
Atlanta Defense,DEF,ATL,103.3
Dallas Defense,DEF,DAL,103.2
Indianapolis Defense,DEF,IND,102.3
Cincinnati Defense,DEF,CIN,101.5
Drake Maye,QB,NE,261.7
Jason Myers,K,SEA,129.4
Isaiah Likely,TE,BAL,123
Tennessee Defense,DEF,TEN,100.5
Jerome Ford,RB,CLE,89.2
Jaylin Noel,WR,HOU,76.3
Las Vegas Defense,DEF,LV,99.8
Isaac Guerendo,RB,SF,88.4
Josh Reynolds,WR,NYJ,75.1
New Orleans Defense,DEF,NO,99.1
Miami Defense,DEF,MIA,98.8
Cairo Santos,K,CHI,126.8
Roman Wilson,WR,PIT,73.6
Jacksonville Defense,DEF,JAC,97.3
Jahan Dotson,WR,PHI,73.1
NY Jets Defense,DEF,NYJ,97.1
C.J. Stroud,QB,HOU,258.1
Troy Franklin,WR,DEN,72.7
NY Giants Defense,DEF,NYG,96.8
J.J. McCarthy,QB,MIN,257.7
Curtis Samuel,WR,BUF,71.9
Carolina Defense,DEF,CAR,95.9
Dalton Schultz,TE,HOU,118
Mike Gesicki,TE,CIN,117.7
Van Jefferson,WR,TEN,71
Dak Prescott,QB,DAL,255.7
Ty Johnson,RB,BUF,83.1
Cleveland Defense,DEF,CLE,92.6
Jordan Love,QB,GB,253.2
Malik Washington,WR,MIA,67.5
Parker Washington,WR,JAC,67.4
Graham Gano,K,NYG,120.4
Jalen Royals,WR,KC,67.3
Theo Johnson,TE,NYG,113.5
Mike Williams,WR,LAC,66
Tua Tagovailoa,QB,MIA,250.6
Greg Dortch,WR,ARI,64.9
Zack Moss,RB,CIN,77.3
Blake Grupe,K,NO,117.4
Joey Slye,K,TEN,116.3
Brashard Smith,RB,KC,75.5
Robert Woods,WR,PIT,61.1
Will Shipley,RB,PHI,73.9
Alexander Mattison,RB,MIA,73.8
Braelon Allen,RB,NYJ,73.4
Bryce Young,QB,CAR,245.5
Adonai Mitchell,WR,IND,60.1
Isaiah Davis,RB,NYJ,72.7
Demarcus Robinson,WR,SF,59.7
Luke McCaffrey,WR,WAS,59.6
Raheem Mostert,RB,LV,71.6
Anthony Richardson,QB,IND,244
Tim Patrick,WR,DET,58.2
Jermaine Burton,WR,CIN,57.3
Dustin Hopkins,K,CLE,110.2
Mack Hollins,WR,NE,57.1
Jaylen Wright,RB,MIA,69.9
Allen Lazard,WR,NYJ,57
Michael Penix,QB,ATL,242.3
Arian Smith,WR,NYJ,56.9
Mason Taylor,TE,NYJ,101.1
Juwan Johnson,TE,NO,101
Devin Neal,RB,NO,67.2
Matthew Stafford,QB,LA,239.2
Elijah Moore,WR,BUF,53.6
Marquez Valdes-Scantling,WR,SEA,53.3
Noah Fant,TE,SEA,98.3
MarShawn Lloyd,RB,GB,63.3
