name,position,team,projection
Ja'Marr Chase,WR,CIN,402
Bijan Robinson,RB,ATL,373
CeeDee Lamb,WR,DAL,379
Justin Jefferson,WR,MIN,385
Saquon Barkley,RB,PHI,369
Puka Nacua,WR,LAR,380
Christian McCaffrey,RB,SF,371
Malik Nabers,WR,NYG,366
Nico Collins,WR,HOU,361
Jahmyr Gibbs,RB,DET,361
Brian Thomas Jr.,WR,JAC,361
Ashton Jeanty,RB,LVR,362
Jonathan Taylor,RB,IND,356
De'Von Achane,RB,MIA,325
Amon-Ra St. Brown,WR,DET,357
Derrick Henry,RB,BAL,333
A.J. Brown,WR,PHI,341
Drake London,WR,ATL,330
Tee Higgins,WR,CIN,321
Tyreek Hill,WR,MIA,346
Breece Hall,RB,NYJ,339
Joe Mixon,RB,HOU,299
Alvin Kamara,RB,NO,306
Brock Bowers,TE,LVR,291
Josh Jacobs,RB,GB,299
Bucky Irving,RB,TB,296
Trey McBride,TE,ARI,281
Rashee Rice,WR,KC,336
Lamar Jackson,QB,BAL,424
Jayden Daniels,QB,WAS,423
Kyren Williams,RB,LAR,314
Ladd McConkey,WR,LAC,324
Chase Brown,RB,CIN,329
Josh Allen,QB,BUF,427
Jalen Hurts,QB,PHI,420
Mike Evans,WR,TB,290
James Cook,RB,BUF,279
Chuba Hubbard,RB,CAR,285
Kenneth Walker III,RB,SEA,289
Davante Adams,WR,LAR,298
James Conner,RB,ARI,279
Garrett Wilson,WR,NYJ,302
George Kittle,TE,SF,271
Xavier Worthy,WR,KC,297
D.J. Moore,WR,CHI,279
Jaxon Smith-Njigba,WR,SEA,281
Terry McLaurin,WR,WAS,274
Marvin Harrison Jr.,WR,ARI,294
DeVonta Smith,WR,PHI,277
D.K. Metcalf,WR,PIT,280
Joe Burrow,QB,CIN,390
Zay Flowers,WR,BAL,260
Jaylen Waddle,WR,MIA,280
Tetairoa McMillan,WR,CAR,290
Courtland Sutton,WR,DEN,260
Travis Hunter,WR,JAC,314
Chris Godwin,WR,TB,290
Sam LaPorta,TE,DET,255
George Pickens,WR,DAL,277
David Montgomery,RB,DET,266
Aaron Jones,RB,MIN,253
Chris Olave,WR,NO,281
Jameson Williams,WR,DET,275
Travis Kelce,TE,KC,229
Isiah Pacheco,RB,KC,276
Omarion Hampton,RB,LAC,284
Quinshon Judkins,RB,CLE,269
RJ Harvey,RB,DEN,278
D'Andre Swift,RB,CHI,269
Calvin Ridley,WR,TEN,247
Tony Pollard,RB,TEN,260
