player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Terrace Marshall Jr.,LVR,WR,24,7.1,7.10,180,,7,1,0,0,0,0,0,0,0,,0,6,3,41,13.67,0,0,0,0,,
Tip Reiman,ARI,TE,23,9.7,9.13,92,,17,9,0,0,0,0,0,0,0,,0,7,6,37,6.17,0,0,0,0,,
Ben Sims,GNB,TE,24,8.2,7.72,89,,17,5,0,0,0,0,0,0,0,,0,5,4,42,10.5,0,0,0,0,,
Xavier Smith,LAR,WR,27,6.2,6.20,178,,15,0,0,0,0,0,0,4,36,9,0,2,2,6,3,0,0,0,0,,
J.J. Taylor,HOU,RB,26,6.4,6.40,118,,5,0,0,0,0,0,0,10,44,4.4,0,3,2,0,0,0,0,0,0,,
Cody White,SEA,WR,26,6.4,6.40,177,,4,0,0,0,0,0,0,0,0,,0,3,2,44,22,0,0,0,0,,
Rasheen Ali,BAL,RB,23,3.1,3.10,124,,6,0,0,0,0,0,0,10,31,3.1,0,2,0,0,,0,0,0,0,,
Alex Bachman,LVR,WR,28,6.1,6.10,184,,6,1,0,0,0,0,0,0,0,,0,3,3,31,10.33,0,0,0,0,,
David Bell,CLE,WR,24,5.7,5.70,186,,1,0,0,0,0,0,0,0,0,,0,3,3,27,9,0,0,0,0,,
Dalvin Cook,DAL,RB,29,4,4.00,125,,2,0,0,0,0,0,0,8,20,2.5,0,1,1,10,10,0,0,0,0,,
Britain Covey,PHI,WR,27,10.4,10.40,183,,5,1,0,0,0,0,0,0,0,,0,8,7,34,4.86,0,0,0,0,,
Greg Dulcich,2TM,TE,24,7.8,7.80,95,,9,3,0,0,0,0,0,0,0,,0,12,5,28,5.6,0,0,0,0,,
Cam Grandy,CIN,TE,24,7.8,7.80,96,,8,6,0,0,0,0,0,0,0,,0,5,5,28,5.6,0,0,0,0,,
Taylor Heinicke,LAC,QB,31,3.1,3.10,66,,4,0,3,5,28,0,0,2,20,10,0,0,0,0,,0,0,0,0,,
