player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Garrett Wilson,NYJ,WR,24,251.9,237.08,16,52,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,7,1,
Najee Harris,PIT,RB,26,204.6,192.56,20,53,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,,
Jordan Addison,MIN,WR,22,212.5,212.50,18,54,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,,
A.J. Brown,PHI,WR,27,216.9,216.90,17,55,13,13,0,0,0,0,0,0,0,,0,97,67,1079,16.1,7,0,0,7,,
Tee Higgins,CIN,WR,25,222.1,222.10,19,56,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,
Pat Freiermuth,PIT,TE,26,168.3,158.40,9,57,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,,
Kyler Murray,ARI,QB,27,297.2,279.72,10,58,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,5,1,
Travis Kelce*,KAN,TE,35,195.4,195.40,10,59,16,16,0,0,0,0,0,1,1,1,0,133,97,823,8.48,3,2,1,3,,
Nico Collins*,HOU,WR,25,210.6,210.60,20,60,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,,
Jayden Reed,GNB,WR,24,197,185.41,21,61,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,,
J.K. Dobbins,LAC,RB,26,191.8,191.80,21,62,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,,
Tony Pollard,TEN,RB,27,200.7,200.70,22,63,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,5,1,
Rico Dowdle,DAL,RB,26,197.8,197.80,23,64,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,,
D.J. Moore,CHI,WR,27,238.1,224.09,22,65,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,
Tyreek Hill,MIA,WR,30,218.2,205.36,23,66,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,
Zay Flowers*,BAL,WR,24,209.5,197.18,24,67,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,,
Marvin Harrison Jr.,ARI,WR,22,196.5,184.94,26,68,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,,
Calvin Ridley,TEN,WR,30,199.2,187.48,25,69,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,,
Jauan Jennings,SFO,WR,27,210.5,210.50,27,70,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,6,,
Justin Herbert,LAC,QB,26,285.4,268.61,11,71,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,2,,3
DeVonta Smith,PHI,WR,26,199.4,199.40,28,72,13,13,0,0,0,0,0,1,1,1,0,89,68,833,12.25,8,0,0,8,,
Jakobi Meyers,LVR,WR,28,218,218.00,29,73,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,4,1,
Patrick Mahomes,KAN,QB,29,283,283.00,12,74,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2,0,2,0,2,,
Brock Purdy,SFO,QB,25,266.9,266.90,13,75,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,5,,
Geno Smith,SEA,QB,34,266,250.35,14,76,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,2,,
Aaron Rodgers,NYJ,QB,41,256.6,241.51,15,77,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,0,,2
Caleb Williams,CHI,QB,23,254.5,239.53,16,78,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,0,,3
Jordan Love,GNB,QB,26,233.9,233.90,17,,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,,3
C.J. Stroud,HOU,QB,23,220.4,207.44,18,,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,,
Matthew Stafford,LAR,QB,36,214.6,214.60,19,,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,0,,
Bryce Young,CAR,QB,23,195,195.00,20,,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,6,,
Tua Tagovailoa,MIA,QB,26,181.6,181.60,21,,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,0,,2
Drake Maye*,NWE,QB,22,177.1,177.10,22,,13,12,225,338,2276,15,10,54,421,7.8,2,0,0,0,,0,9,6,2,,2
Kirk Cousins,ATL,QB,36,176.3,176.30,23,,14,14,303,453,3508,18,16,23,0,0,0,0,0,0,,0,13,2,0,,
Russell Wilson*,PIT,QB,36,172.8,172.80,24,,11,11,214,336,2482,16,5,43,155,3.6,2,0,0,0,,0,5,4,2,,
Anthony Richardson,IND,QB,22,163.4,163.40,25,,11,11,126,264,1814,8,12,86,499,5.8,6,1,1,-1,-1,0,9,3,6,1,
Derek Carr,NOR,QB,33,150.9,150.90,26,,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,1,,1
Rachaad White,TAM,RB,25,199.6,199.60,24,,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,,
Zach Charbonnet,SEA,RB,23,186.9,175.91,25,,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,9,,
Trevor Lawrence,JAX,QB,25,145.2,145.20,27,,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,3,,3
Tyrone Tracy Jr.,NYG,RB,25,182.3,171.58,26,,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,,
Rhamondre Stevenson,NWE,RB,26,175.9,175.90,27,,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2,
Brian Robinson Jr.,WAS,RB,25,159.8,159.80,28,,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,,
Daniel Jones,NYG,QB,27,135.3,135.30,28,,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,2,,
Kenneth Walker III,SEA,RB,24,181.2,181.20,29,,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,8,,
Kareem Hunt,KAN,RB,29,155.4,155.40,30,,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,,
Jameis Winston,CLE,QB,30,131.1,131.10,29,,12,7,181,296,2121,13,12,25,83,3.32,1,0,0,0,,0,5,2,1,,4
Rashod Bateman,BAL,WR,25,174.6,164.33,30,,17,14,0,0,0,0,0,0,0,,0,72,45,756,16.8,9,0,0,9,,
Darnell Mooney,ATL,WR,27,193.2,193.20,31,,16,16,0,1,0,0,0,0,0,,0,106,64,992,15.5,5,0,0,5,,
Puka Nacua,LAR,WR,23,206.6,206.60,33,,11,11,0,0,0,0,0,11,46,4.18,1,106,79,990,12.53,3,0,0,4,,
Xavier Worthy,KAN,WR,21,187.2,176.19,32,,17,13,0,0,0,0,0,20,104,5.2,3,98,59,638,10.81,6,0,0,9,,
D.K. Metcalf,SEA,WR,27,191.2,191.20,34,,15,12,0,0,0,0,0,0,0,,0,108,66,992,15.03,5,2,2,5,,
Alec Pierce,IND,WR,24,161.4,161.40,35,,16,13,0,0,0,0,0,0,0,,0,69,37,824,22.27,7,0,0,7,,
Tank Bigsby,JAX,RB,23,129,129.00,31,,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,7,,
Quentin Johnston,LAC,WR,23,174.7,174.70,36,,15,11,0,0,0,0,0,3,6,2,0,91,55,711,12.93,8,0,0,8,,
Will Levis,TEN,QB,25,119.9,119.90,30,,12,12,190,301,2091,13,12,45,183,4.07,0,0,0,0,,0,10,6,0,,1
Justin Fields,PIT,QB,25,119.1,119.10,31,,10,6,106,161,1106,5,1,62,289,4.66,5,0,0,0,,0,6,1,5,,
Dak Prescott,DAL,QB,31,116.5,116.50,32,,8,8,185,286,1978,11,8,13,54,4.15,1,0,0,0,,0,4,1,1,,
Keenan Allen,CHI,WR,32,184.4,184.40,37,,15,15,0,1,0,0,1,0,0,,0,121,70,744,10.63,7,1,0,7,,
Josh Downs,IND,WR,23,183.5,183.50,38,,14,8,0,0,0,0,0,1,12,12,0,107,72,803,11.15,5,0,0,5,,
Cooper Rush,DAL,QB,31,109.6,109.60,33,,12,8,187,308,1844,12,5,26,18,0.69,0,0,0,0,,0,9,3,0,,1
Cooper Kupp,LAR,WR,31,175,175.00,39,,12,11,0,0,0,0,0,2,10,5,0,100,67,710,10.6,6,1,0,6,,
Khalil Shakir,BUF,WR,24,182.5,182.50,40,,15,9,0,0,0,0,0,2,4,2,0,100,76,821,10.8,4,1,0,4,,
Javonte Williams,DEN,RB,24,157.9,148.61,32,,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,4,,
George Pickens,PIT,WR,23,164.4,164.40,41,,14,12,0,0,0,0,0,2,-6,-3,0,103,59,900,15.25,3,1,1,3,,
Jordan Mason,SFO,RB,25,115,115.00,33,,12,6,0,0,0,0,0,153,789,5.16,3,14,11,91,8.27,0,3,1,3,,
Nick Westbrook-Ikhine,TEN,WR,27,135.7,127.72,42,,17,9,0,0,0,0,0,0,0,,0,60,32,497,15.53,9,0,0,9,,
Deebo Samuel,SFO,WR,28,153.6,153.60,44,,15,15,0,0,0,0,0,42,136,3.24,1,81,51,670,13.14,3,2,1,4,,
Jalen Tolbert,DAL,WR,25,152,143.06,43,,17,15,0,0,0,0,0,0,0,,0,79,49,610,12.45,7,0,0,7,,
Alexander Mattison,LVR,RB,26,137.4,137.40,34,,14,7,0,0,0,0,0,132,420,3.18,4,48,36,294,8.17,1,1,1,5,1,
Ray Davis,BUF,RB,25,116.1,109.27,35,,17,0,0,0,0,0,0,113,442,3.91,3,19,17,189,11.12,3,0,0,6,,
Joe Flacco,IND,QB,39,99,99.00,34,,8,6,162,248,1761,12,7,9,26,2.89,0,0,0,0,,0,4,4,0,,
Jalen McMillan,TAM,WR,23,135.4,135.40,45,,13,12,0,0,0,0,0,4,43,10.75,0,58,37,461,12.46,8,0,0,8,,
Austin Ekeler,WAS,RB,29,132.3,132.30,36,,12,6,0,0,0,0,0,77,367,4.77,4,41,35,366,10.46,0,3,0,4,,
Jerome Ford,CLE,RB,25,134,134.00,37,,14,6,0,0,0,0,0,104,565,5.43,3,43,37,225,6.08,0,0,0,3,,
Michael Pittman Jr.,IND,WR,27,165.8,165.80,46,,16,14,0,0,0,0,0,0,0,,0,111,69,808,11.71,3,1,1,3,,
Mac Jones,JAX,QB,26,96.1,96.10,36,,10,7,171,262,1672,8,8,28,92,3.29,1,0,0,0,,0,2,2,1,,1
Gardner Minshew II,LVR,QB,28,96.3,96.30,35,,10,9,203,306,2013,9,10,19,58,3.05,0,0,0,0,,0,6,4,0,,1
Mason Rudolph,TEN,QB,29,95.8,95.80,37,,8,5,146,228,1530,9,9,25,106,4.24,1,0,0,0,,0,5,1,1,,1
Tyler Allgeier,ATL,RB,24,106.2,99.95,38,,17,0,0,0,0,0,0,137,644,4.7,3,13,13,88,6.77,0,0,0,3,1,
Aidan O'Connell,LVR,QB,26,93.5,93.50,38,,9,7,154,243,1612,8,4,21,30,1.43,1,0,0,0,,0,2,2,1,,
Demarcus Robinson,LAR,WR,30,123.5,116.24,47,,17,17,0,0,0,0,0,0,0,,0,64,31,505,16.29,7,0,0,7,,
Adam Thielen,CAR,WR,34,139.5,139.50,49,,10,10,0,0,0,0,0,0,0,,0,62,48,615,12.81,5,0,0,5,,
Jaylen Waddle,MIA,WR,26,149.6,149.60,48,,15,15,0,0,0,0,0,4,12,3,0,83,58,744,12.83,2,0,0,2,2,
Travis Etienne,JAX,RB,25,130.2,130.20,39,,15,15,0,0,0,0,0,150,558,3.72,2,52,39,254,6.51,0,1,1,2,,
DeAndre Hopkins,2TM,WR,32,147,147.00,50,,16,8,0,0,0,0,0,0,0,,0,80,56,610,10.89,5,1,0,5,,
Marvin Mims*+,DEN,WR,22,129.5,121.88,52,,17,2,0,0,0,0,0,13,42,3.23,0,52,39,503,12.9,6,1,0,6,,
Rome Odunze,CHI,WR,22,144.9,136.38,51,,17,12,0,0,0,0,0,3,15,5,0,101,54,734,13.59,3,2,1,3,,
Wan'Dale Robinson,NYG,WR,23,182.7,171.95,53,,17,7,0,0,0,0,0,3,18,6,0,140,93,699,7.52,3,0,0,3,,
Tank Dell,HOU,WR,25,140,140.00,54,,14,10,0,0,0,0,0,9,43,4.78,0,81,51,667,13.08,3,0,0,3,,
Allen Lazard,NYJ,WR,29,126,126.00,55,,12,10,0,1,0,0,0,0,0,,0,60,37,530,14.32,6,0,0,6,,
Chris Godwin,TAM,WR,28,137.8,137.80,56,,7,7,0,0,0,0,0,1,2,2,0,62,50,576,11.52,5,1,0,5,,
Romeo Doubs,GNB,WR,24,132.1,132.10,57,,13,12,0,0,0,0,0,0,0,,0,72,46,601,13.07,4,0,0,4,1,
Jaylen Warren,PIT,RB,26,124.1,124.10,40,,15,0,0,0,0,0,0,120,511,4.26,1,47,38,310,8.16,0,2,1,1,,
Ameer Abdullah,LVR,RB,31,125.2,125.20,41,,16,3,0,0,0,0,0,66,311,4.71,2,47,40,261,6.53,3,2,1,5,,
Justice Hill,BAL,RB,27,127.1,127.10,42,,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,4,,
David Njoku,CLE,TE,28,148.5,148.50,11,,11,11,0,0,0,0,0,0,0,,0,97,64,505,7.89,5,0,0,5,2,
Emanuel Wilson,GNB,RB,25,96,90.35,43,,17,0,0,0,0,0,0,103,502,4.87,4,14,11,48,4.36,1,0,0,5,,
Andrei Iosivas,CIN,WR,25,119.9,112.85,58,,17,8,0,0,0,0,0,0,0,,0,61,36,479,13.31,6,0,0,6,,
Kyle Pitts,ATL,TE,24,131.2,123.48,12,,17,15,0,0,0,0,0,0,0,,0,74,47,602,12.81,4,0,0,4,,
Tyjae Spears,TEN,RB,23,113.6,113.60,44,,12,1,0,0,0,0,0,84,312,3.71,4,35,30,224,7.47,1,1,0,5,,
Calvin Austin III,PIT,WR,25,118.8,111.81,59,,17,8,0,0,0,0,0,0,0,,0,58,36,548,15.22,4,1,1,5,,
Keon Coleman,BUF,WR,21,111.5,111.50,60,,13,12,0,0,0,0,0,1,9,9,0,57,29,556,19.17,4,0,0,4,1,
Demario Douglas,NWE,WR,24,147.7,139.01,62,,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,3,,
Isaiah Likely,BAL,TE,24,123.7,123.70,13,,16,9,0,0,0,0,0,0,0,,0,58,42,477,11.36,6,1,1,6,,
Cade Otton,TAM,TE,25,140.6,140.60,14,,14,14,0,0,0,0,0,1,-4,-4,0,87,59,600,10.17,4,2,1,4,,
Tre Tucker,LVR,WR,23,129.3,121.69,61,,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,4,,
Antonio Gibson,NWE,RB,26,103.4,97.32,45,,17,3,0,0,0,0,0,120,538,4.48,1,29,23,206,8.96,0,2,0,1,,
Drew Lock,NYG,QB,28,80.1,80.10,39,,8,5,107,181,1071,6,5,18,133,7.39,2,0,0,0,,0,5,2,2,,1
Cam Akers,2TM,RB,25,93.2,87.72,46,,17,2,0,0,0,0,0,104,444,4.27,2,18,14,68,4.86,3,1,1,5,,
Kayshon Boutte,NWE,WR,22,121.9,121.90,63,,15,13,0,0,0,0,0,0,0,,0,68,43,589,13.7,3,0,0,3,1,
Amari Cooper,2TM,WR,30,122.7,122.70,64,,14,10,0,0,0,0,0,0,0,,0,85,44,547,12.43,4,0,0,4,,
Isaac Guerendo,SFO,RB,24,94.2,94.20,47,,16,3,0,0,0,0,0,84,420,5,4,16,15,152,10.13,0,3,1,4,,
Hunter Henry,NWE,TE,30,145.4,145.40,15,,16,16,0,0,0,0,0,0,0,,0,97,66,674,10.21,2,0,0,2,,
Taysom Hill,NOR,TE,34,102.3,102.30,16,,8,8,2,4,21,0,1,39,278,7.13,6,31,23,187,8.13,0,1,1,6,,
Ray-Ray McCloud,ATL,WR,28,140.5,132.24,65,,17,13,0,0,0,0,0,10,79,7.9,0,87,62,686,11.06,1,4,2,1,,
Michael Wilson,ARI,WR,24,124.5,124.50,66,,16,13,0,0,0,0,0,1,7,7,0,71,47,548,11.66,4,1,1,4,,
Mike Gesicki,CIN,TE,29,141.5,133.18,17,,17,3,0,0,0,0,0,0,0,,0,83,65,665,10.23,2,1,1,2,,
Deshaun Watson,CLE,QB,29,76.7,76.70,40,,7,7,137,216,1148,5,3,31,148,4.77,1,0,0,0,,0,5,3,1,,1
Xavier Legette,CAR,WR,23,125.1,125.10,68,,16,13,0,0,0,0,0,6,24,4,0,84,49,497,10.14,4,0,0,4,,
Devin Singletary,NYG,RB,27,96.6,96.60,48,,15,5,0,0,0,0,0,113,437,3.87,4,24,21,119,5.67,0,2,2,4,,
Christian Watson,GNB,WR,25,105.3,105.30,67,,15,15,0,0,0,0,0,4,23,5.75,0,53,29,620,21.38,2,1,1,2,1,
Stefon Diggs,HOU,WR,31,121.9,121.90,70,,8,8,1,1,13,0,0,3,8,2.67,1,64,47,496,10.55,3,0,0,4,,
Jalen Nailor,MIN,WR,25,103,96.94,69,,17,7,0,0,0,0,0,3,-4,-1.33,0,42,28,414,14.79,6,1,1,6,,
Ty Johnson,BUF,RB,27,91.7,86.31,49,,17,1,0,0,0,0,0,41,213,5.2,1,25,18,284,15.78,3,0,0,4,,
Noah Gray,KAN,TE,25,113.3,106.64,19,,17,10,0,0,0,0,0,1,-4,-4,0,49,40,437,10.93,5,0,0,5,,
Juwan Johnson,NOR,TE,28,122.8,115.58,20,,17,5,0,0,0,0,0,0,0,,0,66,50,548,10.96,3,2,0,3,,
Cole Kmet,CHI,TE,25,120.4,113.32,18,,17,16,0,0,0,0,0,0,0,,0,55,47,474,10.09,4,0,0,4,1,
Jaleel McLaughlin,DEN,RB,24,97.2,97.20,50,,16,5,0,0,0,0,0,113,496,4.39,1,27,24,76,3.17,2,1,1,3,,
KaVontae Turpin*+,DAL,WR,28,104.2,98.07,71,,17,2,0,0,0,0,0,16,92,5.75,0,52,31,420,13.55,2,3,1,4,,
Tyler Lockett,SEA,WR,32,121,113.88,72,,17,14,0,0,0,0,0,0,0,,0,74,49,600,12.24,2,0,0,2,,
Dontayvion Wicks,GNB,WR,23,110.5,104.00,73,,17,5,0,0,0,0,0,0,0,,0,76,39,415,10.64,5,0,0,5,,
Tyler Conklin,NYJ,TE,29,121.9,121.90,22,,16,15,0,0,0,0,0,1,0,0,0,72,51,449,8.8,4,0,0,4,1,
Foster Moreau,NOR,TE,27,103.3,97.22,21,,17,17,0,0,0,0,0,0,0,,0,43,32,413,12.91,5,0,0,5,,
Darius Slayton,NYG,WR,27,110,110.00,74,,16,13,0,0,0,0,0,2,17,8.5,0,71,39,573,14.69,2,1,0,2,,
Mack Hollins,BUF,WR,31,98.8,92.99,76,,17,13,0,0,0,0,0,0,0,,0,50,31,378,12.19,5,0,0,5,,
Josh Palmer,LAC,WR,25,107.4,107.40,75,,15,7,0,0,0,0,0,0,0,,0,65,39,584,14.97,1,0,0,1,2,
Spencer Rattler,NOR,QB,24,67.3,67.30,41,,7,6,130,228,1317,4,5,18,146,8.11,0,0,0,0,,0,5,3,0,,
Olamide Zaccheaus,WAS,WR,27,112.4,105.79,77,,17,6,0,0,0,0,0,1,8,8,0,64,45,506,11.24,3,3,1,3,,
Braelon Allen,NYJ,RB,20,85.2,80.19,51,,17,2,0,0,0,0,0,92,334,3.63,2,27,19,148,7.79,1,0,0,3,,
Marquez Valdes-Scantling,2TM,WR,30,84.5,84.50,78,,14,8,0,0,0,0,0,1,4,4,0,44,19,411,21.63,4,0,0,4,,
Devaughn Vele,DEN,WR,27,106.5,106.50,79,,13,7,0,0,0,0,0,0,0,,0,55,41,475,11.59,3,0,0,3,,
Dalton Schultz,HOU,TE,28,118.2,111.25,23,,17,13,0,0,0,0,0,0,0,,0,85,53,532,10.04,2,0,0,2,,
Parker Washington,JAX,WR,22,97,91.29,80,,17,7,0,0,0,0,0,0,0,,0,51,32,390,12.19,3,2,0,4,1,
Austin Hooper,NWE,TE,30,108.6,102.21,24,,17,8,0,0,0,0,0,0,0,,0,59,45,476,10.58,3,2,1,3,,
Ricky Pearsall,SFO,WR,24,93.5,93.50,81,,11,4,0,1,0,0,0,3,45,15,0,46,31,400,12.9,3,0,0,3,,
Dallas Goedert,PHI,TE,29,103.6,103.60,25,,10,10,0,0,0,0,0,0,0,,0,52,42,496,11.81,2,2,0,2,,
Chigoziem Okonkwo,TEN,TE,25,113.6,106.92,26,,17,11,0,0,0,0,0,1,17,17,0,70,52,479,9.21,2,2,1,2,1,
Jalen Coker,CAR,WR,23,92.6,92.60,82,,11,4,1,1,19,0,0,0,0,,0,46,32,478,14.94,2,0,0,2,,
Gus Edwards,LAC,RB,29,64.1,64.10,53,,11,6,0,0,0,0,0,101,365,3.61,4,5,3,6,2,0,0,0,4,,
Tyler Huntley,MIA,QB,26,60.7,60.70,42,,5,5,86,133,829,3,3,26,135,5.19,2,0,0,0,,0,6,2,2,,
Roschon Johnson,CHI,RB,23,77.4,77.40,52,,14,0,0,0,0,0,0,55,150,2.73,6,20,16,104,6.5,0,0,0,6,,
Will Dissly,LAC,TE,28,110.1,110.10,27,,15,8,0,0,0,0,0,0,0,,0,64,50,481,9.62,2,0,0,2,,
Elijah Moore,CLE,WR,24,120.9,113.79,83,,17,13,0,0,0,0,0,1,1,1,0,102,61,538,8.82,1,0,0,1,,
Rashid Shaheed,NOR,WR,26,79.8,79.80,84,,6,5,0,0,0,0,0,6,29,4.83,0,41,20,349,17.45,3,1,1,4,,
Sean Tucker,TAM,RB,23,68.7,64.66,54,,17,0,0,0,0,0,0,50,308,6.16,2,12,9,109,12.11,1,1,0,3,,
Andy Dalton,CAR,QB,37,59,59.00,43,,6,5,106,160,989,7,6,11,34,3.09,0,0,0,0,,0,2,0,0,,
Zack Moss,CIN,RB,27,81.9,81.90,55,,8,6,0,0,0,0,0,74,242,3.27,2,27,23,187,8.13,1,2,1,3,,
Tim Patrick,DET,WR,31,92.4,92.40,85,,16,9,0,0,0,0,0,0,0,,0,44,33,394,11.94,3,0,0,3,1,
Nick Chubb,CLE,RB,29,63.3,63.30,56,,8,8,0,0,0,0,0,102,332,3.25,3,11,5,31,6.2,1,1,1,4,,
Tutu Atwell,LAR,WR,25,98.9,93.08,86,,17,5,0,1,0,0,0,2,7,3.5,0,62,42,562,13.38,0,0,0,0,,
Dalton Kincaid,BUF,TE,25,100.8,100.80,28,,13,9,0,0,0,0,0,0,0,,0,75,44,448,10.18,2,1,0,2,,
Noah Fant,SEA,TE,27,104,104.00,29,,14,9,0,0,0,0,0,0,0,,0,64,48,500,10.42,1,0,0,1,,
Diontae Johnson,3TM,WR,28,89.1,89.10,87,,12,8,0,0,0,0,0,2,6,3,0,67,33,375,11.36,3,0,0,3,,
Jeremy McNichols,WAS,RB,29,63.8,60.05,57,,17,1,0,0,0,0,0,55,261,4.75,4,12,9,27,3,0,0,0,4,1,
Greg Dortch,ARI,WR,26,90.3,84.99,88,,17,4,0,0,0,0,0,5,31,6.2,0,50,37,342,9.24,3,3,1,3,,
David Moore,CAR,WR,29,85.1,80.09,89,,17,5,0,0,0,0,0,1,0,0,0,57,32,351,10.97,3,0,0,3,,
Samaje Perine,KAN,RB,29,81.4,76.61,58,,17,0,0,0,0,0,0,20,92,4.6,1,35,28,322,11.5,1,0,0,2,,
Miles Sanders,CAR,RB,27,77.3,77.30,59,,11,2,0,0,0,0,0,55,205,3.73,2,30,24,148,6.17,1,1,0,3,,
Raheem Mostert,MIA,RB,32,70.9,70.90,60,,13,1,0,0,0,0,0,85,278,3.27,2,23,19,161,8.47,0,2,2,2,,
Malik Willis,GNB,QB,25,51.8,51.80,44,,7,2,40,54,550,3,0,20,138,6.9,1,0,0,0,,0,1,1,1,,
Jordan Akins,CLE,TE,32,91,85.65,31,,17,6,0,0,0,0,0,0,0,,0,58,40,390,9.75,2,1,0,2,,
Noah Brown,WAS,WR,28,86.3,86.30,91,,11,9,0,0,0,0,0,0,0,,0,56,35,453,12.94,1,0,0,1,,
Brenton Strange,JAX,TE,24,91.1,85.74,30,,17,10,0,0,0,0,0,0,0,,0,53,40,411,10.28,2,1,1,2,,
Cedric Tillman,CLE,WR,24,80.4,80.40,90,,11,6,0,0,0,0,0,1,-5,-5,0,49,29,339,11.69,3,1,1,3,1,
AJ Barner,SEA,TE,22,78.5,73.88,32,,17,6,0,0,0,0,0,0,0,,0,38,30,245,8.17,4,0,0,4,,
Sterling Shepard,TAM,WR,31,80.3,80.30,92,,14,5,0,0,0,0,0,8,69,8.63,0,51,32,334,10.44,1,0,0,1,1,
Kenneth Gainwell,PHI,RB,25,62.6,58.92,61,,17,1,0,0,0,0,0,75,290,3.87,1,22,16,116,7.25,0,0,0,1,,
Ezekiel Elliott,DAL,RB,29,57.5,57.50,62,,15,2,0,0,0,0,0,74,226,3.05,3,15,12,69,5.75,0,1,1,3,,
T.J. Hockenson,MIN,TE,27,86.5,86.50,33,,10,9,0,0,0,0,0,0,0,,0,62,41,455,11.1,0,0,0,0,,
Marcus Mariota,WAS,QB,31,45.8,45.80,45,,3,0,34,44,364,4,0,18,92,5.11,1,0,0,0,,0,0,0,1,,
Jacoby Brissett,NWE,QB,32,45.2,45.20,46,,8,5,95,161,826,2,1,15,62,4.13,0,0,0,0,,0,4,1,0,,1
Jake Ferguson,DAL,TE,25,104.4,104.40,34,,14,14,0,0,0,0,0,0,0,,0,86,59,494,8.37,0,4,2,0,,
Chris Olave,NOR,WR,24,76.7,76.70,93,,8,8,0,0,0,0,0,1,7,7,0,44,32,400,12.5,1,1,1,1,,
Isiah Pacheco,KAN,RB,25,56.9,56.90,63,,7,6,0,0,0,0,0,83,310,3.73,1,16,12,79,6.58,0,0,0,1,,
Brandin Cooks,DAL,WR,31,69.6,69.60,95,,10,9,0,0,0,0,0,3,-3,-1,0,54,26,259,9.96,3,0,0,3,,
Audric Estime,DEN,RB,21,48.7,48.70,64,,13,1,0,0,0,0,0,76,310,4.08,2,5,5,27,5.4,0,2,1,2,,
Christian Kirk,JAX,WR,28,70.9,70.90,94,,8,7,0,0,0,0,0,0,0,,0,47,27,379,14.04,1,0,0,1,,
Josh Oliver,MIN,TE,27,65.8,65.80,35,,15,12,0,0,0,0,0,0,0,,0,28,22,258,11.73,3,0,0,3,,
Michael Penix,ATL,QB,24,44.1,44.10,47,,5,3,61,105,775,3,3,7,11,1.57,1,0,0,0,,0,2,0,1,,
Evan Engram,JAX,TE,30,89.5,89.50,36,,9,9,0,0,0,0,0,0,0,,0,64,47,365,7.77,1,1,1,1,1,
Dameon Pierce,HOU,RB,24,43.5,43.50,65,,11,0,0,0,0,0,0,40,293,7.33,2,4,2,2,1,0,1,0,2,,
Trey Benson,ARI,RB,21,47,47.00,66,,13,1,0,0,0,0,0,63,291,4.62,1,6,6,59,9.83,0,1,0,1,,
Rashee Rice,KAN,WR,24,64.9,64.90,96,,4,4,0,0,0,0,0,1,1,1,0,29,24,288,12,2,0,0,2,,
